driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,1168.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,46799.0,43413,24.32
219,112.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,46581.0,43195,16.37
374,1184.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,46426.0,43040,32.98
501,1008.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,46299.0,42913,37.18
695,640.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,46105.0,42719,37.96
755,368.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,46045.0,42659,45.89
785,1072.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.0864,1.87031,0,46015.0,42629,34.36
1262,192.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.0864,1.87031,0,45538.0,42152,55.34
1273,1104.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,45527.0,42141,69.28
1331,112.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,45469.0,42083,82.18
1336,1040.0,100.0,100.0,4.0,4.0,6e-05,0.00017,-0.0229959,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,45464.0,42078,79.49
1383,192.0,100.0,100.0,4.0,4.0,0.00017,0.00017,-0.00699989,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,45417.0,42031,73.48
1392,1024.0,100.0,100.0,2.0,5.0,0.0,0.00473,-0.0349857,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,23.7943,4.85075,0,45408.0,42022,68.03
1446,176.0,100.0,100.0,4.0,7.0,4e-05,0.00473,-0.0349857,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,23.7943,4.85075,0,45354.0,41968,59.84
1456,464.0,100.0,100.0,4.0,6.0,0.00015,0.00473,-0.0349857,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,23.7943,4.85075,0,45344.0,41958,63.37
1483,560.0,100.0,100.0,3.0,8.0,0.00011,0.00473,-0.0349857,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,23.7943,4.85075,0,45317.0,41931,64.56
1515,656.0,100.0,100.0,6.0,7.0,0.0,0.00011,0.0,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,45285.0,41899,65.49
1551,336.0,100.0,100.0,5.0,6.0,0.0,1e-05,0.0,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,45249.0,41863,62.88
1569,928.0,100.0,100.0,5.0,5.0,1e-05,0.00019,-0.002,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,45231.0,41845,67.33
1620,48.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,45180.0,41794,77.23
1622,816.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,45178.0,41792,79.19
1659,784.0,100.0,100.0,4.0,6.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,45141.0,41755,78.83
1694,704.0,100.0,100.0,5.0,6.0,0.0,0.00019,-0.002,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,45106.0,41720,79.97
1726,656.0,100.0,100.0,5.0,5.0,0.00017,0.00019,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,45074.0,41688,80.05
1756,656.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,45044.0,41658,74.86
1787,640.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,45013.0,41627,49.31
1834,240.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,44966.0,41580,56.6
1849,400.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,44951.0,41565,65.84
1871,656.0,0.0,100.0,4.0,7.0,0.00013,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,44929.0,41543,77.43
1902,704.0,100.0,100.0,4.0,6.0,1e-05,0.00013,-0.002,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,44898.0,41512,79.42
1933,688.0,100.0,100.0,5.0,6.0,2e-05,0.00014,-0.002,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,44867.0,41481,79.69
1964,176.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,44836.0,41450,75.69
1972,480.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,44828.0,41442,73.46
1996,640.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,44804.0,41418,74.51
2027,640.0,0.0,100.0,5.0,6.0,0.00014,0.00014,-0.0169984,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,44773.0,41387,77.86
2056,624.0,0.0,100.0,4.0,6.0,4e-05,0.00019,-0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,44744.0,41358,78.19
2085,608.0,100.0,100.0,4.0,6.0,0.00016,0.00019,-0.0209969,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,44715.0,41329,79.84
2113,656.0,100.0,100.0,5.0,6.0,5e-05,0.00019,-0.00699989,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,44687.0,41301,75.44
2144,640.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,44656.0,41270,69.82
2177,352.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,44623.0,41237,67.64
2195,288.0,100.0,100.0,5.0,6.0,0.00018,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,44605.0,41219,68.15
2211,608.0,100.0,100.0,4.0,7.0,2e-05,0.00018,-0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,44589.0,41203,72.82
2241,608.0,100.0,100.0,4.0,7.0,1e-05,2e-05,-0.00899976,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,44559.0,41173,77.4
2270,640.0,100.0,100.0,5.0,6.0,2e-05,0.00019,-0.0139991,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,44530.0,41144,75.74
2300,624.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0119994,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,44500.0,41114,77.36
