driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
283,700.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,30317.0,29913,28.16
313,1400.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,30287.0,29883,23.8
433,300.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,30167.0,29763,20.58
649,700.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,29951.0,29547,28.61
802,200.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,29798.0,29394,21.0
837,601.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,29763.0,29359,19.52
1234,1500.0,100.0,100.0,2.0,7.0,0.0,0.01279,-0.032988,0.029991,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.8496,3.86834,0,29366.0,28962,31.97
1477,100.0,100.0,100.0,2.0,7.0,0.0,0.00152,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.8496,3.86834,0,29123.0,28719,41.27
1482,1200.0,100.0,100.0,1.0,7.0,0.0,0.01648,-0.0119994,0.0169984,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,21.8496,3.86834,0,29118.0,28714,53.41
1568,1100.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0119994,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,21.8496,3.86834,0,29032.0,28628,66.46
1626,300.0,100.0,100.0,5.0,5.0,0.00025,0.00026,-0.0119994,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,21.8496,3.86834,0,28974.0,28570,73.82
1644,1000.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.00299999,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,28956.0,28552,73.45
1693,301.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.00299999,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,28907.0,28503,72.57
1707,1100.0,100.0,100.0,5.0,5.0,0.00013,0.00026,-0.00699989,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,28893.0,28489,72.97
1764,1200.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00699989,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,28836.0,28432,72.38
1821,1100.0,100.0,100.0,5.0,5.0,0.00013,0.00033,-0.00699989,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,28779.0,28375,74.06
1877,1200.0,100.0,100.0,5.0,5.0,0.00033,0.00033,-0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.3556,1.32514,0,28723.0,28319,76.65
1932,900.0,100.0,100.0,4.0,6.0,0.00033,0.00033,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.3556,1.32514,0,28668.0,28264,77.41
