driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
42,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,51197.88,50611,23.65
235,1280.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,51004.88,50418,33.93
462,1120.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,50777.88,50191,50.05
540,1056.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,50699.88,50113,46.94
623,1024.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50616.88,50030,32.23
781,192.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50458.88,49872,32.2
800,832.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50439.88,49853,42.05
870,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50369.88,49783,62.85
906,640.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50333.88,49747,80.13
934,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50305.88,49719,78.98
963,640.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50276.88,49690,82.54
990,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50249.88,49663,85.95
1016,640.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50223.88,49637,85.28
1043,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50196.88,49610,71.88
1074,640.0,100.0,100.0,4.0,7.0,0.00024,0.00026,-0.0189977,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50165.88,49579,69.99
1107,704.0,100.0,100.0,4.0,7.0,0.00025,0.00026,-0.0189977,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50132.88,49546,75.98
1140,416.0,100.0,100.0,5.0,6.0,0.00023,0.00025,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50099.88,49513,74.52
1159,352.0,100.0,100.0,5.0,5.0,0.00012,0.00025,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50080.88,49494,75.46
1176,704.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50063.88,49477,78.06
1209,704.0,100.0,100.0,5.0,5.0,0.0,0.00025,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50030.88,49444,81.63
1239,608.0,100.0,100.0,5.0,5.0,0.0,0.00025,-0.0139991,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50000.88,49414,88.2
1265,640.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0139991,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49974.88,49388,86.47
1291,608.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0139991,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49948.88,49362,88.03
1316,640.0,100.0,100.0,5.0,5.0,1e-05,0.00025,-0.0139991,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49923.88,49337,90.74
1341,608.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49898.88,49312,89.84
1366,640.0,100.0,100.0,4.0,6.0,0.0,1e-05,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49873.88,49287,84.7
1393,64.0,100.0,100.0,5.0,5.0,1e-05,1e-05,0.0,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49846.88,49260,80.96
1395,544.0,100.0,100.0,4.0,6.0,1e-05,0.00037,-0.0159986,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49844.88,49258,83.17
1420,192.0,100.0,100.0,5.0,5.0,0.00037,0.0004,-0.0159986,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49819.88,49233,88.06
1427,480.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0159986,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49812.88,49226,85.93
1446,640.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49793.88,49207,83.87
1475,736.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49764.88,49178,84.05
1506,672.0,100.0,100.0,4.0,6.0,0.0002,0.0004,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49733.88,49147,86.35
1535,128.0,100.0,100.0,4.0,5.0,0.0,0.0002,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49704.88,49118,88.42
1540,576.0,100.0,100.0,4.0,6.0,0.0,0.00019,-0.0209969,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49699.88,49113,84.0
1563,640.0,100.0,100.0,5.0,5.0,0.0,1e-05,-0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49676.88,49090,85.84
1591,672.0,100.0,100.0,5.0,5.0,0.0,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49648.88,49062,87.18
1618,640.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49621.88,49035,82.78
1646,640.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49593.88,49007,78.76
1675,96.0,100.0,100.0,5.0,5.0,9e-05,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49564.88,48978,74.88
1679,704.0,100.0,100.0,5.0,5.0,9e-05,0.00025,-0.0159986,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49560.88,48974,70.07
1716,1152.0,0.0,100.0,2.0,5.0,0.00025,0.01039,-0.0489608,0.0439716,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.7597,1.45208,0,49523.88,48937,32.05
1850,128.0,100.0,100.0,4.0,7.0,0.0,9e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.5509,1.68571,0,49389.88,48803,32.47
1863,128.0,100.0,100.0,4.0,7.0,0.0,9e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.5509,1.68571,0,49376.88,48790,33.7
1877,1088.0,100.0,100.0,4.0,7.0,0.0,9e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49362.88,48776,45.92
1962,128.0,100.0,100.0,5.0,5.0,9e-05,9e-05,-0.00699989,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49277.88,48691,68.33
1968,1216.0,100.0,100.0,5.0,5.0,9e-05,9e-05,-0.00699989,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49271.88,48685,80.82
2022,0.0,100.0,100.0,5.0,5.0,0.0,0.00012,-0.0189977,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49217.88,48631,83.86
2023,1184.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.0189977,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49216.88,48630,83.23
2073,96.0,100.0,100.0,5.0,5.0,0.00012,0.00017,-0.0189977,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49166.88,48580,92.94
