driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
322,1099.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,30278.0,29411,24.92
373,301.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,30227.0,29360,16.14
601,601.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,29999.0,29132,40.42
658,700.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,29942.0,29075,29.5
775,199.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,29825.0,28958,23.66
806,500.0,100.0,100.0,2.0,5.0,0.00026,0.00127,-0.00999967,0.0119994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.8496,3.86834,0,29794.0,28927,20.57
1126,1500.0,100.0,100.0,2.0,7.0,0.0,0.01279,-0.032988,0.029991,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.8496,3.86834,0,29474.0,28607,32.87
1285,0.0,100.0,100.0,2.0,7.0,0.0,0.00152,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.8496,3.86834,0,29315.0,28448,51.37
1289,1400.0,100.0,100.0,1.0,7.0,0.0,0.01648,-0.0119994,0.0169984,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,21.8496,3.86834,0,29311.0,28444,53.83
1372,1100.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0119994,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,21.8496,3.86834,0,29228.0,28361,61.95
1433,300.0,100.0,100.0,5.0,5.0,0.00025,0.00026,-0.0119994,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,21.8496,3.86834,0,29167.0,28300,77.06
1450,1000.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.00299999,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,29150.0,28283,76.08
1496,300.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.00299999,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,29104.0,28237,74.2
1509,1101.0,100.0,100.0,5.0,5.0,0.00013,0.00026,-0.00699989,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,29091.0,28224,67.19
1569,1200.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00699989,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,29031.0,28164,66.71
1630,1199.0,100.0,100.0,5.0,5.0,0.00013,0.00033,-0.00699989,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.1813,2.33281,0,28970.0,28103,75.86
1683,1000.0,100.0,100.0,5.0,5.0,0.00033,0.00033,-0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.3556,1.32514,0,28917.0,28050,76.99
1736,901.0,100.0,100.0,4.0,6.0,0.00033,0.00033,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.3556,1.32514,0,28864.0,27997,77.65
1776,500.0,100.0,100.0,4.0,6.0,0.0,0.00033,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,18.3556,1.32514,0,28824.0,27957,77.29
1795,500.0,100.0,100.0,5.0,6.0,0.0,0.00033,-0.00299999,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,18.3556,1.32514,0,28805.0,27938,77.5
1821,900.0,100.0,100.0,5.0,5.0,0.00033,0.00033,-0.002,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.3556,1.32514,0,28779.0,27912,77.56
1857,699.0,100.0,100.0,5.0,5.0,0.00018,0.00033,-0.00699989,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.3556,1.32514,0,28743.0,27876,78.0
1889,101.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00699989,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,20.2778,2.35725,0,28711.0,27844,77.23
1892,500.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00699989,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,20.2778,2.35725,0,28708.0,27841,78.15
1920,800.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00699989,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,20.2778,2.35725,0,28680.0,27813,79.24
1952,700.0,100.0,100.0,4.0,6.0,0.00018,0.00019,-0.00699989,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,20.2778,2.35725,0,28648.0,27781,71.98
1988,500.0,100.0,100.0,4.0,6.0,4e-05,0.00019,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.2778,2.35725,0,28612.0,27745,63.18
