driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
910,432.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,15.9997,1.33755,0,58490.0,55718,30.6
959,624.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,15.9997,1.33755,0,58441.0,55669,26.1
1077,1328.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,15.9997,1.33755,0,58323.0,55551,26.49
1270,640.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,15.9997,1.33755,0,58130.0,55358,26.64
1355,608.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,15.9997,1.33755,0,58045.0,55273,27.43
1460,624.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,15.9997,1.33755,0,57940.0,55168,29.12
1583,624.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,15.9997,1.33755,0,57817.0,55045,42.66
1635,864.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.4602,0.669922,0,57765.0,54993,30.25
1788,1072.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.4602,0.669922,0,57612.0,54840,35.98
1958,1088.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,57442.0,54670,25.75
2262,1088.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,57138.0,54366,26.31
2449,640.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,56951.0,54179,29.35
2594,624.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,56806.0,54034,28.52
2694,624.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,56706.0,53934,31.11
2790,608.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,56610.0,53838,28.38
2875,624.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,56525.0,53753,30.09
2983,672.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,56417.0,53645,32.68
3085,896.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,56315.0,53543,32.44
3245,1072.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1889,2.0539,0,56155.0,53383,40.07
3342,1120.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,25.7184,6.72979,0,56058.0,53286,33.53
3508,1280.0,100.0,100.0,4.0,6.0,0.00016,0.00017,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,25.7184,6.72979,0,55892.0,53120,36.41
3625,560.0,100.0,100.0,5.0,5.0,0.00016,0.00016,0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7184,6.72979,0,55775.0,53003,29.7
3742,640.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0259941,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7184,6.72979,0,55658.0,52886,67.83
3776,608.0,100.0,100.0,5.0,5.0,0.00014,0.00017,-0.029991,-0.00999967,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-9.01407,12.7281,0,55624.0,52852,67.9
3809,624.0,100.0,100.0,5.0,5.0,0.00012,0.00015,-0.029991,0.00299999,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-9.01407,12.7281,0,55591.0,52819,73.68
3839,640.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.0279927,0.00299999,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-9.01407,12.7281,0,55561.0,52789,74.02
3870,640.0,100.0,100.0,5.0,5.0,0.00012,0.00014,-0.0279927,0.0309901,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-9.01407,12.7281,0,55530.0,52758,69.09
3918,960.0,100.0,100.0,5.0,5.0,0.00014,0.00014,0.00299999,0.0309901,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-9.01407,12.7281,0,55482.0,52710,62.35
3942,816.0,100.0,100.0,5.0,5.0,0.00014,0.00014,0.00299999,0.0309901,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-9.01407,12.7281,0,55458.0,52686,57.77
3991,608.0,100.0,100.0,5.0,5.0,0.00014,0.00014,0.00299999,0.0309901,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-9.01407,12.7281,0,55409.0,52637,47.48
4038,384.0,100.0,100.0,5.0,5.0,0.00012,0.00014,0.0,0.0309901,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-9.01407,12.7281,0,55362.0,52590,47.03
4067,96.0,100.0,100.0,5.0,5.0,0.00012,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1722,3.99964,0,55333.0,52561,53.01
4074,544.0,100.0,100.0,4.0,6.0,0.00012,0.00026,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1722,3.99964,0,55326.0,52554,56.94
4108,1616.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1722,3.99964,0,55292.0,52520,40.98
4246,1056.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1722,3.99964,0,55154.0,52382,72.91
4299,48.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1722,3.99964,0,55101.0,52329,77.48
4301,1168.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0948,0.591927,0,55099.0,52327,79.32
4353,720.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0948,0.591927,0,55047.0,52275,78.8
4386,400.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.4661,0.770897,0,55014.0,52242,80.84
4404,1168.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.4661,0.770897,0,54996.0,52224,79.57
4457,176.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.4661,0.770897,0,54943.0,52171,79.12
4465,880.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.4661,0.770897,0,54935.0,52163,79.56
4519,992.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.5117,1.30936,0,54881.0,52109,81.32
4535,624.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.5117,1.30936,0,54865.0,52093,81.67
4562,1088.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.5117,1.30936,0,54838.0,52066,83.97
4609,1072.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.5117,1.30936,0,54791.0,52019,83.39
4656,1120.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.5117,1.30936,0,54744.0,51972,83.3
4703,272.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,54697.0,51925,85.93
4715,800.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,54685.0,51913,82.41
4750,1104.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,54650.0,51878,82.92
4798,1408.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,54602.0,51830,84.33
4841,112.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,54559.0,51787,84.26
4846,1136.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,54554.0,51782,84.28
4895,352.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.456,3.5035,0,54505.0,51733,85.5
4909,864.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.456,3.5035,0,54491.0,51719,84.55
4947,432.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.456,3.5035,0,54453.0,51681,83.87
4965,752.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.456,3.5035,0,54435.0,51663,85.02
4997,992.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.456,3.5035,0,54403.0,51631,84.43
5039,176.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.456,3.5035,0,54361.0,51589,85.21
5046,1104.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.456,3.5035,0,54354.0,51582,85.18
5093,1152.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.1123,3.17441,0,54307.0,51535,84.85
5140,1088.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.1123,3.17441,0,54260.0,51488,84.59
5186,336.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.1123,3.17441,0,54214.0,51442,84.07
5201,752.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.1123,3.17441,0,54199.0,51427,83.8
5233,1056.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.1123,3.17441,0,54167.0,51395,84.34
5278,48.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.1123,3.17441,0,54122.0,51350,84.76
5280,1008.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.8254,1.86014,0,54120.0,51348,86.31
5322,512.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.8254,1.86014,0,54078.0,51306,83.45
5344,256.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.8254,1.86014,0,54056.0,51284,73.39
5356,832.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.8254,1.86014,0,54044.0,51272,66.73
5401,416.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.8254,1.86014,0,53999.0,51227,62.72
5425,256.0,100.0,100.0,5.0,6.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.8254,1.86014,0,53975.0,51203,53.54
