driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,320.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42899.12,42629,23.0
82,1184.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42818.12,42548,32.49
224,736.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42676.12,42406,29.63
322,672.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42578.12,42308,36.28
387,736.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42513.12,42243,30.63
484,1024.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42416.12,42146,30.46
669,992.0,100.0,100.0,2.0,7.0,0.00026,0.00056,-0.0379817,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42231.12,41961,38.32
764,192.0,100.0,100.0,3.0,6.0,3e-05,0.00049,-0.0309901,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48.2247,5.65145,0,42136.12,41866,49.49
779,800.0,100.0,100.0,3.0,6.0,3e-05,0.00049,-0.0309901,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48.2247,5.65145,0,42121.12,41851,51.24
835,1024.0,100.0,100.0,5.0,5.0,0.0,3e-05,-0.0309901,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.2997,7.25948,0,42065.12,41795,42.94
951,1024.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41949.12,41679,37.94
1047,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41853.12,41583,33.38
1213,1056.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41687.12,41417,36.54
1344,736.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41556.12,41286,52.16
1394,288.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41506.12,41236,55.19
1414,1056.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41486.12,41216,55.24
