driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,544.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.7184,2.86738,0,38998.88,38868,18.83
255,1152.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.7184,2.86738,0,38744.88,38614,47.4
338,1056.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.7184,2.86738,0,38661.88,38531,47.83
420,1440.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,44.02,1.46722,0,38579.88,38449,40.82
557,96.0,100.0,100.0,3.0,3.0,0.00067,0.00067,0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.02,1.46722,0,38442.88,38312,56.42
563,1344.0,100.0,100.0,3.0,4.0,0.0006,0.00067,-0.00999967,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38436.88,38306,66.42
631,512.0,100.0,100.0,4.0,4.0,0.0006,0.0006,-0.00999967,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38368.88,38238,82.62
651,672.0,100.0,100.0,4.0,4.0,0.00055,0.0006,-0.00999967,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38348.88,38218,88.74
680,448.0,100.0,100.0,4.0,4.0,0.00055,0.00066,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38319.88,38189,87.36
697,1024.0,100.0,100.0,3.0,4.0,0.00066,0.00077,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38302.88,38172,86.24
740,0.0,100.0,100.0,3.0,3.0,0.00077,0.00077,-0.002,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38259.88,38129,80.7
747,1216.0,100.0,100.0,3.0,4.0,0.00021,0.00077,-0.0169984,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38252.88,38122,79.11
790,1120.0,100.0,100.0,4.0,4.0,0.00047,0.00047,-0.0159986,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38209.88,38079,84.02
838,992.0,0.0,100.0,3.0,5.0,0.00013,0.00047,-0.0159986,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38161.88,38031,83.62
892,1248.0,100.0,100.0,3.0,4.0,0.00013,0.00025,0.00899976,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38107.88,37977,76.52
937,1120.0,100.0,100.0,3.0,5.0,0.00014,0.00067,-0.0309901,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38062.88,37932,78.3
989,224.0,100.0,100.0,4.0,4.0,0.00067,0.00067,-0.0309901,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,38010.88,37880,83.75
998,896.0,100.0,100.0,4.0,4.0,0.00067,0.00067,-0.0309901,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,38001.88,37871,90.85
1034,1088.0,100.0,100.0,3.0,4.0,0.00032,0.00067,-0.0309901,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37965.88,37835,83.02
1082,1120.0,100.0,100.0,2.0,5.0,0.0,0.00034,-0.0169984,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37917.88,37787,77.66
1134,1056.0,100.0,100.0,4.0,4.0,9e-05,0.00026,-0.0169984,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37865.88,37735,80.38
1172,288.0,100.0,100.0,4.0,4.0,9e-05,0.00025,-0.0189977,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37827.88,37697,79.27
