driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
94,799.0,100.0,100.0,4.0,4.0,1e-05,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,39506.0,38342,29.3
184,101.0,100.0,100.0,4.0,4.0,1e-05,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,39416.0,38252,17.36
210,1598.0,100.0,100.0,4.0,4.0,1e-05,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,39390.0,38226,52.23
295,1600.0,100.0,100.0,4.0,4.0,0.0,4e-05,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,39305.0,38141,50.06
349,500.0,100.0,100.0,3.0,6.0,0.0,0.0077,-0.0349857,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,133.534,9.48659,0,39251.0,38087,36.57
395,1198.0,100.0,100.0,3.0,6.0,0.0,0.0077,-0.0349857,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,133.534,9.48659,0,39205.0,38041,38.54
472,401.0,100.0,100.0,2.0,5.0,5e-05,0.00078,-0.0209969,0.0209969,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,123.6,3.19989,0,39128.0,37964,27.33
606,99.0,100.0,100.0,2.0,5.0,5e-05,0.00078,-0.0209969,0.0209969,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,123.6,3.19989,0,38994.0,37830,34.88
621,601.0,100.0,100.0,4.0,6.0,6e-05,0.0002,-0.0159986,0.0169984,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38979.0,37815,27.67
711,1500.0,100.0,100.0,3.0,7.0,3e-05,0.00048,-0.0139991,0.0159986,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,133.534,9.48659,0,38889.0,37725,31.52
969,600.0,100.0,100.0,3.0,7.0,3e-05,0.00048,-0.0139991,0.0159986,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,133.534,9.48659,0,38631.0,37467,42.12
1016,1200.0,100.0,100.0,3.0,7.0,3e-05,0.00048,-0.0139991,0.0159986,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,133.534,9.48659,0,38584.0,37420,29.89
1226,601.0,100.0,100.0,3.0,6.0,0.0,0.00241,-0.0349857,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,133.534,9.48659,0,38374.0,37210,50.0
1359,200.0,100.0,100.0,4.0,4.0,1e-05,0.00051,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38241.0,37077,59.76
1425,101.0,100.0,100.0,4.0,4.0,0.0005,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38175.0,37011,72.71
1430,699.0,100.0,100.0,4.0,4.0,0.0005,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38170.0,37006,71.23
1462,801.0,100.0,100.0,4.0,4.0,0.0005,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38138.0,36974,72.19
1496,500.0,100.0,100.0,4.0,4.0,0.00027,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38104.0,36940,70.68
1522,399.0,100.0,100.0,4.0,4.0,1e-05,0.00027,-0.0209969,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,38078.0,36914,76.08
1542,1000.0,100.0,100.0,4.0,4.0,1e-05,0.0005,-0.00699989,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,38058.0,36894,75.69
1586,0.0,100.0,100.0,4.0,4.0,0.0005,0.0005,-0.00699989,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,38014.0,36850,74.91
1588,701.0,100.0,100.0,4.0,4.0,0.0005,0.00068,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,38012.0,36848,75.51
