driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
327,701.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,45273.0,42631,29.82
374,200.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,45226.0,42584,14.43
514,700.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,45086.0,42444,44.84
566,1000.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,45034.0,42392,27.75
719,300.0,100.0,100.0,2.0,2.0,0.0135,0.0135,-0.0309901,-0.0159986,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.4895,1.02658,0,44881.0,42239,20.54
767,1100.0,100.0,100.0,2.0,5.0,0.0,0.0135,-0.0309901,0.0189977,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.4895,1.02658,0,44833.0,42191,38.2
849,600.0,100.0,100.0,2.0,5.0,0.0,0.01569,-0.0259941,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.4895,1.02658,0,44751.0,42109,35.07
963,300.0,100.0,100.0,4.0,4.0,0.00031,0.00031,0.00299999,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,44637.0,41995,64.74
982,1099.0,100.0,100.0,4.0,5.0,0.0003,0.00031,0.0,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,44618.0,41976,64.59
1041,700.0,100.0,100.0,4.0,4.0,0.00029,0.0003,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,44559.0,41917,76.25
1072,600.0,100.0,100.0,4.0,4.0,0.00029,0.00029,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44528.0,41886,82.44
1098,500.0,100.0,100.0,4.0,4.0,0.00029,0.00029,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44502.0,41860,89.4
1115,800.0,100.0,100.0,4.0,4.0,0.00029,0.00029,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44485.0,41843,84.24
1151,200.0,100.0,100.0,4.0,4.0,0.00023,0.00029,-0.029991,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44449.0,41807,80.86
1163,600.0,100.0,100.0,4.0,4.0,0.00023,0.00023,-0.00899976,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44437.0,41795,74.25
1187,599.0,100.0,100.0,4.0,4.0,0.00023,0.00023,-0.00899976,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44413.0,41771,70.31
1222,700.0,100.0,100.0,4.0,4.0,0.00023,0.00023,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44378.0,41736,81.68
1251,700.0,0.0,100.0,2.0,6.0,0.0,0.00023,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,33.8015,2.9081,0,44349.0,41707,71.45
1284,999.0,100.0,100.0,2.0,5.0,1e-05,0.01752,-0.0139991,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,33.8015,2.9081,0,44316.0,41674,39.66
1335,100.0,100.0,100.0,3.0,3.0,0.01752,0.01752,0.00699989,0.0369831,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33.8015,2.9081,0,44265.0,41623,23.54
1390,1000.0,100.0,100.0,3.0,5.0,0.00012,0.00017,-0.0159986,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44210.0,41568,69.31
1444,1101.0,100.0,100.0,4.0,4.0,0.00012,0.00012,-0.0139991,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44156.0,41514,88.74
1486,600.0,100.0,100.0,4.0,4.0,0.00012,0.00012,-0.0139991,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44114.0,41472,82.5
1515,500.0,100.0,100.0,4.0,4.0,0.00012,0.00012,-0.0139991,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44085.0,41443,83.92
1533,1100.0,100.0,100.0,3.0,5.0,8e-05,0.00012,-0.0119994,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44067.0,41425,90.12
1577,400.0,100.0,100.0,4.0,4.0,8e-05,8e-05,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44023.0,41381,83.87
