driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
316,0.0,100.0,100.0,1.0,6.0,1e-05,0.00036,-0.0209969,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,14.57,3.35137,0,26684.0,25266,29.13
322,1200.0,100.0,100.0,1.0,6.0,1e-05,0.00036,-0.0209969,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,14.57,3.35137,0,26678.0,25260,36.15
513,399.0,100.0,100.0,1.0,6.0,1e-05,0.00223,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,14.57,3.35137,0,26487.0,25069,45.58
542,1699.0,100.0,100.0,2.0,8.0,0.0,0.01508,-0.0439716,0.0349857,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,14.57,3.35137,0,26458.0,25040,39.3
708,201.0,100.0,100.0,8.0,8.0,0.00118,0.00151,-0.0119994,-0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.57,3.35137,0,26292.0,24874,42.77
723,700.0,100.0,100.0,2.0,8.0,0.00151,0.00524,-0.0279927,0.0349857,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12.1029,1.74321,0,26277.0,24859,34.32
802,700.0,100.0,100.0,2.0,7.0,0.0,0.00524,-0.00899976,0.0349857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12.1029,1.74321,0,26198.0,24780,61.74
851,1000.0,100.0,100.0,5.0,6.0,1e-05,1e-05,-0.0169984,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.57,3.35137,0,26149.0,24731,78.39
894,200.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.0169984,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.57,3.35137,0,26106.0,24688,77.44
907,701.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.0169984,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.57,3.35137,0,26093.0,24675,77.5
