driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
42,208.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52158.0,44238,25.43
73,848.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52127.0,44207,30.81
175,192.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52025.0,44105,25.46
204,1600.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51996.0,44076,41.37
340,960.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51860.0,43940,39.85
441,1840.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51759.0,43839,39.11
626,944.0,100.0,100.0,5.0,5.0,8e-05,0.00013,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51574.0,43654,33.34
1020,1056.0,100.0,100.0,5.0,5.0,8e-05,0.00013,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51180.0,43260,73.15
1072,1072.0,100.0,100.0,5.0,5.0,0.00011,0.00013,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51128.0,43208,83.26
1118,1072.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51082.0,43162,84.13
1164,160.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51036.0,43116,84.71
1171,912.0,100.0,100.0,5.0,5.0,0.00011,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51029.0,43109,84.73
1210,1072.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,50990.0,43070,84.61
1255,224.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,50945.0,43025,84.51
1264,832.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,50936.0,43016,84.9
1300,1072.0,100.0,100.0,4.0,6.0,5e-05,0.00013,-0.002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,50900.0,42980,78.26
1348,1056.0,100.0,100.0,4.0,6.0,0.00013,0.00014,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,50852.0,42932,82.44
1394,1088.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.00899976,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,50806.0,42886,76.46
1445,1072.0,100.0,100.0,5.0,5.0,1e-05,0.00014,-0.00899976,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,50755.0,42835,75.39
