driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,1152.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47879.0,41819,36.16
111,448.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47769.0,41709,34.66
163,1456.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47717.0,41657,38.28
304,304.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47576.0,41516,62.56
322,416.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47558.0,41498,70.41
342,768.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47538.0,41478,77.89
377,592.0,100.0,100.0,6.0,6.0,0.00017,0.00017,0.0,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47503.0,41443,83.02
403,160.0,100.0,100.0,6.0,6.0,0.00013,0.00017,-0.002,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47477.0,41417,83.91
410,688.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.002,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47470.0,41410,84.68
440,704.0,100.0,100.0,3.0,6.0,2e-05,0.00013,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47440.0,41380,85.18
470,528.0,100.0,100.0,3.0,4.0,2e-05,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47410.0,41350,84.81
492,80.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47388.0,41328,84.87
506,832.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47374.0,41314,82.64
531,736.0,100.0,100.0,3.0,4.0,7e-05,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47349.0,41289,84.33
563,176.0,100.0,100.0,3.0,3.0,4e-05,7e-05,-0.0159986,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47317.0,41257,84.75
570,608.0,100.0,100.0,3.0,6.0,4e-05,4e-05,0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,47310.0,41250,84.62
596,784.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,47284.0,41224,85.18
629,208.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,47251.0,41191,85.42
638,688.0,100.0,100.0,5.0,8.0,0.00011,0.00015,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,47242.0,41182,84.03
667,640.0,100.0,100.0,6.0,7.0,0.0,0.00011,0.0,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,47213.0,41153,82.67
695,320.0,100.0,100.0,5.0,6.0,0.0,1e-05,0.0,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,47185.0,41125,80.07
710,976.0,100.0,100.0,5.0,5.0,1e-05,0.00019,-0.002,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,47170.0,41110,80.42
753,32.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,47127.0,41067,80.73
754,816.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,47126.0,41066,82.8
790,752.0,100.0,100.0,4.0,6.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,47090.0,41030,84.56
822,688.0,100.0,100.0,5.0,6.0,0.0,0.00019,-0.002,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,47058.0,40998,85.75
851,672.0,100.0,100.0,5.0,5.0,0.00017,0.00019,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,47029.0,40969,86.32
879,672.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,47001.0,40941,75.96
910,640.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46970.0,40910,72.1
942,224.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46938.0,40878,79.26
952,400.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46928.0,40868,84.22
970,672.0,0.0,100.0,4.0,7.0,0.00013,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46910.0,40850,88.04
997,672.0,100.0,100.0,4.0,6.0,1e-05,0.00013,-0.002,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46883.0,40823,85.83
1026,704.0,100.0,100.0,5.0,6.0,2e-05,0.00014,-0.002,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46854.0,40794,74.25
1059,160.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46821.0,40761,64.28
