driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
3,256.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42837.0,42825,22.82
51,608.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42789.0,42777,29.68
185,640.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42655.0,42643,29.09
295,608.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42545.0,42533,31.28
367,640.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42473.0,42461,48.51
413,992.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42427.0,42415,30.94
548,1088.0,100.0,100.0,2.0,5.0,0.00015,0.00912,-0.0229959,0.0399787,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,22.0109,6.77589,0,42292.0,42280,46.67
552,320.0,100.0,100.0,2.0,5.0,0.00134,0.00912,-0.0399787,0.0399787,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42288.0,42276,25.98
675,1024.0,100.0,100.0,5.0,5.0,1e-05,0.00017,-0.00299999,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.0109,6.77589,0,42165.0,42153,79.44
723,1088.0,100.0,100.0,4.0,7.0,0.0,1e-05,-0.00899976,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,42117.0,42105,79.42
772,736.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,42068.0,42056,84.1
802,352.0,100.0,100.0,5.0,5.0,0.0,1e-05,-0.00899976,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,42038.0,42026,88.71
817,1088.0,100.0,100.0,4.0,6.0,0.0,1e-05,-0.00999967,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,42023.0,42011,81.92
865,1024.0,100.0,100.0,3.0,6.0,0.0,0.00108,-0.00499996,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,14.4366,1.10878,0,41975.0,41963,79.13
917,1120.0,100.0,100.0,5.0,5.0,0.00039,0.00108,-0.002,0.00999967,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.6853,2.20887,0,41923.0,41911,55.0
982,768.0,100.0,100.0,5.0,5.0,0.00067,0.00067,-0.0159986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6853,2.20887,0,41858.0,41846,66.66
1024,160.0,100.0,100.0,5.0,5.0,0.00067,0.00067,-0.0159986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6853,2.20887,0,41816.0,41804,71.86
1032,608.0,100.0,100.0,5.0,5.0,0.00067,0.00067,-0.0159986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,41808.0,41796,78.54
1059,608.0,100.0,100.0,5.0,5.0,0.00067,0.00067,-0.0159986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,41781.0,41769,77.63
1088,672.0,0.0,100.0,4.0,6.0,1e-05,0.00067,-0.0159986,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,41752.0,41740,79.9
1117,608.0,0.0,100.0,4.0,6.0,0.0,1e-05,-0.0229959,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.7181,1.79819,0,41723.0,41711,76.36
1146,608.0,100.0,100.0,4.0,6.0,1e-05,1e-05,-0.0229959,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.7181,1.79819,0,41694.0,41682,76.5
1176,640.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.0259941,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7181,1.79819,0,41664.0,41652,78.75
1204,480.0,100.0,100.0,6.0,6.0,0.0,1e-05,-0.0259941,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7181,1.79819,0,41636.0,41624,80.36
1227,128.0,0.0,100.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.1388,1.63714,0,41613.0,41601,80.91
1232,608.0,0.0,100.0,4.0,6.0,0.0,1e-05,-0.00299999,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.1388,1.63714,0,41608.0,41596,83.08
1259,672.0,100.0,100.0,4.0,6.0,0.0,0.00025,-0.0169984,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.1388,1.63714,0,41581.0,41569,80.63
1288,640.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0169984,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.1388,1.63714,0,41552.0,41540,81.95
1316,640.0,100.0,100.0,5.0,5.0,0.0,0.00026,-0.0309901,0.0349857,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.1388,1.63714,0,41524.0,41512,84.97
