driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
209,301.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,36391.0,35706,27.51
260,699.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,36340.0,35655,29.35
340,1200.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,36260.0,35575,25.78
497,300.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,36103.0,35418,20.86
551,500.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,36049.0,35364,26.78
634,301.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,35966.0,35281,43.55
657,699.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,35943.0,35258,26.49
817,601.0,100.0,100.0,2.0,15.0,1e-05,0.00151,-0.0139991,0.0189977,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,18.4114,0.778816,0,35783.0,35098,27.64
913,1200.0,100.0,100.0,2.0,7.0,3e-05,0.00464,-0.0399787,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.4114,0.778816,0,35687.0,35002,51.11
993,300.0,100.0,100.0,5.0,5.0,0.00012,0.00012,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.4114,0.778816,0,35607.0,34922,68.37
1006,1000.0,0.0,100.0,3.0,6.0,0.00012,0.00147,-0.00899976,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18.4114,0.778816,0,35594.0,34909,47.15
1089,0.0,0.0,0.0,4.0,4.0,0.00092,0.00111,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.4114,0.778816,0,35511.0,34826,62.5
1090,700.0,0.0,0.0,3.0,7.0,0.00018,0.00111,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.4551,1.73055,0,35510.0,34825,66.51
1124,699.0,0.0,100.0,5.0,7.0,0.0,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,19.4551,1.73055,0,35476.0,34791,68.05
1158,601.0,100.0,100.0,5.0,5.0,0.0,0.00018,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35442.0,34757,70.25
1190,700.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35410.0,34725,54.88
1232,600.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35368.0,34683,48.87
1279,700.0,100.0,100.0,5.0,5.0,1e-05,0.00018,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35321.0,34636,68.46
1313,600.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.0259941,-0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35287.0,34602,83.19
1340,700.0,100.0,100.0,5.0,7.0,0.0,9e-05,-0.0259941,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35260.0,34575,84.53
1368,700.0,0.0,100.0,5.0,7.0,9e-05,0.00018,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35232.0,34547,81.16
1396,600.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35204.0,34519,80.75
1424,700.0,100.0,100.0,5.0,5.0,0.00018,0.00018,0.0,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,35176.0,34491,79.53
1452,700.0,100.0,100.0,5.0,5.0,0.00018,0.00018,0.0,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,35148.0,34463,80.69
