driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
125,720.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.3914,1.58114,0,32275.0,31665,23.41
372,432.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.6187,1.94417,0,32028.0,31418,51.95
402,704.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.6187,1.94417,0,31998.0,31388,61.67
443,608.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31957.0,31347,71.73
474,672.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31926.0,31316,76.34
505,640.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31895.0,31285,78.81
534,608.0,100.0,100.0,2.0,4.0,1e-05,0.00084,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31866.0,31256,78.88
563,656.0,100.0,100.0,2.0,5.0,0.0,0.00124,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31837.0,31227,79.42
593,384.0,0.0,100.0,4.0,5.0,0.00123,0.00125,-0.00499996,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31807.0,31197,79.31
609,672.0,0.0,80.0001,4.0,4.0,0.00124,0.00133,-0.0279927,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31791.0,31181,78.65
665,896.0,80.0001,80.0001,3.0,4.0,0.00066,0.00133,-0.0279927,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31735.0,31125,79.42
