driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1156,896.0,100.0,100.0,2.0,7.0,1e-05,8e-05,-0.0489608,0.0139991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.9971,1.81592,0,86744.12,85244,22.9
1422,640.0,100.0,100.0,2.0,7.0,0.0,0.00399,-0.00899976,0.0279927,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.9971,1.81592,0,86478.12,84978,34.98
1488,384.0,100.0,100.0,2.0,9.0,0.0,0.01283,-0.00899976,0.0309901,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14.2589,1.35761,0,86412.12,84912,38.55
1522,1632.0,100.0,100.0,2.0,9.0,0.0,0.00855,-0.0449697,0.00899976,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,13.9135,2.22346,0,86378.12,84878,29.21
1764,32.0,100.0,100.0,5.0,5.0,0.00134,0.00134,-0.00299999,0.0399787,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9135,2.22346,0,86136.12,84636,48.6
1765,896.0,100.0,100.0,5.0,6.0,0.00019,0.00134,-0.00899976,0.0399787,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,86135.12,84635,55.64
1823,672.0,100.0,100.0,5.0,8.0,0.0,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,86077.12,84577,60.92
1863,128.0,100.0,100.0,5.0,6.0,0.0,0.00022,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,86037.12,84537,59.98
1870,640.0,100.0,100.0,6.0,6.0,0.00022,0.00029,-0.00499996,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,86030.12,84530,60.82
1909,96.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,85991.12,84491,61.94
1919,704.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,85981.12,84481,63.35
1954,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,85946.12,84446,66.64
1993,672.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,85907.12,84407,69.48
2028,32.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,85872.12,84372,66.96
2031,608.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.9135,2.22346,0,85869.12,84369,68.39
2062,640.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,85838.12,84338,72.57
2094,640.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,85806.12,84306,72.72
2125,608.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,85775.12,84275,70.23
2157,640.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,85743.12,84243,64.86
2192,768.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,85708.12,84208,66.81
2227,672.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,85673.12,84173,68.94
2262,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,85638.12,84138,72.21
2299,96.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,85601.12,84101,73.79
2304,768.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,85596.12,84096,68.33
2343,672.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.8306,20.4266,0,85557.12,84057,65.49
2381,448.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.8306,20.4266,0,85519.12,84019,51.63
2412,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.8306,20.4266,0,85488.12,83988,41.17
2477,1152.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.8306,20.4266,0,85423.12,83923,40.01
2578,0.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,85322.12,83822,49.59
2580,1088.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,85320.12,83820,59.84
2645,864.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,85255.12,83755,82.33
2683,288.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,85217.12,83717,91.87
2694,960.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,85206.12,83706,94.83
2731,320.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,85169.12,83669,98.71
2742,608.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,85158.12,83658,94.32
2765,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,85135.12,83635,79.59
2799,576.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,85101.12,83601,75.72
2825,128.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.6333,0.761231,0,85075.12,83575,81.0
2831,640.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.6333,0.761231,0,85069.12,83569,76.89
2862,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,85038.12,83538,69.89
2899,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,85001.12,83501,47.98
2954,128.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,84946.12,83446,45.32
2964,1120.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,84936.12,83436,60.45
3030,256.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,84870.12,83370,81.27
3042,864.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,84858.12,83358,85.51
3078,1056.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,84822.12,83322,76.47
3129,64.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,84771.12,83271,71.82
3132,1216.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.3303,1.22685,0,84768.12,83268,72.98
