driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
118,192.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,70082.0,49527,18.26
158,640.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,70042.0,49487,34.01
227,80.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69973.0,49418,48.16
232,960.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69968.0,49413,54.31
296,240.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69904.0,49349,59.63
311,688.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69889.0,49334,58.73
353,608.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69847.0,49292,58.42
390,256.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69810.0,49255,56.45
407,848.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.3903,0.894589,0,69793.0,49238,59.39
457,416.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.3903,0.894589,0,69743.0,49188,61.67
482,912.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.8913,10.3062,0,69718.0,49163,59.65
537,208.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.8913,10.3062,0,69663.0,49108,52.19
551,1024.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.8913,10.3062,0,69649.0,49094,52.34
621,80.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.8913,10.3062,0,69579.0,49024,54.95
627,848.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.8913,10.3062,0,69573.0,49018,58.37
680,128.0,100.0,100.0,3.0,5.0,0.0,0.00013,-0.00999967,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.8913,10.3062,0,69520.0,48965,62.54
