driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
104,896.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.1361,2.01163,0,51196.0,50141,29.93
168,256.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.1361,2.01163,0,51132.0,50077,23.04
281,832.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.1361,2.01163,0,51019.0,49964,46.91
346,704.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50954.0,49899,31.9
467,960.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50833.0,49778,40.5
553,352.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50747.0,49692,72.95
571,832.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50729.0,49674,86.01
607,480.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50693.0,49638,90.21
625,320.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50675.0,49620,85.75
639,768.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50661.0,49606,72.83
676,704.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50624.0,49569,63.46
717,128.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50583.0,49528,61.75
726,576.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50574.0,49519,60.52
