driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
116,592.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.3914,1.58114,0,32284.0,30966,25.01
289,368.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.6187,1.94417,0,32111.0,30793,51.09
324,736.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.6187,1.94417,0,32076.0,30758,68.51
355,544.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,32045.0,30727,73.07
405,768.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31995.0,30677,76.61
417,624.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31983.0,30665,77.99
446,608.0,100.0,100.0,2.0,4.0,1e-05,0.00084,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31954.0,30636,80.83
474,864.0,100.0,100.0,2.0,5.0,0.0,0.00124,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31926.0,30608,77.88
506,320.0,0.0,100.0,4.0,5.0,0.00123,0.00125,-0.00499996,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31894.0,30576,79.97
521,896.0,0.0,80.0001,4.0,4.0,0.00124,0.00133,-0.0279927,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31879.0,30561,78.88
562,640.0,80.0001,80.0001,3.0,4.0,0.00066,0.00133,-0.0279927,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31838.0,30520,81.53
