driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
325,416.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42515.0,42266,26.41
396,672.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42444.0,42195,37.86
475,640.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42365.0,42116,37.88
533,608.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42307.0,42058,34.83
598,640.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42242.0,41993,46.5
646,992.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42194.0,41945,35.2
773,1056.0,100.0,100.0,2.0,5.0,0.00015,0.00912,-0.0229959,0.0399787,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,22.0109,6.77589,0,42067.0,41818,49.31
777,320.0,100.0,100.0,2.0,5.0,0.00134,0.00912,-0.0399787,0.0399787,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42063.0,41814,27.7
892,1056.0,100.0,100.0,5.0,5.0,1e-05,0.00017,-0.00299999,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.0109,6.77589,0,41948.0,41699,67.29
949,1088.0,100.0,100.0,4.0,7.0,0.0,1e-05,-0.00899976,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,41891.0,41642,70.54
