driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,301.0,100.0,100.0,3.0,5.0,0.0,0.00023,-0.00999967,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,13499.0,12278,23.19
65,900.0,100.0,100.0,3.0,5.0,0.0,0.00023,-0.00999967,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0029,6.50225,0,13435.0,12214,35.43
153,0.0,100.0,100.0,3.0,5.0,0.0,0.00023,-0.00999967,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,13347.0,12126,31.64
156,900.0,100.0,100.0,3.0,5.0,0.0,0.00023,-0.00999967,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,13344.0,12123,25.24
302,800.0,100.0,100.0,3.0,5.0,0.0,0.00023,-0.00999967,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,13198.0,11977,36.9
371,100.0,100.0,100.0,4.0,4.0,0.00026,0.00058,-0.0189977,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,13129.0,11908,42.51
386,900.0,100.0,100.0,4.0,4.0,0.00026,0.00058,-0.0189977,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,13114.0,11893,52.98
449,500.0,80.0001,100.0,4.0,4.0,0.00058,0.00092,-0.00699989,0.0469654,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,13051.0,11830,50.37
478,1300.0,80.0001,80.0001,4.0,4.0,0.00092,0.00092,0.0189977,0.0469654,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,13022.0,11801,49.11
572,0.0,80.0001,80.0001,4.0,4.0,0.00052,0.00092,0.0189977,0.0469654,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12928.0,11707,51.3
573,1100.0,80.0001,80.0001,4.0,4.0,0.00052,0.00052,0.0259941,0.0469654,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12927.0,11706,44.19
665,300.0,80.0001,80.0001,4.0,4.0,0.00052,0.00052,0.0259941,0.0469654,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12835.0,11614,47.89
683,899.0,80.0001,80.0001,4.0,4.0,0.0,0.00052,-0.0349857,0.00899976,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,103.573,6.54911,0,12817.0,11596,50.87
751,700.0,80.0001,80.0001,4.0,4.0,0.0,0.00052,-0.0349857,0.00899976,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,103.573,6.54911,0,12749.0,11528,52.14
795,700.0,80.0001,80.0001,4.0,4.0,0.0,0.00052,-0.0349857,0.00899976,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,12705.0,11484,49.32
847,700.0,80.0001,80.0001,3.0,4.0,0.00015,0.00052,-0.0349857,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,12653.0,11432,41.18
904,600.0,80.0001,80.0001,3.0,3.0,0.00015,0.00015,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,12596.0,11375,40.16
966,900.0,80.0001,100.0,3.0,8.0,1e-05,0.00015,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,12534.0,11313,40.91
1036,300.0,100.0,100.0,6.0,7.0,1e-05,0.00034,-0.0189977,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,12464.0,11243,45.2
1063,400.0,100.0,100.0,5.0,7.0,1e-05,0.00015,-0.0119994,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,12437.0,11216,47.39
1090,600.0,100.0,100.0,5.0,7.0,1e-05,0.00015,-0.0119994,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,12410.0,11189,54.81
1132,700.0,100.0,100.0,5.0,7.0,1e-05,0.00015,-0.0119994,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,12368.0,11147,55.5
1174,700.0,100.0,100.0,5.0,7.0,1e-05,0.00015,-0.0119994,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,12326.0,11105,39.8
1232,199.0,100.0,100.0,5.0,7.0,1e-05,0.00015,-0.0119994,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,12268.0,11047,28.31
1265,700.0,100.0,100.0,5.0,7.0,1e-05,0.00015,-0.0119994,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,12235.0,11014,30.91
1383,700.0,100.0,100.0,5.0,6.0,1e-05,0.00019,-0.0139991,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,12117.0,10896,40.97
1443,600.0,100.0,100.0,5.0,7.0,0.00018,0.00019,-0.0139991,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,12057.0,10836,55.69
1486,301.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,-0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,12014.0,10793,77.59
1500,400.0,100.0,100.0,6.0,6.0,0.00019,0.00021,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,12000.0,10779,79.04
1515,600.0,100.0,100.0,6.0,6.0,0.00021,0.00021,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11985.0,10764,78.41
