driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
25,432.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52175.0,42575,22.59
94,832.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52106.0,42506,29.74
197,208.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52003.0,42403,24.69
227,1568.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51973.0,42373,39.68
368,992.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51832.0,42232,41.24
460,1840.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51740.0,42140,44.08
511,960.0,100.0,100.0,5.0,5.0,8e-05,0.00013,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51689.0,42089,33.96
725,1040.0,100.0,100.0,5.0,5.0,8e-05,0.00013,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51475.0,41875,77.52
774,1088.0,100.0,100.0,5.0,5.0,0.00011,0.00013,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51426.0,41826,84.5
820,1072.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51380.0,41780,84.5
866,160.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51334.0,41734,84.97
872,912.0,100.0,100.0,5.0,5.0,0.00011,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51328.0,41728,84.84
911,1072.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51289.0,41689,84.86
956,224.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51244.0,41644,84.67
966,832.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51234.0,41634,84.8
1001,1088.0,100.0,100.0,4.0,6.0,5e-05,0.00013,-0.002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,51199.0,41599,84.2
1047,1040.0,100.0,100.0,4.0,6.0,0.00013,0.00014,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,51153.0,41553,83.6
1092,1072.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.00899976,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,51108.0,41508,84.19
1138,1104.0,100.0,100.0,5.0,5.0,1e-05,0.00014,-0.00899976,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,51062.0,41462,84.29
1185,400.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.002,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,51015.0,41415,84.3
1202,704.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.0119994,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50998.0,41398,84.75
1232,1120.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.0119994,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50968.0,41368,83.44
1281,32.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.002,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50919.0,41319,84.83
1282,1216.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.002,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50918.0,41318,84.77
1333,64.0,100.0,100.0,5.0,5.0,0.0,0.00018,-0.0119994,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50867.0,41267,85.98
1336,1168.0,100.0,100.0,5.0,5.0,0.0,0.00018,-0.0119994,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50864.0,41264,82.83
1386,32.0,100.0,100.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6657,1.95729,0,50814.0,41214,81.02
1388,1088.0,100.0,100.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6657,1.95729,0,50812.0,41212,81.82
1436,1088.0,100.0,100.0,5.0,5.0,0.0,0.00018,-0.00499996,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6657,1.95729,0,50764.0,41164,85.25
1482,432.0,100.0,100.0,5.0,6.0,0.00018,0.00019,0.00699989,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6657,1.95729,0,50718.0,41118,83.68
1500,656.0,100.0,100.0,1.0,6.0,0.0,0.00784,-0.0379817,0.00999967,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,17.6599,2.51672,0,50700.0,41100,83.11
1529,976.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.6599,2.51672,0,50671.0,41071,62.05
1585,464.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.6599,2.51672,0,50615.0,41015,52.38
1617,240.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.994,2.38632,0,50583.0,40983,51.35
1633,464.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.994,2.38632,0,50567.0,40967,53.47
1664,144.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.6599,2.51672,0,50536.0,40936,52.11
1674,624.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.6599,2.51672,0,50526.0,40926,64.15
1709,608.0,100.0,100.0,5.0,5.0,1e-05,0.00056,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6599,2.51672,0,50491.0,40891,75.57
1738,640.0,100.0,100.0,5.0,5.0,0.00056,0.00056,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6599,2.51672,0,50462.0,40862,82.08
1766,704.0,100.0,100.0,4.0,6.0,0.00028,0.00056,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6599,2.51672,0,50434.0,40834,81.76
1797,736.0,100.0,100.0,4.0,6.0,0.0,0.00028,-0.00899976,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.6599,2.51672,0,50403.0,40803,82.29
1829,96.0,100.0,100.0,5.0,5.0,0.0,0.00048,-0.00999967,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6599,2.51672,0,50371.0,40771,83.7
1833,800.0,100.0,100.0,5.0,5.0,0.00048,0.00048,-0.00999967,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.5689,3.66355,0,50367.0,40767,83.23
1868,768.0,100.0,100.0,5.0,5.0,0.00048,0.00048,-0.00999967,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.5689,3.66355,0,50332.0,40732,84.18
1900,160.0,100.0,100.0,5.0,5.0,0.00048,0.00048,-0.00999967,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.5689,3.66355,0,50300.0,40700,84.24
1907,480.0,100.0,100.0,5.0,5.0,0.00048,0.00048,-0.00299999,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.5689,3.66355,0,50293.0,40693,84.42
1928,640.0,100.0,100.0,5.0,5.0,0.00019,0.00048,-0.00299999,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.5689,3.66355,0,50272.0,40672,83.74
1955,592.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.5689,3.66355,0,50245.0,40645,80.23
1982,624.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.5689,3.66355,0,50218.0,40618,84.12
2009,608.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.5689,3.66355,0,50191.0,40591,83.87
2035,624.0,0.0,100.0,4.0,6.0,0.0,0.0002,-0.00299999,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.5689,3.66355,0,50165.0,40565,82.75
2062,656.0,100.0,100.0,4.0,6.0,0.0,0.00021,-0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2435,2.58265,0,50138.0,40538,81.21
2091,624.0,100.0,100.0,6.0,6.0,0.00012,0.0002,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2435,2.58265,0,50109.0,40509,67.96
2124,624.0,100.0,100.0,4.0,6.0,0.00019,0.0002,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2435,2.58265,0,50076.0,40476,57.99
2163,1360.0,100.0,100.0,4.0,6.0,0.0002,0.0002,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2435,2.58265,0,50037.0,40437,44.82
2268,1072.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.2435,2.58265,0,49932.0,40332,73.38
2320,1040.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.2435,2.58265,0,49880.0,40280,81.98
2367,1120.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0922,1.87516,0,49833.0,40233,80.04
2416,1056.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0922,1.87516,0,49784.0,40184,77.14
2466,432.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0922,1.87516,0,49734.0,40134,71.93
2488,720.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0922,1.87516,0,49712.0,40112,78.63
2520,656.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0922,1.87516,0,49680.0,40080,81.17
2550,576.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0922,1.87516,0,49650.0,40050,82.74
2575,672.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0075,1.47791,0,49625.0,40025,84.25
2603,512.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0075,1.47791,0,49597.0,39997,89.97
2623,1072.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0075,1.47791,0,49577.0,39977,86.71
2668,1072.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0075,1.47791,0,49532.0,39932,84.4
2714,1008.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0075,1.47791,0,49486.0,39886,84.35
2756,112.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0075,1.47791,0,49444.0,39844,85.37
2762,1168.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.0266,0.509719,0,49438.0,39838,83.91
2811,336.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.0266,0.509719,0,49389.0,39789,75.85
2827,800.0,100.0,100.0,2.0,6.0,0.00021,0.00248,-0.0309901,0.0419753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.0266,0.509719,0,49373.0,39773,78.96
