driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
414,400.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,49986.0,39801,27.4
466,136.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,49934.0,39749,29.72
483,832.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,49917.0,39732,25.93
690,616.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,49710.0,39525,49.32
735,232.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.1735,0.887585,0,49665.0,39480,49.71
752,984.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.1735,0.887585,0,49648.0,39463,44.24
830,928.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.1735,0.887585,0,49570.0,39385,44.16
905,608.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.1735,0.887585,0,49495.0,39310,62.93
940,176.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.1735,0.887585,0,49460.0,39275,70.42
949,1176.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.1735,0.887585,0,49451.0,39266,62.73
1016,32.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,49384.0,39199,66.4
1018,1112.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,49382.0,39197,63.89
1081,312.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,49319.0,39134,58.71
1100,672.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,49300.0,39115,63.56
1136,632.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,49264.0,39079,44.68
1254,624.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,49146.0,38961,22.79
1473,816.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,48927.0,38742,36.63
1570,608.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,48830.0,38645,37.76
1628,656.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,48772.0,38587,35.96
1743,1008.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,48657.0,38472,36.04
1857,200.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,48543.0,38358,53.49
1870,704.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,48530.0,38345,30.44
1961,616.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,48439.0,38254,37.87
2068,528.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2635,2.32587,0,48332.0,38147,30.93
2130,456.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.5562,2.51428,0,48270.0,38085,26.18
2527,3184.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.5562,2.51428,0,47873.0,37688,83.74
2559,664.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.5562,2.51428,0,47841.0,37656,85.16
2587,160.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.5562,2.51428,0,47813.0,37628,82.57
2594,808.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.5562,2.51428,0,47806.0,37621,75.08
2633,752.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.5562,2.51428,0,47767.0,37582,74.74
2669,88.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.5562,2.51428,0,47731.0,37546,80.09
