driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
343,80.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,50237.12,48094,26.03
355,848.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,50225.12,48082,26.64
524,1360.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,50056.12,47913,71.68
578,816.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,50002.12,47859,73.31
617,752.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49963.12,47820,45.15
677,656.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49903.12,47760,61.53
715,640.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49865.12,47722,67.28
750,656.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49830.12,47687,68.57
785,1088.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49795.12,47652,33.73
1009,784.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49571.12,47428,38.89
1081,1024.0,0.0,100.0,5.0,6.0,0.00017,0.00017,-0.0159986,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,94.9242,3.01465,0,49499.12,47356,64.45
1137,1056.0,0.0,90.0001,5.0,5.0,0.00017,0.00017,-0.0159986,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,87.4965,1.49635,0,49443.12,47300,81.32
1183,1024.0,90.0001,90.0001,5.0,5.0,0.00017,0.00017,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,87.4965,1.49635,0,49397.12,47254,84.43
1227,1040.0,90.0001,90.0001,5.0,5.0,8e-05,0.00017,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,87.4965,1.49635,0,49353.12,47210,84.15
