driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1094,672.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45706.0,43483,57.29
1106,1280.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45694.0,43471,38.43
1187,1792.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45613.0,43390,36.95
1360,1056.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45440.0,43217,28.48
1494,208.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45306.0,43083,30.83
1517,1024.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45283.0,43060,46.36
1570,864.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45230.0,43007,44.43
1629,640.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,45171.0,42948,30.2
1780,592.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,45020.0,42797,34.35
1845,720.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,44955.0,42732,35.93
