driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,528.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.45782,1.8177,0,34079.119999999995,33796,33.79
163,624.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.45782,1.8177,0,33917.119999999995,33634,37.84
222,1360.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33858.119999999995,33575,34.42
271,1248.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33809.119999999995,33526,41.85
576,16.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33504.119999999995,33221,67.15
577,944.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33503.119999999995,33220,76.87
621,736.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33459.119999999995,33176,86.64
652,32.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33428.119999999995,33145,90.8
653,704.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33427.119999999995,33144,92.16
681,336.0,100.0,100.0,4.0,5.0,0.00028,0.00077,-0.0209969,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33399.119999999995,33116,93.73
716,1456.0,100.0,100.0,5.0,5.0,0.00077,0.00077,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33364.119999999995,33081,88.84
729,1168.0,100.0,100.0,5.0,5.0,0.00028,0.00077,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33351.119999999995,33068,91.53
776,112.0,100.0,100.0,5.0,5.0,0.00028,0.00028,-0.00699989,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33304.119999999995,33021,88.84
780,1200.0,0.0,100.0,5.0,6.0,0.00025,0.00028,-0.0119994,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33300.119999999995,33017,91.38
827,96.0,100.0,100.0,4.0,6.0,0.00028,0.00028,-0.0139991,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33253.119999999995,32970,95.12
831,992.0,100.0,100.0,3.0,5.0,0.0,0.00031,-0.0169984,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.4072,3.63392,0,33249.119999999995,32966,95.14
869,320.0,100.0,100.0,4.0,5.0,0.00031,0.00032,0.0,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.4072,3.63392,0,33211.119999999995,32928,93.03
881,1248.0,100.0,100.0,4.0,5.0,0.0003,0.00032,-0.00699989,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33199.119999999995,32916,94.21
928,928.0,100.0,100.0,2.0,6.0,1e-05,0.00171,0.0,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,36.6947,4.00937,0,33152.119999999995,32869,94.93
963,224.0,100.0,100.0,5.0,6.0,1e-05,1e-05,0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33117.119999999995,32834,94.98
972,1152.0,100.0,100.0,5.0,5.0,1e-05,0.00077,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33108.119999999995,32825,94.68
1016,1328.0,100.0,100.0,5.0,5.0,0.00077,0.00078,-0.0279927,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33064.119999999995,32781,92.73
1065,128.0,100.0,100.0,5.0,5.0,0.00078,0.00078,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,33015.119999999995,32732,80.02
1071,656.0,100.0,100.0,5.0,5.0,0.00078,0.00078,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,33009.119999999995,32726,68.73
1106,672.0,100.0,100.0,5.0,5.0,0.00071,0.00071,-0.0159986,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,32974.119999999995,32691,68.04
1139,640.0,100.0,100.0,2.0,6.0,0.0005,0.00071,-0.0159986,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,47.8578,15.372,0,32941.119999999995,32658,67.18
