driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
67,600.0,80.0001,100.0,4.0,4.0,0.0002,0.00031,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,13433.0,13293,27.67
165,700.0,80.0001,100.0,4.0,4.0,0.0002,0.00031,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,13335.0,13195,29.34
352,700.0,80.0001,100.0,4.0,4.0,0.0002,0.00031,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,13148.0,13008,24.95
453,699.0,80.0001,100.0,4.0,4.0,0.0002,0.00031,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,13047.0,12907,31.12
533,700.0,80.0001,100.0,3.0,4.0,1e-05,0.00031,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12967.0,12827,36.97
603,100.0,100.0,100.0,2.0,4.0,8e-05,0.00507,-0.0119994,0.0509559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17.8052,1.23257,0,12897.0,12757,41.21
610,1300.0,100.0,100.0,2.0,4.0,8e-05,0.00507,-0.0119994,0.0509559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17.8052,1.23257,0,12890.0,12750,30.49
768,1100.0,100.0,100.0,2.0,4.0,8e-05,0.00507,-0.0119994,0.0509559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17.8052,1.23257,0,12732.0,12592,32.45
915,700.0,100.0,100.0,2.0,5.0,0.00029,0.00498,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.8052,1.23257,0,12585.0,12445,56.95
955,599.0,100.0,100.0,4.0,4.0,0.00039,0.0004,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12545.0,12405,76.58
985,700.0,80.0001,100.0,3.0,6.0,2e-05,0.00041,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12515.0,12375,77.52
1014,800.0,80.0001,100.0,4.0,6.0,0.0001,0.00041,-0.0139991,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12486.0,12346,76.3
1048,700.0,100.0,100.0,3.0,5.0,1e-05,0.00041,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12452.0,12312,73.42
1087,200.0,100.0,100.0,4.0,5.0,1e-05,1e-05,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12413.0,12273,81.18
1095,700.0,100.0,100.0,4.0,4.0,1e-05,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12405.0,12265,80.23
1124,800.0,100.0,100.0,4.0,4.0,0.00066,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0029,6.50225,0,12376.0,12236,72.79
1164,300.0,100.0,100.0,4.0,4.0,0.00066,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0029,6.50225,0,12336.0,12196,79.51
1177,900.0,100.0,100.0,4.0,4.0,0.00066,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0029,6.50225,0,12323.0,12183,69.47
1219,500.0,100.0,100.0,4.0,5.0,0.0,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0029,6.50225,0,12281.0,12141,74.47
1245,500.0,100.0,100.0,3.0,5.0,0.0,0.00023,-0.00999967,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12255.0,12115,80.1
1267,1000.0,100.0,100.0,3.0,5.0,0.00018,0.00026,-0.0189977,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12233.0,12093,81.55
1308,100.0,100.0,100.0,4.0,4.0,0.00026,0.00058,-0.0189977,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12192.0,12052,79.57
1317,1200.0,80.0001,100.0,4.0,4.0,0.00058,0.00092,-0.00699989,0.0469654,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12183.0,12043,79.9
1365,599.0,80.0001,80.0001,4.0,4.0,0.00092,0.00092,0.0189977,0.0469654,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12135.0,11995,70.85
1394,801.0,80.0001,80.0001,4.0,4.0,0.00052,0.00092,0.0189977,0.0469654,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12106.0,11966,61.63
1441,199.0,80.0001,80.0001,4.0,4.0,0.00052,0.00052,0.0259941,0.0469654,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12059.0,11919,51.38
1449,901.0,80.0001,80.0001,4.0,4.0,0.00052,0.00052,0.0259941,0.0469654,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12051.0,11911,51.11
1514,800.0,80.0001,80.0001,4.0,4.0,0.00052,0.00052,0.00899976,0.0469654,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,11986.0,11846,51.42
1565,0.0,80.0001,80.0001,4.0,4.0,0.0,0.00052,0.0,0.00899976,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,159.921,6.78999,0,11935.0,11795,55.39
1568,600.0,80.0001,80.0001,4.0,4.0,0.0,0.00052,-0.0349857,0.00899976,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11932.0,11792,68.19
1599,600.0,80.0001,80.0001,3.0,4.0,0.00015,0.00052,-0.0349857,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11901.0,11761,83.08
1626,599.0,80.0001,80.0001,3.0,3.0,0.00015,0.00015,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11874.0,11734,71.43
1657,700.0,80.0001,100.0,3.0,8.0,1e-05,0.00015,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11843.0,11703,79.77
1686,700.0,100.0,100.0,6.0,7.0,1e-05,0.00034,-0.0189977,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11814.0,11674,80.5
1714,599.0,100.0,100.0,6.0,6.0,0.00034,0.00034,-0.0189977,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11786.0,11646,83.07
1741,601.0,100.0,100.0,6.0,6.0,0.00034,0.00049,-0.0189977,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11759.0,11619,90.04
1766,700.0,100.0,100.0,6.0,6.0,0.00015,0.00049,-0.0169984,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11734.0,11594,91.89
1792,699.0,100.0,100.0,5.0,7.0,1e-05,0.00015,-0.0119994,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11708.0,11568,86.51
1820,801.0,100.0,100.0,5.0,6.0,1e-05,0.00019,-0.0139991,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11680.0,11540,85.53
1848,500.0,100.0,100.0,5.0,7.0,0.00018,0.00019,-0.0139991,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11652.0,11512,80.75
1877,400.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,-0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11623.0,11483,78.74
1892,300.0,100.0,100.0,6.0,6.0,0.00019,0.00021,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11608.0,11468,81.19
1906,700.0,100.0,100.0,6.0,6.0,0.00021,0.00021,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11594.0,11454,82.85
1933,600.0,100.0,100.0,5.0,6.0,0.00021,0.00056,-0.0119994,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11567.0,11427,82.09
1961,699.0,100.0,100.0,5.0,5.0,0.00056,0.00056,-0.0119994,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11539.0,11399,78.32
1990,301.0,100.0,100.0,5.0,5.0,0.00056,0.00056,-0.0119994,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11510.0,11370,80.9
2011,400.0,100.0,100.0,5.0,5.0,0.00017,0.00056,-0.0119994,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,92.5784,4.52902,0,11489.0,11349,85.04
2021,900.0,100.0,100.0,5.0,6.0,0.00017,0.00068,-0.0309901,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.756,8.06238,0,11479.0,11339,86.52
2054,600.0,100.0,100.0,6.0,6.0,0.00068,0.00068,-0.0309901,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.756,8.06238,0,11446.0,11306,86.7
2081,600.0,100.0,100.0,6.0,6.0,0.00068,0.00068,-0.0309901,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.756,8.06238,0,11419.0,11279,86.72
2107,699.0,100.0,100.0,5.0,8.0,0.0,0.00068,-0.0309901,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.756,8.06238,0,11393.0,11253,80.84
2135,601.0,100.0,100.0,5.0,6.0,0.0,1e-05,0.0,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.756,8.06238,0,11365.0,11225,74.0
2166,700.0,100.0,100.0,5.0,8.0,1e-05,0.00017,-0.0349857,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,73.756,8.06238,0,11334.0,11194,74.8
2196,699.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0349857,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.756,8.06238,0,11304.0,11164,79.96
2224,500.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0399787,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.756,8.06238,0,11276.0,11136,81.97
