driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
488,224.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.9997,1.33755,0,58912.0,53209,24.97
520,624.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.9997,1.33755,0,58880.0,53177,27.82
633,624.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.9997,1.33755,0,58767.0,53064,30.1
744,624.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.9997,1.33755,0,58656.0,52953,27.46
831,1344.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.9997,1.33755,0,58569.0,52866,34.17
976,1088.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.9997,1.33755,0,58424.0,52721,34.61
1090,1072.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.9997,1.33755,0,58310.0,52607,46.56
1174,1088.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.9082,3.73952,0,58226.0,52523,46.88
1258,1088.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.9082,3.73952,0,58142.0,52439,30.04
1388,2096.0,100.0,100.0,2.0,5.0,0.00054,0.00593,-0.0259941,0.029991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.9082,3.73952,0,58012.0,52309,37.95
1502,2128.0,100.0,100.0,3.0,4.0,0.00184,0.00279,-0.0349857,0.0239954,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.9082,3.73952,0,57898.0,52195,29.04
1887,640.0,100.0,100.0,3.0,7.0,0.0001,0.00593,-0.0159986,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.9082,3.73952,0,57513.0,51810,48.57
1935,48.0,100.0,100.0,6.0,6.0,0.0001,0.0001,0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.9082,3.73952,0,57465.0,51762,54.85
1938,704.0,100.0,100.0,5.0,6.0,2e-05,0.0001,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.9082,3.73952,0,57462.0,51759,58.02
1982,720.0,100.0,100.0,5.0,5.0,0.0,2e-05,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.9082,3.73952,0,57418.0,51715,60.62
2024,704.0,100.0,100.0,5.0,5.0,0.0,1e-05,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.1889,2.0539,0,57376.0,51673,67.04
2062,128.0,100.0,100.0,5.0,5.0,0.0,1e-05,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.1889,2.0539,0,57338.0,51635,68.13
2068,576.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7184,6.72979,0,57332.0,51629,66.02
2100,720.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7184,6.72979,0,57300.0,51597,59.43
2143,704.0,100.0,100.0,5.0,5.0,0.0,1e-05,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7184,6.72979,0,57257.0,51554,58.02
2187,288.0,100.0,100.0,4.0,6.0,0.0,0.00016,-0.002,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7184,6.72979,0,57213.0,51510,60.36
2203,416.0,100.0,100.0,4.0,6.0,0.0,0.00016,-0.002,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7184,6.72979,0,57197.0,51494,65.82
2227,672.0,100.0,100.0,5.0,5.0,0.00016,0.00016,0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7184,6.72979,0,57173.0,51470,66.27
