driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
146,192.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.4869,1.14103,0,71854.0,46670,20.18
182,1248.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.4869,1.14103,0,71818.0,46634,28.43
336,800.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71664.0,46480,25.83
387,864.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.275,1.01219,0,71613.0,46429,37.69
469,960.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.275,1.01219,0,71531.0,46347,36.23
563,1152.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71437.0,46253,54.97
680,192.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71320.0,46136,42.36
697,224.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71303.0,46119,52.2
759,1056.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71241.0,46057,77.47
808,1056.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71192.0,46008,75.3
859,1088.0,100.0,100.0,6.0,6.0,0.00011,0.00014,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4718,4.34862,0,71141.0,45957,74.66
910,1056.0,100.0,100.0,6.0,6.0,0.0001,0.00022,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4718,4.34862,0,71090.0,45906,75.5
960,448.0,100.0,100.0,6.0,6.0,0.00022,0.00022,-0.002,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4718,4.34862,0,71040.0,45856,75.24
981,608.0,0.0,100.0,6.0,6.0,5e-05,0.00022,-0.0239954,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.407,2.85883,0,71019.0,45835,75.39
1012,1120.0,0.0,100.0,6.0,6.0,8e-05,0.00018,-0.0239954,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.407,2.85883,0,70988.0,45804,72.43
1067,384.0,100.0,100.0,6.0,6.0,0.00018,0.00018,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70933.0,45749,79.81
1083,768.0,100.0,100.0,6.0,7.0,0.00011,0.00018,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70917.0,45733,76.33
1120,960.0,100.0,100.0,5.0,7.0,0.00017,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70880.0,45696,75.41
1165,160.0,100.0,100.0,6.0,7.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70835.0,45651,75.73
1173,1088.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70827.0,45643,75.21
1224,1024.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70776.0,45592,74.36
1275,1056.0,100.0,100.0,5.0,7.0,1e-05,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.8971,0.623635,0,70725.0,45541,73.94
1327,1088.0,100.0,100.0,5.0,7.0,1e-05,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.8971,0.623635,0,70673.0,45489,75.43
