driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
780,736.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49800.12,49420,24.12
887,1040.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49693.12,49313,33.51
1078,16.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49502.12,49122,57.53
1078,1152.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49502.12,49122,64.71
1136,752.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49444.12,49064,65.03
1179,784.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49401.12,49021,48.23
1236,640.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49344.12,48964,65.76
1272,640.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49308.12,48928,71.41
1303,656.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49277.12,48897,67.27
1338,1088.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49242.12,48862,36.62
