driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,704.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,51238.88,49468,25.45
107,1312.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,51132.88,49362,30.77
359,1088.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,50880.88,49110,36.11
470,1056.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,50769.88,48999,49.01
549,1056.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50690.88,48920,27.57
784,160.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50455.88,48685,40.35
799,832.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50440.88,48670,49.29
859,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50380.88,48610,58.82
896,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50343.88,48573,71.53
927,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50312.88,48542,72.77
958,640.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50281.88,48511,77.97
987,640.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50252.88,48482,80.57
1015,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50224.88,48454,83.39
1042,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50197.88,48427,86.93
1067,672.0,100.0,100.0,4.0,7.0,0.00024,0.00026,-0.0189977,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50172.88,48402,85.67
1095,672.0,100.0,100.0,4.0,7.0,0.00025,0.00026,-0.0189977,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50144.88,48374,87.82
1122,384.0,100.0,100.0,5.0,6.0,0.00023,0.00025,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50117.88,48347,88.67
1138,320.0,100.0,100.0,5.0,5.0,0.00012,0.00025,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50101.88,48331,89.96
1152,736.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50087.88,48317,89.66
1181,672.0,100.0,100.0,5.0,5.0,0.0,0.00025,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50058.88,48288,88.04
1209,1056.0,100.0,100.0,5.0,5.0,0.0,0.00025,-0.0139991,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50030.88,48260,87.91
1235,576.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0139991,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50004.88,48234,83.85
1261,640.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0139991,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49978.88,48208,87.25
1287,640.0,100.0,100.0,5.0,5.0,1e-05,0.00025,-0.0139991,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49952.88,48182,88.56
1312,608.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49927.88,48157,88.42
1337,544.0,100.0,100.0,4.0,6.0,0.0,1e-05,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49902.88,48132,86.84
1359,96.0,100.0,100.0,4.0,6.0,1e-05,0.00037,-0.0159986,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49880.88,48110,84.11
1363,608.0,100.0,100.0,4.0,6.0,1e-05,0.00037,-0.0159986,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49876.88,48106,83.97
1390,224.0,100.0,100.0,5.0,5.0,0.00037,0.0004,-0.0159986,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49849.88,48079,83.65
1399,416.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0159986,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49840.88,48070,84.72
1417,640.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49822.88,48052,87.55
1444,768.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49795.88,48025,89.44
1474,672.0,100.0,100.0,4.0,6.0,0.0002,0.0004,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49765.88,47995,90.28
1501,128.0,100.0,100.0,4.0,5.0,0.0,0.0002,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49738.88,47968,90.3
1506,544.0,100.0,100.0,4.0,6.0,0.0,0.00019,-0.0209969,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49733.88,47963,85.93
1528,640.0,100.0,100.0,5.0,5.0,0.0,1e-05,-0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49711.88,47941,87.83
1555,672.0,100.0,100.0,5.0,5.0,0.0,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49684.88,47914,90.88
1581,640.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49658.88,47888,87.99
1608,608.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49631.88,47861,88.21
1633,96.0,100.0,100.0,5.0,5.0,9e-05,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49606.88,47836,86.02
1636,736.0,100.0,100.0,5.0,5.0,9e-05,0.00025,-0.0159986,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49603.88,47833,79.56
1669,1152.0,0.0,100.0,2.0,5.0,0.00025,0.01039,-0.0489608,0.0439716,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.7597,1.45208,0,49570.88,47800,43.38
1766,128.0,100.0,100.0,4.0,7.0,0.0,9e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.5509,1.68571,0,49473.88,47703,46.2
