driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
9,320.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52191.0,41451,21.87
73,912.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52127.0,41387,27.26
195,208.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52005.0,41265,21.59
229,1568.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51971.0,41231,34.79
388,992.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51812.0,41072,36.12
494,1856.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51706.0,40966,40.72
554,944.0,100.0,100.0,5.0,5.0,8e-05,0.00013,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51646.0,40906,35.75
762,1056.0,100.0,100.0,5.0,5.0,8e-05,0.00013,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51438.0,40698,70.42
816,1072.0,100.0,100.0,5.0,5.0,0.00011,0.00013,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51384.0,40644,82.26
863,1072.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51337.0,40597,84.06
909,144.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51291.0,40551,84.53
915,896.0,100.0,100.0,5.0,5.0,0.00011,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51285.0,40545,84.59
954,1072.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51246.0,40506,84.71
999,256.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51201.0,40461,84.41
1009,816.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51191.0,40451,84.73
1045,1072.0,100.0,100.0,4.0,6.0,5e-05,0.00013,-0.002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,51155.0,40415,84.22
1090,1056.0,100.0,100.0,4.0,6.0,0.00013,0.00014,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,51110.0,40370,83.49
1136,1072.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.00899976,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,51064.0,40324,84.04
1182,1088.0,100.0,100.0,5.0,5.0,1e-05,0.00014,-0.00899976,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6604,1.27535,0,51018.0,40278,84.55
1228,400.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.002,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50972.0,40232,84.56
1245,496.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.0119994,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50955.0,40215,84.77
1275,1344.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.0119994,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50925.0,40185,83.54
1324,32.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.002,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50876.0,40136,84.28
1325,1216.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.002,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50875.0,40135,84.46
1376,64.0,100.0,100.0,5.0,5.0,0.0,0.00018,-0.0119994,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50824.0,40084,85.29
1379,1168.0,100.0,100.0,5.0,5.0,0.0,0.00018,-0.0119994,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0964,1.21632,0,50821.0,40081,82.91
1430,32.0,100.0,100.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6657,1.95729,0,50770.0,40030,80.04
