driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
973,1584.0,100.0,100.0,3.0,4.0,0.00013,0.00025,0.00899976,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38026.88,37248,78.14
976,1168.0,100.0,100.0,3.0,5.0,0.00014,0.00067,-0.0309901,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38023.88,37245,79.63
1027,240.0,100.0,100.0,4.0,4.0,0.00067,0.00067,-0.0309901,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37972.88,37194,85.05
1039,704.0,100.0,100.0,4.0,4.0,0.00067,0.00067,-0.0309901,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37960.88,37182,92.24
1076,1216.0,100.0,100.0,3.0,4.0,0.00032,0.00067,-0.0309901,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37923.88,37145,87.95
1123,1632.0,100.0,100.0,2.0,5.0,0.0,0.00034,-0.0169984,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37876.88,37098,81.43
1167,1184.0,100.0,100.0,4.0,4.0,9e-05,0.00026,-0.0169984,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37832.88,37054,83.84
1225,96.0,100.0,100.0,4.0,4.0,9e-05,0.00025,-0.0189977,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37774.88,36996,83.4
1246,1632.0,100.0,100.0,4.0,4.0,0.00025,0.00025,-0.0189977,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,91.1451,4.63421,0,37753.88,36975,82.32
1269,720.0,100.0,100.0,4.0,4.0,0.00025,0.00025,-0.0189977,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,91.1451,4.63421,0,37730.88,36952,84.32
1305,656.0,0.0,100.0,4.0,5.0,0.0,0.00025,-0.0189977,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,91.1451,4.63421,0,37694.88,36916,85.64
1319,1264.0,0.0,100.0,3.0,6.0,1e-05,0.00047,-0.0169984,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,91.1451,4.63421,0,37680.88,36902,84.52
1374,1312.0,100.0,100.0,4.0,5.0,0.00047,0.00051,0.00699989,0.0379817,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,91.1451,4.63421,0,37625.88,36847,78.95
1424,160.0,100.0,100.0,4.0,4.0,0.00033,0.00042,0.0259941,0.0349857,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,147.905,10.0725,0,37575.88,36797,64.13
1431,1216.0,100.0,100.0,4.0,4.0,1e-05,0.00033,0.0259941,0.0309901,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,147.905,10.0725,0,37568.88,36790,53.13
1499,816.0,100.0,100.0,4.0,4.0,1e-05,0.00024,-0.0279927,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,147.905,10.0725,0,37500.88,36722,52.4
1550,352.0,100.0,100.0,3.0,4.0,0.00024,0.00041,-0.0349857,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,147.905,10.0725,0,37449.88,36671,76.93
1566,1312.0,100.0,100.0,3.0,4.0,0.00011,0.00054,-0.0349857,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,147.905,10.0725,0,37433.88,36655,84.82
1615,1056.0,100.0,100.0,4.0,4.0,0.00054,0.00064,-0.032988,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,147.905,10.0725,0,37384.88,36606,82.2
1662,192.0,100.0,100.0,4.0,4.0,0.00064,0.00067,0.00899976,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,157.831,15.4336,0,37337.88,36559,83.34
1685,1344.0,100.0,100.0,4.0,4.0,1e-05,0.00067,0.00899976,0.0239954,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,157.831,15.4336,0,37314.88,36536,69.39
1729,160.0,100.0,100.0,4.0,4.0,1e-05,1e-05,0.0239954,0.0239954,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,157.831,15.4336,0,37270.88,36492,61.61
1736,1104.0,100.0,100.0,4.0,4.0,1e-05,0.00045,0.00899976,0.0259941,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,157.831,15.4336,0,37263.88,36485,59.85
1789,160.0,100.0,100.0,4.0,4.0,0.00038,0.00046,-0.0119994,0.0259941,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,157.831,15.4336,0,37210.88,36432,58.29
1831,1312.0,100.0,100.0,4.0,4.0,0.00012,0.00055,-0.0349857,-0.0119994,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,157.831,15.4336,0,37168.88,36390,85.3
1858,176.0,100.0,100.0,4.0,4.0,0.00055,0.00055,-0.0349857,-0.0279927,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,157.831,15.4336,0,37141.88,36363,96.0
1860,784.0,100.0,100.0,4.0,4.0,0.00048,0.00056,-0.0349857,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,157.831,15.4336,0,37139.88,36361,97.03
1889,848.0,100.0,100.0,4.0,4.0,0.0,0.00048,-0.0309901,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,121.423,1.07279,0,37110.88,36332,93.98
1931,1600.0,100.0,100.0,4.0,5.0,0.0,0.00018,-0.0239954,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,97.9291,12.052,0,37068.88,36290,85.45
1954,1040.0,100.0,100.0,2.0,5.0,0.0,0.00711,-0.0489608,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,97.9291,12.052,0,37045.88,36267,90.4
1989,112.0,100.0,100.0,2.0,7.0,0.0,0.00711,-0.0489608,0.029991,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,97.9291,12.052,0,37010.88,36232,87.62
1990,1072.0,100.0,100.0,4.0,5.0,0.0,0.0,-0.0169984,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,97.9291,12.052,0,37009.88,36231,85.84
2041,928.0,0.0,100.0,4.0,4.0,0.0,0.00043,-0.0169984,0.0189977,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,97.9291,12.052,0,36958.88,36180,79.51
2049,528.0,100.0,100.0,4.0,4.0,0.00031,0.00064,-0.0229959,0.0189977,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,97.9291,12.052,0,36950.88,36172,72.67
2071,1056.0,0.0,100.0,3.0,4.0,0.00016,0.0008,-0.029991,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,97.9291,12.052,0,36928.88,36150,85.3
2144,480.0,0.0,100.0,4.0,4.0,1e-05,0.00078,-0.00899976,0.0139991,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,97.9291,12.052,0,36855.88,36077,80.85
2173,1248.0,100.0,100.0,3.0,4.0,0.00065,0.00089,-0.0139991,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,97.9291,12.052,0,36826.88,36048,89.28
2181,192.0,100.0,100.0,3.0,3.0,0.00032,0.00065,0.0209969,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36818.88,36040,82.92
2210,896.0,100.0,100.0,3.0,4.0,0.00032,0.00054,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36789.88,36011,88.74
2224,448.0,100.0,100.0,3.0,4.0,0.00054,0.00066,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36775.88,35997,95.41
2241,1472.0,100.0,100.0,4.0,4.0,0.00063,0.00066,-0.0209969,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36758.88,35980,92.8
2286,0.0,100.0,100.0,4.0,4.0,0.00063,0.00063,-0.0209969,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36713.88,35935,88.36
2290,1264.0,100.0,100.0,4.0,4.0,0.00063,0.00063,-0.0209969,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36709.88,35931,85.89
2329,448.0,100.0,100.0,4.0,4.0,0.00063,0.00063,-0.0209969,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36670.88,35892,83.16
2344,656.0,100.0,100.0,4.0,4.0,0.00014,0.00063,-0.0209969,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36655.88,35877,83.68
2367,944.0,100.0,100.0,3.0,5.0,4e-05,0.00038,-0.0209969,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36632.88,35854,86.26
2401,496.0,100.0,100.0,4.0,4.0,0.00038,0.00038,-0.00999967,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.9659,6.38075,0,36598.88,35820,84.9
2418,384.0,100.0,100.0,4.0,5.0,5e-05,0.00022,-0.0229959,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.6828,10.6258,0,36581.88,35803,84.61
2445,688.0,100.0,100.0,4.0,5.0,5e-05,0.00022,-0.0229959,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.6828,10.6258,0,36554.88,35776,83.75
2489,1200.0,100.0,100.0,4.0,5.0,5e-05,0.00022,-0.0229959,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.6828,10.6258,0,36510.88,35732,81.45
2504,80.0,100.0,100.0,4.0,5.0,5e-05,0.00022,-0.0229959,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.6828,10.6258,0,36495.88,35717,83.42
2504,688.0,100.0,100.0,4.0,5.0,5e-05,0.00022,-0.0229959,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.3183,10.593,0,36495.88,35717,83.4
2527,656.0,100.0,100.0,3.0,4.0,0.00013,0.00056,-0.0229959,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.3183,10.593,0,36472.88,35694,85.49
2562,1072.0,100.0,100.0,3.0,3.0,0.00056,0.00056,-0.0139991,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.3183,10.593,0,36437.88,35659,84.38
2592,224.0,100.0,100.0,3.0,3.0,0.00056,0.00056,-0.0139991,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.3183,10.593,0,36407.88,35629,84.54
2594,880.0,100.0,100.0,3.0,5.0,1e-05,0.00056,-0.0139991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.3183,10.593,0,36405.88,35627,84.84
2632,512.0,100.0,100.0,4.0,4.0,0.00024,0.00024,0.0169984,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.3183,10.593,0,36367.88,35589,83.93
2652,672.0,100.0,100.0,3.0,4.0,0.00024,0.00052,-0.00999967,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.3183,10.593,0,36347.88,35569,79.81
2681,896.0,100.0,100.0,4.0,5.0,0.00017,0.00067,-0.00999967,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.3183,10.593,0,36318.88,35540,82.11
2706,560.0,100.0,100.0,4.0,4.0,0.00067,0.00067,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.168,16.3288,0,36293.88,35515,83.99
2770,1008.0,100.0,100.0,4.0,4.0,0.00067,0.00067,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.168,16.3288,0,36229.88,35451,83.77
2784,720.0,100.0,100.0,4.0,4.0,0.00067,0.00067,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.168,16.3288,0,36215.88,35437,84.01
2807,720.0,100.0,100.0,3.0,3.0,0.00111,0.00111,-0.0229959,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.202,4.52273,0,36192.88,35414,82.33
2831,64.0,100.0,100.0,3.0,3.0,0.00111,0.00111,-0.0229959,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.202,4.52273,0,36168.88,35390,80.66
2837,560.0,100.0,100.0,3.0,3.0,0.00111,0.00111,-0.0229959,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.202,4.52273,0,36162.88,35384,82.04
2866,944.0,100.0,100.0,3.0,3.0,0.00111,0.00111,-0.0229959,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.202,4.52273,0,36133.88,35355,84.68
2889,160.0,100.0,100.0,3.0,3.0,0.00111,0.00111,-0.0229959,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.202,4.52273,0,36110.88,35332,88.46
