driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
166,704.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.1361,2.01163,0,51134.0,50520,38.47
178,256.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.1361,2.01163,0,51122.0,50508,20.45
291,832.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.1361,2.01163,0,51009.0,50395,37.69
372,736.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50928.0,50314,28.65
488,928.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50812.0,50198,44.25
565,352.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50735.0,50121,74.3
583,864.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50717.0,50103,87.59
619,448.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50681.0,50067,90.29
636,320.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50664.0,50050,85.24
650,640.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50650.0,50036,76.71
689,896.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50611.0,49997,69.82
726,160.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50574.0,49960,68.51
735,640.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50565.0,49951,68.28
767,896.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50533.0,49919,68.37
815,192.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50485.0,49871,69.25
824,1184.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50476.0,49862,73.38
883,288.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50417.0,49803,82.08
895,1088.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50405.0,49791,87.51
940,32.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50360.0,49746,83.56
942,1120.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50358.0,49744,85.45
989,224.0,100.0,100.0,4.0,4.0,0.00047,0.00047,-0.0229959,-0.0209969,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50311.0,49697,94.47
996,1184.0,100.0,100.0,4.0,4.0,0.00047,0.00051,-0.0259941,-0.0209969,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50304.0,49690,95.04
1042,1152.0,100.0,100.0,3.0,5.0,0.00041,0.00051,-0.0369831,-0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.215,8.06412,0,50258.0,49644,107.0
1081,352.0,100.0,100.0,4.0,4.0,0.00042,0.00042,-0.00699989,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.215,8.06412,0,50219.0,49605,106.55
1092,960.0,100.0,100.0,2.0,5.0,1e-05,0.00641,-0.0209969,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,28.215,8.06412,0,50208.0,49594,98.58
1127,224.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.0209969,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.215,8.06412,0,50173.0,49559,98.35
