driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,624.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.45782,1.8177,0,34079.119999999995,33793,26.05
174,640.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.45782,1.8177,0,33906.119999999995,33620,29.96
250,1344.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33830.119999999995,33544,30.97
309,1264.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33771.119999999995,33485,38.93
558,16.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33522.119999999995,33236,63.93
559,976.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33521.119999999995,33235,75.09
604,720.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33476.119999999995,33190,86.39
635,16.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33445.119999999995,33159,90.77
636,720.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33444.119999999995,33158,92.57
686,768.0,100.0,100.0,4.0,5.0,0.00028,0.00077,-0.0209969,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33394.119999999995,33108,89.24
693,464.0,100.0,100.0,5.0,5.0,0.00077,0.00077,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33387.119999999995,33101,88.36
712,1200.0,100.0,100.0,5.0,5.0,0.00028,0.00077,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33368.119999999995,33082,91.96
759,112.0,100.0,100.0,5.0,5.0,0.00028,0.00028,-0.00699989,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33321.119999999995,33035,90.2
763,1184.0,0.0,100.0,5.0,6.0,0.00025,0.00028,-0.0119994,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33317.119999999995,33031,90.12
811,128.0,100.0,100.0,4.0,6.0,0.00028,0.00028,-0.0139991,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33269.119999999995,32983,93.65
815,992.0,100.0,100.0,3.0,5.0,0.0,0.00031,-0.0169984,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.4072,3.63392,0,33265.119999999995,32979,94.12
854,336.0,100.0,100.0,4.0,5.0,0.00031,0.00032,0.0,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.4072,3.63392,0,33226.119999999995,32940,91.16
866,1184.0,100.0,100.0,4.0,5.0,0.0003,0.00032,-0.00699989,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33214.119999999995,32928,91.87
913,992.0,100.0,100.0,2.0,6.0,1e-05,0.00171,0.0,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,36.6947,4.00937,0,33167.119999999995,32881,92.08
952,176.0,100.0,100.0,5.0,6.0,1e-05,1e-05,0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33128.119999999995,32842,92.23
959,1152.0,100.0,100.0,5.0,5.0,1e-05,0.00077,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33121.119999999995,32835,90.52
1005,1280.0,100.0,100.0,5.0,5.0,0.00077,0.00078,-0.0279927,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33075.119999999995,32789,92.52
1054,128.0,100.0,100.0,5.0,5.0,0.00078,0.00078,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,33026.119999999995,32740,80.03
