driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
13,512.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52187.0,42047,29.75
74,864.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,52126.0,41986,26.6
210,208.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51990.0,41850,25.35
243,1568.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51957.0,41817,44.45
368,976.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51832.0,41692,33.45
484,1872.0,100.0,100.0,4.0,6.0,5e-05,0.00018,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51716.0,41576,42.77
638,944.0,100.0,100.0,5.0,5.0,8e-05,0.00013,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51562.0,41422,35.74
835,1040.0,100.0,100.0,5.0,5.0,8e-05,0.00013,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51365.0,41225,73.43
886,1088.0,100.0,100.0,5.0,5.0,0.00011,0.00013,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9437,0.976142,0,51314.0,41174,79.45
935,1056.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51265.0,41125,82.26
982,160.0,100.0,100.0,5.0,5.0,0.00011,0.00011,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51218.0,41078,83.71
988,912.0,100.0,100.0,5.0,5.0,0.00011,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51212.0,41072,83.31
1028,1040.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51172.0,41032,83.5
1073,256.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51127.0,40987,83.21
1083,816.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.954,0.714908,0,51117.0,40977,83.48
