driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1006,1008.0,100.0,100.0,3.0,7.0,0.0,0.00017,-0.0159986,0.0229959,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,15.6897,5.76846,0,32714.120000000003,30573,82.72
1006,1776.0,100.0,100.0,5.0,6.0,0.0,0.00014,-0.0159986,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.17583,2.69361,0,32714.120000000003,30573,86.41
1036,352.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.17583,2.69361,0,32684.120000000003,30543,83.41
1045,848.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.17583,2.69361,0,32675.120000000003,30534,86.7
1094,1872.0,100.0,100.0,5.0,5.0,1e-05,0.00014,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.17583,2.69361,0,32626.120000000003,30485,84.94
1123,368.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.98127,1.71418,0,32597.120000000003,30456,85.5
1139,1696.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.98127,1.71418,0,32581.120000000003,30440,86.04
1220,1008.0,0.0,100.0,4.0,7.0,3e-05,0.0003,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.3251,4.34904,0,32500.120000000003,30359,84.97
1271,1424.0,100.0,100.0,2.0,6.0,0.0,0.00117,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10.3251,4.34904,0,32449.120000000003,30308,85.0
1287,912.0,100.0,100.0,5.0,5.0,0.0,0.0,-0.0159986,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.3251,4.34904,0,32433.120000000003,30292,84.08
1369,496.0,100.0,100.0,4.0,6.0,0.0,0.00039,-0.0159986,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.3251,4.34904,0,32351.120000000003,30210,86.56
1389,2192.0,100.0,100.0,4.0,6.0,0.0,0.00041,-0.00899976,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.9206,1.42798,0,32331.120000000003,30190,87.12
1443,400.0,100.0,100.0,5.0,5.0,0.00017,0.00029,-0.00899976,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.9206,1.42798,0,32277.120000000003,30136,81.31
1444,928.0,100.0,100.0,5.0,5.0,0.00017,0.00029,-0.00899976,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.9206,1.42798,0,32276.120000000003,30135,79.65
1492,1120.0,100.0,100.0,5.0,5.0,0.00014,0.00017,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.9206,1.42798,0,32228.120000000003,30087,80.31
1591,1424.0,100.0,100.0,4.0,7.0,0.0,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.9206,1.42798,0,32129.120000000003,29988,75.9
1613,1424.0,100.0,100.0,4.0,6.0,0.0,1e-05,-0.0139991,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.86727,1.24772,0,32107.120000000003,29966,82.52
1654,1264.0,100.0,100.0,5.0,5.0,1e-05,0.00015,-0.0139991,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.86727,1.24772,0,32066.120000000003,29925,84.05
1707,1248.0,100.0,100.0,5.0,5.0,0.00015,0.00015,-0.002,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.86727,1.24772,0,32013.120000000003,29872,84.27
1755,1600.0,100.0,100.0,5.0,5.0,0.00015,0.00015,-0.002,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.86727,1.24772,0,31965.120000000003,29824,85.0
1802,1296.0,100.0,100.0,4.0,6.0,0.0,6e-05,-0.00699989,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.84991,1.64303,0,31918.120000000003,29777,83.26
1852,1712.0,100.0,100.0,4.0,6.0,0.0,0.00017,-0.00899976,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.84991,1.64303,0,31868.120000000003,29727,88.02
1920,1392.0,0.0,100.0,4.0,6.0,0.00017,0.00017,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.84991,1.64303,0,31800.120000000003,29659,89.74
1946,64.0,100.0,100.0,4.0,6.0,2e-05,0.00017,-0.00699989,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.84991,1.64303,0,31774.120000000003,29633,90.23
1948,1136.0,100.0,100.0,4.0,6.0,2e-05,0.00017,-0.00699989,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.84991,1.64303,0,31772.120000000003,29631,84.05
1997,688.0,100.0,100.0,5.0,5.0,0.00013,0.00013,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.3014,1.33917,0,31723.120000000003,29582,81.34
