driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,640.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59399.0,56124,28.47
79,608.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59321.0,56046,35.19
142,640.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59258.0,55983,37.02
202,512.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59198.0,55923,39.06
251,64.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59149.0,55874,32.57
262,480.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59138.0,55863,20.02
400,1088.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59000.0,55725,36.04
508,1056.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,58892.0,55617,44.37
595,32.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58805.0,55530,36.89
598,1088.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,58802.0,55527,31.19
719,1056.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,58681.0,55406,43.3
808,608.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,58592.0,55317,35.8
871,576.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58529.0,55254,26.04
998,768.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58402.0,55127,28.23
1096,32.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58304.0,55029,49.66
1097,704.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58303.0,55028,55.22
1142,704.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58258.0,54983,65.71
1181,608.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58219.0,54944,69.74
1212,608.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58188.0,54913,71.87
1243,576.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58157.0,54882,74.64
1271,576.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58129.0,54854,78.27
1299,640.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58101.0,54826,81.46
1326,608.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.9082,3.73952,0,58074.0,54799,75.77
1356,672.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.9082,3.73952,0,58044.0,54769,79.29
1385,576.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.9082,3.73952,0,58015.0,54740,81.49
1410,608.0,100.0,100.0,2.0,6.0,0.00031,0.00274,-0.0139991,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.9082,3.73952,0,57990.0,54715,82.45
