driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
147,288.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.4869,1.14103,0,71853.0,48999,16.71
209,1216.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.4869,1.14103,0,71791.0,48937,30.63
400,816.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71600.0,48746,29.95
423,864.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.275,1.01219,0,71577.0,48723,40.18
500,944.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.275,1.01219,0,71500.0,48646,34.59
599,1200.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71401.0,48547,49.7
721,192.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71279.0,48425,40.1
739,240.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71261.0,48407,47.41
810,1056.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71190.0,48336,65.13
869,1072.0,100.0,100.0,6.0,6.0,0.00014,0.00014,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2062,1.6593,0,71131.0,48277,67.55
926,1056.0,100.0,100.0,6.0,6.0,0.00011,0.00014,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4718,4.34862,0,71074.0,48220,68.4
982,1056.0,100.0,100.0,6.0,6.0,0.0001,0.00022,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4718,4.34862,0,71018.0,48164,68.81
1037,480.0,100.0,100.0,6.0,6.0,0.00022,0.00022,-0.002,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4718,4.34862,0,70963.0,48109,67.49
1062,624.0,0.0,100.0,6.0,6.0,5e-05,0.00022,-0.0239954,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.407,2.85883,0,70938.0,48084,69.66
1094,1056.0,0.0,100.0,6.0,6.0,8e-05,0.00018,-0.0239954,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.407,2.85883,0,70906.0,48052,63.46
1160,448.0,100.0,100.0,6.0,6.0,0.00018,0.00018,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70840.0,47986,69.59
1177,736.0,100.0,100.0,6.0,7.0,0.00011,0.00018,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70823.0,47969,66.64
1218,976.0,100.0,100.0,5.0,7.0,0.00017,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70782.0,47928,66.5
1270,160.0,100.0,100.0,6.0,7.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70730.0,47876,67.19
1278,1056.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70722.0,47868,72.23
1332,1072.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0021,0.799853,0,70668.0,47814,74.42
1383,1056.0,100.0,100.0,5.0,7.0,1e-05,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.8971,0.623635,0,70617.0,47763,77.04
1432,1088.0,100.0,100.0,5.0,7.0,1e-05,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.8971,0.623635,0,70568.0,47714,77.34
1483,1072.0,0.0,100.0,7.0,7.0,1e-05,0.00013,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.8971,0.623635,0,70517.0,47663,73.59
1536,128.0,0.0,0.0,7.0,7.0,0.00013,0.00013,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.8971,0.623635,0,70464.0,47610,64.64
1541,960.0,0.0,100.0,7.0,8.0,0.0,0.00013,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.8971,0.623635,0,70459.0,47605,69.62
1592,1088.0,0.0,100.0,4.0,8.0,0.0,0.00285,-0.00299999,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.2435,2.58265,0,70408.0,47554,68.45
1648,576.0,0.0,100.0,3.0,6.0,0.00013,0.00285,-0.00299999,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.2435,2.58265,0,70352.0,47498,67.14
1680,624.0,0.0,100.0,3.0,8.0,0.0002,0.00125,-0.00999967,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18.2435,2.58265,0,70320.0,47466,69.81
1712,624.0,100.0,100.0,5.0,6.0,0.00019,0.0002,-0.0209969,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2435,2.58265,0,70288.0,47434,73.97
1743,624.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0209969,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2435,2.58265,0,70257.0,47403,74.29
1773,656.0,100.0,100.0,5.0,5.0,0.00019,0.00025,-0.0209969,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2435,2.58265,0,70227.0,47373,78.41
1802,592.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2302,2.95278,0,70198.0,47344,81.31
1829,624.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2302,2.95278,0,70171.0,47317,71.61
1861,624.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2302,2.95278,0,70139.0,47285,67.98
1893,624.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2302,2.95278,0,70107.0,47253,72.9
1924,656.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.0169984,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2302,2.95278,0,70076.0,47222,73.99
1956,720.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.0169984,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2302,2.95278,0,70044.0,47190,77.76
1989,160.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.0169984,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2302,2.95278,0,70011.0,47157,79.28
1997,592.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.0169984,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2302,2.95278,0,70003.0,47149,76.91
2024,688.0,100.0,100.0,5.0,6.0,0.0,0.00026,-0.0169984,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.2302,2.95278,0,69976.0,47122,74.17
2062,656.0,100.0,100.0,4.0,6.0,0.0,0.00026,-0.00899976,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6889,0.900173,0,69938.0,47084,73.73
2090,624.0,100.0,100.0,5.0,6.0,0.00015,0.00025,-0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6889,0.900173,0,69910.0,47056,76.13
2119,624.0,100.0,100.0,5.0,5.0,0.00015,0.00015,-0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6889,0.900173,0,69881.0,47027,75.33
2149,256.0,100.0,100.0,5.0,5.0,0.00015,0.00015,-0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.6889,0.900173,0,69851.0,46997,72.18
2161,400.0,100.0,100.0,5.0,5.0,0.00015,0.00025,-0.0169984,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.4402,3.0215,0,69839.0,46985,68.28
2182,624.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0169984,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.4402,3.0215,0,69818.0,46964,76.43
2212,624.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0169984,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.4402,3.0215,0,69788.0,46934,75.6
2241,624.0,100.0,100.0,5.0,5.0,0.0002,0.00025,-0.0169984,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.4402,3.0215,0,69759.0,46905,72.96
2272,624.0,100.0,100.0,5.0,5.0,0.0002,0.0002,-0.0169984,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.4402,3.0215,0,69728.0,46874,74.39
2302,624.0,100.0,100.0,5.0,5.0,0.0002,0.0002,-0.0239954,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.2025,1.55281,0,69698.0,46844,83.32
2329,592.0,100.0,100.0,5.0,5.0,0.0002,0.0002,-0.0239954,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.2025,1.55281,0,69671.0,46817,78.26
2357,672.0,100.0,100.0,4.0,7.0,1e-05,0.0002,-0.0239954,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.2025,1.55281,0,69643.0,46789,76.0
2387,592.0,100.0,100.0,4.0,6.0,1e-05,0.00017,-0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.2025,1.55281,0,69613.0,46759,74.39
2417,624.0,100.0,100.0,4.0,6.0,0.00017,0.00017,-0.0159986,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.2025,1.55281,0,69583.0,46729,74.86
2446,624.0,100.0,100.0,4.0,7.0,0.00017,0.00017,-0.0159986,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.2025,1.55281,0,69554.0,46700,74.05
2476,624.0,100.0,100.0,5.0,5.0,0.00017,0.00018,-0.00499996,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.2025,1.55281,0,69524.0,46670,74.4
2507,592.0,100.0,100.0,4.0,6.0,0.0,0.00018,-0.00999967,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.2025,1.55281,0,69493.0,46639,76.28
2536,624.0,100.0,100.0,4.0,6.0,0.0,0.00018,-0.00299999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.1939,0.892941,0,69464.0,46610,76.14
2565,656.0,100.0,100.0,5.0,6.0,0.00018,0.00018,-0.00699989,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.1939,0.892941,0,69435.0,46581,73.69
2596,624.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00699989,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.1939,0.892941,0,69404.0,46550,74.33
2627,656.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.1939,0.892941,0,69373.0,46519,73.49
2658,592.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00499996,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.1939,0.892941,0,69342.0,46488,72.32
2689,656.0,100.0,100.0,4.0,6.0,0.00014,0.00018,-0.00499996,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.1939,0.892941,0,69311.0,46457,73.8
2720,160.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.1939,0.892941,0,69280.0,46426,73.92
2728,464.0,100.0,100.0,4.0,6.0,0.00014,0.00017,-0.00999967,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.1939,0.892941,0,69272.0,46418,69.9
2752,624.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.00999967,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.1939,0.892941,0,69248.0,46394,67.55
2785,624.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0139991,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0621,1.53396,0,69215.0,46361,75.8
2815,656.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0139991,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0621,1.53396,0,69185.0,46331,71.47
2847,624.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0139991,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0621,1.53396,0,69153.0,46299,76.29
2877,656.0,100.0,100.0,5.0,5.0,0.00017,0.00018,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0621,1.53396,0,69123.0,46269,72.92
2910,656.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00299999,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0621,1.53396,0,69090.0,46236,75.18
2941,96.0,100.0,100.0,5.0,5.0,0.00018,0.00019,-0.00699989,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0621,1.53396,0,69059.0,46205,76.45
2945,544.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00699989,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0621,1.53396,0,69055.0,46201,74.66
2971,624.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00699989,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0621,1.53396,0,69029.0,46175,70.26
3003,624.0,100.0,100.0,4.0,6.0,0.00016,0.00019,-0.0169984,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0621,1.53396,0,68997.0,46143,63.48
3038,624.0,100.0,100.0,4.0,6.0,0.0,0.00016,-0.0169984,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0884,2.07861,0,68962.0,46108,74.73
3068,496.0,100.0,100.0,5.0,6.0,1e-05,0.00018,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0884,2.07861,0,68932.0,46078,78.48
3092,128.0,100.0,100.0,5.0,5.0,0.00018,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0884,2.07861,0,68908.0,46054,79.19
3097,592.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0884,2.07861,0,68903.0,46049,73.99
3127,688.0,100.0,100.0,5.0,5.0,0.00018,0.00019,-0.00899976,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0884,2.07861,0,68873.0,46019,73.16
3160,688.0,0.0,100.0,5.0,5.0,0.00018,0.00032,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0884,2.07861,0,68840.0,45986,76.03
3192,720.0,0.0,0.0,5.0,5.0,0.00032,0.00032,-0.00299999,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0884,2.07861,0,68808.0,45954,73.92
3227,192.0,100.0,100.0,2.0,5.0,0.00174,0.00901,-0.0159986,0.0259941,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0884,2.07861,0,68773.0,45919,75.82
3232,432.0,100.0,100.0,2.0,5.0,0.00174,0.00901,-0.0159986,0.0259941,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0884,2.07861,0,68768.0,45914,77.03
3256,656.0,100.0,100.0,2.0,5.0,0.00174,0.00901,-0.0159986,0.0259941,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0884,2.07861,0,68744.0,45890,75.59
3288,752.0,100.0,100.0,2.0,5.0,0.00174,0.00901,-0.0159986,0.0259941,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.1148,1.80367,0,68712.0,45858,76.7
3322,624.0,100.0,100.0,2.0,5.0,0.00174,0.00901,-0.0159986,0.0259941,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.1148,1.80367,0,68678.0,45824,74.61
3353,160.0,100.0,100.0,2.0,5.0,0.00174,0.00901,-0.0159986,0.0259941,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.1148,1.80367,0,68647.0,45793,72.67
3361,928.0,100.0,100.0,2.0,6.0,0.00019,0.00255,-0.0119994,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1148,1.80367,0,68639.0,45785,75.13
3405,320.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0119994,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.1148,1.80367,0,68595.0,45741,77.34
3420,752.0,0.0,100.0,3.0,5.0,0.0,0.00019,-0.0119994,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.1148,1.80367,0,68580.0,45726,74.97
3455,624.0,100.0,100.0,3.0,5.0,0.0,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.1148,1.80367,0,68545.0,45691,74.45
3486,240.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,68514.0,45660,65.75
3500,784.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,68500.0,45646,73.24
3538,720.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,68462.0,45608,75.44
3572,128.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,68428.0,45574,77.72
3578,528.0,100.0,100.0,5.0,5.0,0.00018,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,68422.0,45568,76.86
3603,656.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,68397.0,45543,76.29
