driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1083,1101.0,100.0,100.0,6.0,6.0,9e-05,9e-05,-0.0169984,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,37917.0,37450,36.32
1170,1300.0,100.0,100.0,6.0,6.0,9e-05,0.00013,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,37830.0,37363,50.99
1214,1800.0,100.0,100.0,2.0,7.0,9e-05,0.0201,-0.0169984,0.0229959,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,66.7955,2.07898,0,37786.0,37319,27.42
1939,1200.0,100.0,100.0,2.0,7.0,9e-05,0.01756,-0.0259941,0.0209969,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,77.3783,5.09612,0,37061.0,36594,41.63
2144,1000.0,100.0,100.0,6.0,6.0,9e-05,9e-05,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,36856.0,36389,70.0
2195,300.0,100.0,100.0,6.0,6.0,9e-05,0.00017,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,36805.0,36338,83.94
2207,999.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0169984,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,36793.0,36326,83.22
2246,500.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0169984,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,36754.0,36287,79.96
2265,800.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0169984,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,36735.0,36268,78.4
2300,400.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0209969,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,36700.0,36233,79.15
2322,1199.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0209969,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,36678.0,36211,75.34
2375,101.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0209969,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,36625.0,36158,81.79
2379,1100.0,100.0,100.0,6.0,6.0,0.00011,0.00017,-0.0209969,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,36621.0,36154,84.14
2426,300.0,100.0,100.0,6.0,6.0,0.00017,0.00017,0.002,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,36574.0,36107,79.95
2436,1200.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,36564.0,36097,76.84
2491,100.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,36509.0,36042,76.87
2493,1100.0,100.0,100.0,6.0,6.0,0.00017,0.00018,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,36507.0,36040,78.7
2546,800.0,100.0,100.0,6.0,6.0,0.00018,0.00018,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,82.6657,2.90499,0,36454.0,35987,79.13
2581,500.0,100.0,100.0,6.0,6.0,0.00018,0.00018,-0.00899976,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,36419.0,35952,82.24
2600,800.0,100.0,100.0,5.0,6.0,0.00018,0.00018,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,36400.0,35933,71.1
2642,500.0,100.0,100.0,5.0,7.0,0.00018,0.00018,0.002,0.0279927,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,36358.0,35891,53.39
2676,500.0,100.0,100.0,7.0,7.0,0.0,0.00018,-0.0189977,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,36324.0,35857,68.55
2701,1101.0,100.0,100.0,5.0,8.0,0.0,0.00011,-0.0189977,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,36299.0,35832,80.6
2743,0.0,100.0,100.0,5.0,8.0,0.00011,0.00011,-0.0169984,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,36257.0,35790,81.03
2745,1000.0,100.0,100.0,5.0,8.0,0.00011,0.00011,-0.0169984,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,36255.0,35788,69.91
2796,399.0,100.0,100.0,6.0,6.0,0.00011,0.00018,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,36204.0,35737,75.25
2814,901.0,100.0,100.0,6.0,6.0,0.00018,0.00018,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.778,3.3752,0,36186.0,35719,79.64
2853,300.0,100.0,100.0,6.0,6.0,0.00018,0.00018,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.778,3.3752,0,36147.0,35680,77.79
2871,1200.0,100.0,100.0,6.0,6.0,0.00018,0.00018,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.778,3.3752,0,36129.0,35662,79.62
2920,99.0,100.0,100.0,6.0,6.0,0.00017,0.00018,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.778,3.3752,0,36080.0,35613,73.36
2926,1101.0,100.0,100.0,6.0,6.0,0.00017,0.00018,-0.0239954,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.778,3.3752,0,36074.0,35607,82.54
2975,1200.0,100.0,100.0,6.0,6.0,0.0,0.00018,-0.0239954,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.778,3.3752,0,36025.0,35558,77.44
3027,1199.0,100.0,100.0,5.0,8.0,0.0,0.00012,-0.00999967,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.2744,4.33366,0,35973.0,35506,69.73
3084,301.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.00999967,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.2744,4.33366,0,35916.0,35449,72.46
3099,1000.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.0139991,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.2744,4.33366,0,35901.0,35434,76.2
3138,1200.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.00999967,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.2744,4.33366,0,35862.0,35395,76.66
3192,500.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.00999967,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.2744,4.33366,0,35808.0,35341,76.79
3215,600.0,100.0,100.0,6.0,6.0,6e-05,0.00012,-0.0209969,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,71.3255,0.681463,0,35785.0,35318,81.86
3242,1099.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.0209969,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3316,5.30263,0,35758.0,35291,91.31
3287,1101.0,100.0,100.0,6.0,6.0,0.00012,0.00015,-0.0209969,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.3316,5.30263,0,35713.0,35246,78.94
3329,200.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,-0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.3316,5.30263,0,35671.0,35204,80.29
3339,1100.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.0169984,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.3316,5.30263,0,35661.0,35194,84.79
3386,1200.0,100.0,100.0,6.0,6.0,0.0,0.00015,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3316,5.30263,0,35614.0,35147,81.75
3435,1100.0,100.0,100.0,6.0,6.0,0.0,9e-05,-0.00299999,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.4585,1.00049,0,35565.0,35098,81.88
3484,1200.0,100.0,100.0,6.0,6.0,9e-05,0.00013,-0.0119994,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.4585,1.00049,0,35516.0,35049,81.29
3533,800.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.0119994,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.4585,1.00049,0,35467.0,35000,77.66
3569,300.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.0119994,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.4585,1.00049,0,35431.0,34964,72.13
3586,1200.0,100.0,100.0,5.0,7.0,0.00011,0.00012,-0.0119994,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.4585,1.00049,0,35414.0,34947,76.58
3638,1100.0,100.0,100.0,5.0,7.0,0.00011,0.00012,-0.00699989,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0983,1.49047,0,35362.0,34895,78.76
3689,1199.0,100.0,100.0,6.0,6.0,4e-05,0.00012,-0.00699989,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0983,1.49047,0,35311.0,34844,80.36
3739,1201.0,100.0,100.0,6.0,6.0,9e-05,0.00012,-0.00299999,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0983,1.49047,0,35261.0,34794,72.83
3793,1100.0,100.0,100.0,5.0,6.0,7e-05,0.00033,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0983,1.49047,0,35207.0,34740,75.66
3846,1200.0,100.0,100.0,4.0,6.0,0.00033,0.00034,-0.00899976,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.8995,6.57948,0,35154.0,34687,74.27
3900,800.0,100.0,100.0,5.0,7.0,0.00033,0.00034,0.00299999,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.8995,6.57948,0,35100.0,34633,69.19
3942,500.0,100.0,100.0,6.0,6.0,0.00034,0.00034,0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.8995,6.57948,0,35058.0,34591,73.8
3963,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.0279927,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.8995,6.57948,0,35037.0,34570,78.21
3993,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.0279927,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.8995,6.57948,0,35007.0,34540,84.74
4023,399.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.0279927,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.8995,6.57948,0,34977.0,34510,68.98
4046,801.0,100.0,100.0,6.0,6.0,0.00013,0.00019,-0.0279927,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.8995,6.57948,0,34954.0,34487,72.71
4087,500.0,100.0,100.0,6.0,6.0,0.00013,0.00033,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.8191,0.86004,0,34913.0,34446,70.08
4109,900.0,100.0,100.0,6.0,6.0,0.00033,0.00033,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.8191,0.86004,0,34891.0,34424,77.31
4151,200.0,100.0,100.0,6.0,6.0,0.00033,0.00033,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.8191,0.86004,0,34849.0,34382,77.2
