driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,128.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64799.0,54614,29.67
17,32.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64783.0,54598,31.6
20,640.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64780.0,54595,35.84
86,896.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64714.0,54529,30.62
192,640.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64608.0,54423,35.57
257,288.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64543.0,54358,34.48
296,352.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0864,1.87031,0,64504.0,54319,40.0
566,2112.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64234.0,54049,64.53
612,128.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64188.0,54003,77.45
617,1056.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64183.0,53998,76.28
667,160.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64133.0,53948,77.17
675,1024.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,64125.0,53940,69.87
728,160.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,64072.0,53887,56.54
738,512.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,64062.0,53877,65.54
765,544.0,100.0,100.0,5.0,8.0,0.00011,0.00015,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,64035.0,53850,60.34
799,672.0,100.0,100.0,6.0,7.0,0.0,0.00011,0.0,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,64001.0,53816,67.05
834,320.0,100.0,100.0,5.0,6.0,0.0,1e-05,0.0,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63966.0,53781,68.66
851,960.0,100.0,100.0,5.0,5.0,1e-05,0.00019,-0.002,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63949.0,53764,71.06
900,32.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63900.0,53715,72.89
901,800.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63899.0,53714,74.02
941,800.0,100.0,100.0,4.0,6.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63859.0,53674,74.45
978,672.0,100.0,100.0,5.0,6.0,0.0,0.00019,-0.002,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,63822.0,53637,77.04
1011,704.0,100.0,100.0,5.0,5.0,0.00017,0.00019,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,63789.0,53604,78.08
1042,640.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63758.0,53573,69.14
1076,640.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63724.0,53539,62.36
1114,224.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63686.0,53501,72.99
1125,416.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63675.0,53490,81.49
1144,704.0,0.0,100.0,4.0,7.0,0.00013,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63656.0,53471,89.06
1171,672.0,100.0,100.0,4.0,6.0,1e-05,0.00013,-0.002,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63629.0,53444,80.39
1202,704.0,100.0,100.0,5.0,6.0,2e-05,0.00014,-0.002,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63598.0,53413,76.37
1234,160.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63566.0,53381,75.85
1242,480.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63558.0,53373,75.38
1265,640.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,63535.0,53350,75.53
1296,640.0,0.0,100.0,5.0,6.0,0.00014,0.00014,-0.0169984,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,63504.0,53319,71.51
1328,640.0,0.0,100.0,4.0,6.0,4e-05,0.00019,-0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,63472.0,53287,78.48
1356,608.0,100.0,100.0,4.0,6.0,0.00016,0.00019,-0.0209969,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,63444.0,53259,80.24
1385,864.0,100.0,100.0,5.0,6.0,5e-05,0.00016,-0.00699989,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,63415.0,53230,77.14
1415,640.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,63385.0,53200,76.73
1445,352.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,63355.0,53170,78.65
1460,288.0,100.0,100.0,5.0,6.0,0.00018,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,63340.0,53155,80.36
1473,608.0,100.0,100.0,4.0,7.0,2e-05,0.00018,-0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,63327.0,53142,79.88
1501,640.0,100.0,100.0,4.0,7.0,1e-05,2e-05,-0.00899976,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,63299.0,53114,76.29
1531,640.0,100.0,100.0,5.0,6.0,2e-05,0.00019,-0.0139991,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,63269.0,53084,74.61
1561,608.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0119994,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,63239.0,53054,74.79
