driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
86,160.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46714.0,40251,16.88
140,1184.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46660.0,40197,35.99
233,1248.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46567.0,40104,47.71
291,1664.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46509.0,40046,42.01
398,1184.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46402.0,39939,36.81
501,192.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46299.0,39836,39.96
518,1120.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46282.0,39819,57.32
559,864.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46241.0,39778,49.53
611,608.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,46189.0,39726,37.64
671,640.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,46129.0,39666,42.37
723,928.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,46077.0,39614,43.88
778,1312.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,46022.0,39559,33.19
937,736.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,45863.0,39400,47.73
992,608.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,45808.0,39345,67.78
1025,480.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45775.0,39312,75.88
1189,608.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45611.0,39148,78.31
1217,640.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45583.0,39120,83.26
1244,640.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45556.0,39093,77.57
1273,608.0,90.0001,90.0001,4.0,4.0,1e-05,1e-05,-0.0119994,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.2627,3.98711,0,45527.0,39064,73.59
1303,480.0,0.0,90.0001,3.0,5.0,1e-05,0.00011,-0.0119994,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.2627,3.98711,0,45497.0,39034,66.06
