driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,768.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,51238.88,49749,33.46
89,1280.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,51150.88,49661,38.13
210,1088.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,51029.88,49540,34.57
357,1056.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,50882.88,49393,42.85
447,1024.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50792.88,49303,23.53
606,192.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50633.88,49144,30.22
627,800.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50612.88,49123,31.69
720,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50519.88,49030,60.44
757,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50482.88,48993,74.42
786,672.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50453.88,48964,78.37
815,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50424.88,48935,83.63
842,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50397.88,48908,85.22
868,640.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50371.88,48882,86.18
894,640.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50345.88,48856,87.92
920,640.0,100.0,100.0,4.0,7.0,0.00024,0.00026,-0.0189977,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50319.88,48830,88.48
946,640.0,100.0,100.0,4.0,7.0,0.00025,0.00026,-0.0189977,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50293.88,48804,91.03
973,448.0,100.0,100.0,5.0,6.0,0.00023,0.00025,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50266.88,48777,79.35
991,352.0,100.0,100.0,5.0,5.0,0.00012,0.00025,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50248.88,48759,81.98
1006,704.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50233.88,48744,83.86
1037,672.0,100.0,100.0,5.0,5.0,0.0,0.00025,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7351,3.18737,0,50202.88,48713,86.26
1065,640.0,100.0,100.0,5.0,5.0,0.0,0.00025,-0.0139991,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50174.88,48685,90.3
1091,640.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0139991,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50148.88,48659,89.62
1116,928.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0139991,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50123.88,48634,90.06
1140,608.0,100.0,100.0,5.0,5.0,1e-05,0.00025,-0.0139991,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50099.88,48610,90.3
1165,608.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50074.88,48585,90.16
1190,608.0,100.0,100.0,4.0,6.0,0.0,1e-05,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50049.88,48560,87.37
1215,96.0,100.0,100.0,5.0,5.0,1e-05,1e-05,0.0,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50024.88,48535,85.33
1218,576.0,100.0,100.0,4.0,6.0,1e-05,0.00037,-0.0159986,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,50021.88,48532,89.06
1241,160.0,100.0,100.0,5.0,5.0,0.00037,0.0004,-0.0159986,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49998.88,48509,91.63
1248,416.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0159986,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.5415,1.46039,0,49991.88,48502,90.72
1265,672.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49974.88,48485,90.5
1292,768.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49947.88,48458,89.14
1322,640.0,100.0,100.0,4.0,6.0,0.0002,0.0004,-0.0139991,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49917.88,48428,89.58
1349,128.0,100.0,100.0,4.0,5.0,0.0,0.0002,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49890.88,48401,89.04
1354,608.0,100.0,100.0,4.0,6.0,0.0,0.00019,-0.0209969,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49885.88,48396,86.62
1377,608.0,100.0,100.0,5.0,5.0,0.0,1e-05,-0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49862.88,48373,88.2
1403,448.0,100.0,100.0,5.0,5.0,0.0,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49836.88,48347,90.33
1435,864.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49804.88,48315,87.68
1456,608.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49783.88,48294,88.16
1481,96.0,100.0,100.0,5.0,5.0,9e-05,0.00025,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.546,2.17223,0,49758.88,48269,86.82
1484,704.0,100.0,100.0,5.0,5.0,9e-05,0.00025,-0.0159986,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49755.88,48266,79.41
1517,1152.0,0.0,100.0,2.0,5.0,0.00025,0.01039,-0.0489608,0.0439716,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.7597,1.45208,0,49722.88,48233,45.15
1610,128.0,100.0,100.0,4.0,7.0,0.0,9e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.5509,1.68571,0,49629.88,48140,45.92
1619,128.0,100.0,100.0,4.0,7.0,0.0,9e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.5509,1.68571,0,49620.88,48131,43.74
1629,1056.0,100.0,100.0,4.0,7.0,0.0,9e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49610.88,48121,55.46
1699,128.0,100.0,100.0,5.0,5.0,9e-05,9e-05,-0.00699989,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49540.88,48051,71.42
1705,1216.0,100.0,100.0,5.0,5.0,9e-05,9e-05,-0.00699989,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49534.88,48045,79.58
1760,0.0,100.0,100.0,5.0,5.0,0.0,0.00012,-0.0189977,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49479.88,47990,84.64
1761,1184.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.0189977,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49478.88,47989,82.93
1811,96.0,100.0,100.0,5.0,5.0,0.00012,0.00017,-0.0189977,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49428.88,47939,88.7
1815,864.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49424.88,47935,86.62
1851,608.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.7597,1.45208,0,49388.88,47899,87.89
1876,224.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0169,0.972262,0,49363.88,47874,87.83
1885,736.0,100.0,100.0,4.0,6.0,0.00017,0.00017,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0169,0.972262,0,49354.88,47865,88.24
1915,704.0,100.0,100.0,4.0,6.0,0.0,0.00018,-0.00499996,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49324.88,47835,88.08
1944,448.0,100.0,100.0,4.0,6.0,0.00017,0.00017,0.0159986,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49295.88,47806,84.13
1967,256.0,100.0,100.0,5.0,6.0,0.00017,0.00017,0.0189977,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49272.88,47783,79.93
1973,608.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0259941,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49266.88,47777,80.61
2003,640.0,100.0,100.0,5.0,5.0,0.00017,0.00019,-0.0259941,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49236.88,47747,93.18
2026,640.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49213.88,47724,93.6
2051,672.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49188.88,47699,89.92
2077,672.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49162.88,47673,89.23
2105,128.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49134.88,47645,90.19
2109,608.0,100.0,100.0,5.0,5.0,0.0,0.00013,0.0,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.6044,4.19382,0,49130.88,47641,88.82
2134,704.0,100.0,100.0,4.0,6.0,0.0,1e-05,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.1486,1.17693,0,49105.88,47616,87.48
2164,672.0,100.0,100.0,4.0,6.0,0.0,0.00018,-0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.1486,1.17693,0,49075.88,47586,86.99
2191,64.0,100.0,100.0,5.0,5.0,0.00018,0.00018,0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.1486,1.17693,0,49048.88,47559,86.84
2194,800.0,100.0,100.0,5.0,5.0,0.00018,0.00019,0.0,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.1486,1.17693,0,49045.88,47556,86.71
2227,736.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.1486,1.17693,0,49012.88,47523,89.68
2257,160.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.5518,0.876673,0,48982.88,47493,89.78
2264,1024.0,100.0,100.0,5.0,5.0,0.0,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5518,0.876673,0,48975.88,47486,89.19
2305,160.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5518,0.876673,0,48934.88,47445,88.69
2311,896.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5518,0.876673,0,48928.88,47439,87.97
2346,416.0,100.0,100.0,5.0,5.0,0.00017,0.00019,-0.00999967,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5518,0.876673,0,48893.88,47404,85.68
2366,544.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00999967,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5518,0.876673,0,48873.88,47384,86.42
2387,832.0,0.0,100.0,4.0,6.0,0.00017,0.00019,-0.00999967,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.5518,0.876673,0,48852.88,47363,85.63
2422,224.0,100.0,100.0,4.0,5.0,0.0,0.00017,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.3894,2.01177,0,48817.88,47328,83.91
2432,544.0,100.0,100.0,4.0,6.0,2e-05,0.00014,-0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.3894,2.01177,0,48807.88,47318,80.71
2455,768.0,100.0,100.0,5.0,6.0,2e-05,0.00019,-0.00299999,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.3894,2.01177,0,48784.88,47295,85.44
2488,448.0,100.0,100.0,5.0,5.0,0.0,0.00019,0.0,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.3894,2.01177,0,48751.88,47262,85.64
2507,384.0,100.0,100.0,4.0,6.0,0.0,0.00017,-0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.3913,0.74676,0,48732.88,47243,87.41
2524,960.0,100.0,100.0,5.0,6.0,0.0,2e-05,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.3913,0.74676,0,48715.88,47226,89.01
2561,96.0,100.0,100.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.3913,0.74676,0,48678.88,47189,89.3
2565,800.0,100.0,100.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.3913,0.74676,0,48674.88,47185,89.17
2598,608.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.3913,0.74676,0,48641.88,47152,88.71
2636,992.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.3913,0.74676,0,48603.88,47114,88.76
2663,800.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.3913,0.74676,0,48576.88,47087,88.47
2695,32.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2827,0.958162,0,48544.88,47055,88.94
2697,768.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2827,0.958162,0,48542.88,47053,88.31
2728,672.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2827,0.958162,0,48511.88,47022,87.88
2755,640.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2827,0.958162,0,48484.88,46995,87.3
2781,384.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2827,0.958162,0,48458.88,46969,89.14
2798,320.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2673,0.69574,0,48441.88,46952,87.96
2810,768.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2673,0.69574,0,48429.88,46940,89.17
2841,704.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2673,0.69574,0,48398.88,46909,89.64
2869,128.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2673,0.69574,0,48370.88,46881,87.89
2874,800.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2673,0.69574,0,48365.88,46876,89.38
2907,416.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2673,0.69574,0,48332.88,46843,89.57
2937,416.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.2673,0.69574,0,48302.88,46813,88.67
2940,800.0,100.0,100.0,3.0,4.0,0.00959,0.01013,-0.002,0.00499996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.1419,0.766205,0,48299.88,46810,88.19
2973,704.0,100.0,100.0,2.0,3.0,0.00089,0.00959,-0.00899976,0.00899976,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16.1419,0.766205,0,48266.88,46777,88.63
3001,160.0,100.0,100.0,2.0,7.0,0.0001,0.00089,0.00299999,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1419,0.766205,0,48238.88,46749,88.11
3007,864.0,100.0,100.0,6.0,7.0,4e-05,0.0001,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.1419,0.766205,0,48232.88,46743,88.19
3044,448.0,100.0,100.0,6.0,6.0,4e-05,4e-05,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.1419,0.766205,0,48195.88,46706,85.0
3061,480.0,100.0,100.0,6.0,6.0,0.0,4e-05,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.6301,0.664016,0,48178.88,46689,87.15
3083,896.0,100.0,100.0,6.0,6.0,0.0,0.00012,-0.00499996,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.6301,0.664016,0,48156.88,46667,88.59
3119,64.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.00299999,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.6301,0.664016,0,48120.88,46631,88.44
3121,1056.0,100.0,100.0,6.0,7.0,0.00012,0.00014,-0.00299999,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.6301,0.664016,0,48118.88,46629,88.07
3163,224.0,100.0,100.0,2.0,7.0,6e-05,0.00397,-0.00499996,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,16.6301,0.664016,0,48076.88,46587,88.87
3173,1056.0,100.0,100.0,2.0,7.0,6e-05,0.00397,-0.00499996,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,16.6301,0.664016,0,48066.88,46577,88.28
3216,192.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00499996,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.6301,0.664016,0,48023.88,46534,87.86
