driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
768,48.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31632.0,31489,83.86
775,784.0,100.0,100.0,2.0,4.0,1e-05,0.00084,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31625.0,31482,83.05
802,704.0,100.0,100.0,2.0,5.0,0.0,0.00124,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31598.0,31455,83.88
831,96.0,0.0,100.0,4.0,5.0,0.00123,0.00125,-0.00499996,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31569.0,31426,84.43
852,1168.0,0.0,80.0001,4.0,4.0,0.00124,0.00133,-0.0279927,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31548.0,31405,80.16
884,720.0,80.0001,80.0001,3.0,4.0,0.00066,0.00133,-0.0279927,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31516.0,31373,81.26
916,1136.0,80.0001,80.0001,4.0,5.0,1e-05,0.00109,-0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31484.0,31341,85.65
969,208.0,80.0001,80.0001,4.0,5.0,1e-05,1e-05,-0.0169984,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31431.0,31288,75.77
975,912.0,80.0001,100.0,3.0,6.0,1e-05,0.00244,-0.0229959,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,34.7767,4.30386,0,31425.0,31282,71.75
1015,464.0,100.0,100.0,3.0,6.0,0.0,0.00244,-0.0229959,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,34.7767,4.30386,0,31385.0,31242,70.62
1057,512.0,100.0,100.0,5.0,5.0,0.0,1e-05,0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31343.0,31200,78.22
1061,1152.0,100.0,100.0,5.0,5.0,0.0,0.0,0.00499996,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31339.0,31196,81.72
1105,384.0,100.0,100.0,5.0,5.0,0.0,0.00057,-0.00499996,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31295.0,31152,86.84
1119,1232.0,0.0,100.0,3.0,6.0,0.00057,0.00077,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31281.0,31138,85.92
1169,1264.0,100.0,100.0,3.0,6.0,1e-05,0.00077,-0.00699989,-0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31231.0,31088,85.86
1216,528.0,100.0,100.0,2.0,6.0,8e-05,0.02834,-0.0169984,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.6755,2.31847,0,31184.0,31041,86.69
1241,880.0,100.0,100.0,2.0,6.0,8e-05,0.02834,-0.0169984,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.6755,2.31847,0,31159.0,31016,46.14
1329,1136.0,100.0,100.0,2.0,6.0,8e-05,0.02834,-0.0169984,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.6755,2.31847,0,31071.0,30928,48.82
1416,1168.0,100.0,100.0,2.0,6.0,8e-05,0.02834,-0.0169984,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.6755,2.31847,0,30984.0,30841,82.13
1465,1120.0,100.0,100.0,5.0,5.0,0.00054,0.00054,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.6755,2.31847,0,30935.0,30792,86.94
1512,1008.0,100.0,100.0,5.0,5.0,0.0006,0.0006,-0.00299999,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,30888.0,30745,88.43
1552,144.0,100.0,100.0,5.0,5.0,0.0006,0.0006,-0.00299999,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,30848.0,30705,88.36
1559,1136.0,100.0,100.0,4.0,6.0,0.00014,0.0006,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,30841.0,30698,85.92
1606,288.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0119994,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,30794.0,30651,86.93
1618,848.0,0.0,100.0,4.0,7.0,0.00014,0.00097,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,30782.0,30639,86.62
1653,1200.0,0.0,100.0,3.0,7.0,0.0003,0.00149,0.00899976,0.0349857,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.8172,5.16286,0,30747.0,30604,79.43
1708,96.0,100.0,100.0,5.0,5.0,0.0006,0.0006,0.0159986,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,30692.0,30549,74.95
1712,1168.0,100.0,100.0,3.0,6.0,0.00157,0.00163,-0.00499996,0.0349857,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,58.9292,13.5834,0,30688.0,30545,73.86
1768,1232.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30632.0,30489,78.95
1820,1136.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30580.0,30437,84.54
1868,1168.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30532.0,30389,83.99
1916,464.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.5421,9.82123,0,30484.0,30341,84.4
1966,896.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.5421,9.82123,0,30434.0,30291,86.15
1973,112.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.5421,9.82123,0,30427.0,30284,86.33
