driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
248,699.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,45352.0,45319,23.09
292,200.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,45308.0,45275,12.5
486,700.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,45114.0,45081,44.09
540,1000.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,45060.0,45027,29.46
721,300.0,100.0,100.0,2.0,2.0,0.0135,0.0135,-0.0309901,-0.0159986,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.4895,1.02658,0,44879.0,44846,21.19
754,999.0,100.0,100.0,2.0,5.0,0.0,0.0135,-0.0309901,0.0189977,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.4895,1.02658,0,44846.0,44813,38.44
850,700.0,100.0,100.0,2.0,5.0,0.0,0.01569,-0.0259941,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.4895,1.02658,0,44750.0,44717,34.7
966,400.0,100.0,100.0,4.0,4.0,0.00031,0.00031,0.00299999,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,44634.0,44601,68.66
984,1100.0,100.0,100.0,4.0,5.0,0.0003,0.00031,0.0,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,44616.0,44583,65.9
1043,600.0,100.0,100.0,4.0,4.0,0.00029,0.0003,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.4895,1.02658,0,44557.0,44524,75.49
1074,601.0,100.0,100.0,4.0,4.0,0.00029,0.00029,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44526.0,44493,81.86
1100,500.0,100.0,100.0,4.0,4.0,0.00029,0.00029,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44500.0,44467,88.36
1118,800.0,100.0,100.0,4.0,4.0,0.00029,0.00029,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44482.0,44449,84.45
1154,200.0,100.0,100.0,4.0,4.0,0.00023,0.00029,-0.029991,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44446.0,44413,81.69
1166,700.0,100.0,100.0,4.0,4.0,0.00023,0.00023,-0.00899976,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44434.0,44401,74.34
1190,600.0,100.0,100.0,4.0,4.0,0.00023,0.00023,-0.00899976,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44410.0,44377,70.31
1226,699.0,100.0,100.0,4.0,4.0,0.00023,0.00023,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44374.0,44341,76.4
1257,700.0,0.0,100.0,2.0,6.0,0.0,0.00023,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,33.8015,2.9081,0,44343.0,44310,59.12
1297,1000.0,100.0,100.0,2.0,5.0,1e-05,0.01752,-0.0139991,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,33.8015,2.9081,0,44303.0,44270,39.95
1348,100.0,100.0,100.0,3.0,3.0,0.01752,0.01752,0.00699989,0.0369831,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33.8015,2.9081,0,44252.0,44219,25.65
1401,1000.0,100.0,100.0,3.0,5.0,0.00012,0.00017,-0.0159986,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44199.0,44166,67.84
1457,1200.0,100.0,100.0,4.0,4.0,0.00012,0.00012,-0.0139991,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44143.0,44110,84.61
1502,700.0,100.0,100.0,4.0,4.0,0.00012,0.00012,-0.0139991,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44098.0,44065,83.09
1530,300.0,100.0,100.0,4.0,4.0,0.00012,0.00012,-0.0139991,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44070.0,44037,84.29
1548,1200.0,100.0,100.0,3.0,5.0,8e-05,0.00012,-0.0119994,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44052.0,44019,91.0
1592,300.0,100.0,100.0,4.0,4.0,8e-05,8e-05,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,44008.0,43975,85.83
1608,900.0,100.0,100.0,3.0,5.0,0.0,8e-05,-0.00699989,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8015,2.9081,0,43992.0,43959,84.82
1640,800.0,100.0,100.0,4.0,4.0,0.0,0.00029,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.2087,6.24514,0,43960.0,43927,87.01
1677,300.0,0.0,100.0,2.0,4.0,0.00029,0.01061,-0.0309901,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,25.2087,6.24514,0,43923.0,43890,84.02
1687,1200.0,0.0,100.0,2.0,4.0,0.00029,0.01061,-0.0309901,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,25.2087,6.24514,0,43913.0,43880,64.13
1749,100.0,0.0,100.0,3.0,7.0,0.0,0.01061,-0.032988,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,25.2087,6.24514,0,43851.0,43818,42.92
1759,1000.0,100.0,100.0,3.0,7.0,0.0,0.01061,-0.032988,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,25.2087,6.24514,0,43841.0,43808,48.71
1824,100.0,100.0,100.0,6.0,6.0,0.00012,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.2087,6.24514,0,43776.0,43743,65.69
1834,1000.0,100.0,100.0,6.0,6.0,0.00012,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.2087,6.24514,0,43766.0,43733,77.72
1883,1200.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.419,2.7963,0,43717.0,43684,85.34
1930,100.0,100.0,100.0,6.0,6.0,3e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.419,2.7963,0,43670.0,43637,83.22
1936,1000.0,100.0,100.0,6.0,6.0,1e-05,7e-05,-0.0209969,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.419,2.7963,0,43664.0,43631,79.66
1980,700.0,100.0,100.0,6.0,6.0,7e-05,7e-05,-0.0209969,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.419,2.7963,0,43620.0,43587,66.83
2017,400.0,100.0,100.0,6.0,6.0,7e-05,7e-05,-0.0209969,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.419,2.7963,0,43583.0,43550,75.84
2038,1200.0,100.0,100.0,6.0,6.0,4e-05,0.00028,-0.0209969,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.419,2.7963,0,43562.0,43529,82.5
2087,199.0,100.0,100.0,6.0,6.0,0.00028,0.00028,-0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.1804,1.76145,0,43513.0,43480,82.77
2095,900.0,100.0,100.0,2.0,7.0,0.00028,0.00677,-0.0229959,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.1804,1.76145,0,43505.0,43472,81.99
2135,1000.0,100.0,100.0,3.0,7.0,6e-05,0.00677,-0.0229959,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.1804,1.76145,0,43465.0,43432,78.65
2183,1100.0,100.0,100.0,6.0,6.0,6e-05,6e-05,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.1804,1.76145,0,43417.0,43384,79.1
2231,1101.0,100.0,100.0,6.0,6.0,6e-05,0.0001,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.1804,1.76145,0,43369.0,43336,79.07
2279,500.0,100.0,100.0,6.0,6.0,0.0001,0.0001,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.9816,2.83797,0,43321.0,43288,83.63
2300,500.0,100.0,100.0,6.0,6.0,0.0001,0.0001,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.9816,2.83797,0,43300.0,43267,78.22
2326,1100.0,100.0,100.0,6.0,6.0,0.0,0.0001,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.9816,2.83797,0,43274.0,43241,73.51
2378,1100.0,100.0,100.0,6.0,7.0,1e-05,0.0001,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.9816,2.83797,0,43222.0,43189,79.62
2425,1000.0,100.0,100.0,3.0,8.0,0.0001,0.00251,-0.0119994,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.9816,2.83797,0,43175.0,43142,83.99
2470,1000.0,100.0,100.0,2.0,7.0,0.0001,0.00031,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18.6138,2.44137,0,43130.0,43097,80.07
2517,1100.0,100.0,100.0,6.0,7.0,1e-05,0.0001,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6138,2.44137,0,43083.0,43050,82.35
2563,200.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6138,2.44137,0,43037.0,43004,79.27
2570,899.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6138,2.44137,0,43030.0,42997,77.28
2611,1000.0,100.0,100.0,6.0,6.0,0.0,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6138,2.44137,0,42989.0,42956,75.31
2661,1200.0,100.0,100.0,2.0,7.0,0.0,0.00321,-0.0119994,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.8348,4.14433,0,42939.0,42906,63.93
2720,1100.0,100.0,100.0,4.0,4.0,0.0009,0.00321,-0.0119994,0.0309901,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26.8348,4.14433,0,42880.0,42847,40.18
2815,600.0,100.0,100.0,3.0,7.0,4e-05,0.00152,-0.0119994,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.8348,4.14433,0,42785.0,42752,56.18
2857,600.0,100.0,100.0,4.0,4.0,0.0,4e-05,-0.00999967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.8348,4.14433,0,42743.0,42710,71.0
2885,100.0,100.0,100.0,4.0,4.0,0.0,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.8348,4.14433,0,42715.0,42682,76.02
2893,801.0,100.0,100.0,4.0,4.0,0.0,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.8348,4.14433,0,42707.0,42674,77.8
2925,600.0,100.0,100.0,4.0,4.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.8348,4.14433,0,42675.0,42642,79.37
2958,800.0,100.0,100.0,4.0,4.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1681,1.3331,0,42642.0,42609,79.52
2985,200.0,100.0,100.0,4.0,4.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1681,1.3331,0,42615.0,42582,80.36
2994,800.0,100.0,100.0,4.0,4.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1681,1.3331,0,42606.0,42573,80.04
3033,500.0,100.0,100.0,4.0,4.0,0.00019,0.00019,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1681,1.3331,0,42567.0,42534,79.11
3053,600.0,100.0,100.0,4.0,4.0,0.00019,0.00019,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7209,4.07171,0,42547.0,42514,79.79
3081,600.0,100.0,100.0,4.0,4.0,0.00019,0.00019,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7209,4.07171,0,42519.0,42486,80.89
