driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
92,784.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.3914,1.58114,0,32308.0,31831,21.19
294,432.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.6187,1.94417,0,32106.0,31629,54.85
323,688.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.6187,1.94417,0,32077.0,31600,67.89
359,624.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,32041.0,31564,80.22
387,672.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,32013.0,31536,80.31
417,624.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31983.0,31506,80.13
445,624.0,100.0,100.0,2.0,4.0,1e-05,0.00084,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31955.0,31478,80.34
473,672.0,100.0,100.0,2.0,5.0,0.0,0.00124,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31927.0,31450,81.13
503,368.0,0.0,100.0,4.0,5.0,0.00123,0.00125,-0.00499996,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31897.0,31420,81.43
519,816.0,0.0,80.0001,4.0,4.0,0.00124,0.00133,-0.0279927,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31881.0,31404,79.38
