driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
99,736.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42801.12,42572,18.56
402,1216.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42498.12,42269,35.53
543,736.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42357.12,42128,36.79
621,608.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42279.12,42050,40.61
679,768.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42221.12,41992,35.48
754,992.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42146.12,41917,39.59
846,992.0,100.0,100.0,2.0,7.0,0.00026,0.00056,-0.0379817,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42054.12,41825,38.86
938,256.0,100.0,100.0,3.0,6.0,3e-05,0.00049,-0.0309901,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48.2247,5.65145,0,41962.12,41733,48.19
955,768.0,100.0,100.0,3.0,6.0,3e-05,0.00049,-0.0309901,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48.2247,5.65145,0,41945.12,41716,40.42
1024,1056.0,100.0,100.0,5.0,5.0,0.0,3e-05,-0.0309901,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.2997,7.25948,0,41876.12,41647,37.37
1173,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41727.12,41498,33.88
1280,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41620.12,41391,35.02
1384,1056.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41516.12,41287,31.81
1521,736.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41379.12,41150,42.59
1582,320.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41318.12,41089,44.37
1607,1056.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41293.12,41064,43.35
1694,960.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41206.12,40977,45.94
1771,64.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41129.12,40900,48.7
1775,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41125.12,40896,48.83
1848,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,41052.12,40823,30.33
2094,1056.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,40806.12,40577,38.18
2190,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,40710.12,40481,44.14
2273,1376.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,40627.12,40398,41.24
2346,1312.0,100.0,100.0,2.0,6.0,1e-05,0.01208,-0.0519532,0.0259941,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,37.6379,6.95247,0,40554.12,40325,32.46
2452,96.0,100.0,100.0,3.0,3.0,0.01208,0.01208,-0.0259941,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,37.6379,6.95247,0,40448.12,40219,33.61
2569,608.0,100.0,100.0,5.0,5.0,0.00061,0.00061,-0.0119994,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.5532,7.1135,0,40331.12,40102,71.39
2602,544.0,100.0,100.0,5.0,5.0,0.00049,0.00061,-0.0119994,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.5532,7.1135,0,40298.12,40069,79.6
2626,256.0,100.0,100.0,5.0,5.0,0.00049,0.00049,-0.00899976,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40274.12,40045,81.44
2637,928.0,100.0,100.0,5.0,5.0,0.00049,0.00049,-0.00899976,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40263.12,40034,83.47
2677,416.0,100.0,100.0,4.0,6.0,6e-05,0.00067,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40223.12,39994,85.81
2694,896.0,100.0,100.0,5.0,5.0,0.00062,0.00067,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40206.12,39977,85.4
2732,704.0,100.0,100.0,4.0,6.0,0.00015,0.00062,0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40168.12,39939,87.3
