driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
259,300.0,80.0001,100.0,4.0,4.0,0.0002,0.00031,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,13241.0,11919,39.57
289,700.0,80.0001,100.0,4.0,4.0,0.0002,0.00031,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,13211.0,11889,28.85
384,700.0,80.0001,100.0,4.0,4.0,0.0002,0.00031,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,13116.0,11794,24.13
554,700.0,80.0001,100.0,4.0,4.0,0.0002,0.00031,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12946.0,11624,34.47
633,700.0,80.0001,100.0,3.0,4.0,1e-05,0.00031,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12867.0,11545,38.37
735,100.0,100.0,100.0,2.0,4.0,8e-05,0.00507,-0.0119994,0.0509559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17.8052,1.23257,0,12765.0,11443,48.08
741,1200.0,100.0,100.0,2.0,4.0,8e-05,0.00507,-0.0119994,0.0509559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17.8052,1.23257,0,12759.0,11437,31.64
884,1200.0,100.0,100.0,2.0,4.0,8e-05,0.00507,-0.0119994,0.0509559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17.8052,1.23257,0,12616.0,11294,34.26
1102,700.0,100.0,100.0,2.0,5.0,0.00029,0.00498,-0.00999967,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.8052,1.23257,0,12398.0,11076,63.55
1138,500.0,100.0,100.0,4.0,4.0,0.00039,0.0004,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12362.0,11040,78.51
1167,800.0,80.0001,100.0,3.0,6.0,2e-05,0.00041,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12333.0,11011,75.54
1198,600.0,80.0001,100.0,4.0,6.0,0.0001,0.00041,-0.0139991,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12302.0,10980,75.85
1232,900.0,100.0,100.0,3.0,5.0,1e-05,0.00041,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12268.0,10946,67.94
1276,200.0,100.0,100.0,4.0,5.0,1e-05,1e-05,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12224.0,10902,75.61
1284,600.0,100.0,100.0,4.0,4.0,1e-05,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.8052,1.23257,0,12216.0,10894,72.98
1316,900.0,100.0,100.0,4.0,4.0,0.00066,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0029,6.50225,0,12184.0,10862,67.7
1360,300.0,100.0,100.0,4.0,4.0,0.00066,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0029,6.50225,0,12140.0,10818,74.84
1374,800.0,100.0,100.0,4.0,4.0,0.00066,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0029,6.50225,0,12126.0,10804,64.92
1422,500.0,100.0,100.0,4.0,5.0,0.0,0.00066,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0029,6.50225,0,12078.0,10756,72.63
1446,600.0,100.0,100.0,3.0,5.0,0.0,0.00023,-0.00999967,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12054.0,10732,75.28
1470,900.0,100.0,100.0,3.0,5.0,0.00018,0.00026,-0.0189977,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,12030.0,10708,79.56
1512,300.0,100.0,100.0,4.0,4.0,0.00026,0.00058,-0.0189977,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,11988.0,10666,63.85
1524,1100.0,80.0001,100.0,4.0,4.0,0.00058,0.00092,-0.00699989,0.0469654,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,11976.0,10654,65.26
1583,500.0,80.0001,80.0001,4.0,4.0,0.00092,0.00092,0.0189977,0.0469654,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,11917.0,10595,61.79
1617,800.0,80.0001,80.0001,4.0,4.0,0.00052,0.00092,0.0189977,0.0469654,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,11883.0,10561,65.32
1662,200.0,80.0001,80.0001,4.0,4.0,0.00052,0.00052,0.0259941,0.0469654,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,11838.0,10516,56.75
1669,900.0,80.0001,80.0001,4.0,4.0,0.00052,0.00052,0.0259941,0.0469654,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,11831.0,10509,57.87
1727,800.0,80.0001,80.0001,4.0,4.0,0.00052,0.00052,0.00899976,0.0469654,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.2081,25.9217,0,11773.0,10451,58.36
1772,0.0,80.0001,80.0001,4.0,4.0,0.0,0.00052,0.0,0.00899976,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,159.921,6.78999,0,11728.0,10406,63.55
1775,600.0,80.0001,80.0001,4.0,4.0,0.0,0.00052,-0.0349857,0.00899976,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11725.0,10403,70.24
1805,700.0,80.0001,80.0001,3.0,4.0,0.00015,0.00052,-0.0349857,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11695.0,10373,79.84
1834,600.0,80.0001,80.0001,3.0,3.0,0.00015,0.00015,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.845,6.9601,0,11666.0,10344,69.03
