driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,512.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32878.88,30976,18.42
150,672.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32729.879999999997,30827,29.65
225,32.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32654.879999999997,30752,27.22
230,1360.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32649.879999999997,30747,33.6
346,336.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32533.879999999997,30631,31.62
391,736.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32488.879999999997,30586,29.04
456,688.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32423.879999999997,30521,40.59
517,464.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32362.879999999997,30460,49.87
550,416.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.5288,0.986787,0,32329.879999999997,30427,45.71
583,768.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.5288,0.986787,0,32296.879999999997,30394,39.37
668,1200.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.5288,0.986787,0,32211.879999999997,30309,32.13
787,432.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32092.879999999997,30190,53.91
815,832.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,32064.879999999997,30162,33.57
890,880.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31989.879999999997,30087,32.42
