driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1378,899.0,100.0,100.0,6.0,6.0,9e-05,9e-05,-0.0169984,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,30422.000000000004,29881,35.52
1470,1300.0,100.0,100.0,6.0,6.0,9e-05,0.00013,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,30330.000000000004,29789,76.63
1487,1900.0,100.0,100.0,1.0,7.0,9e-05,0.0201,-0.0169984,0.0229959,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,66.7955,2.07898,0,30313.000000000004,29772,40.29
1643,1200.0,100.0,100.0,2.0,7.0,0.00013,0.01756,-0.0259941,0.0209969,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,77.3783,5.09612,0,30157.000000000004,29616,41.09
1825,1000.0,100.0,100.0,6.0,6.0,9e-05,9e-05,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,29975.000000000004,29434,88.06
1866,200.0,100.0,100.0,6.0,6.0,9e-05,0.00017,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,29934.000000000004,29393,92.03
1876,1100.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0169984,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,29924.000000000004,29383,92.32
1912,400.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0169984,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,29888.000000000004,29347,92.26
1928,800.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0169984,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,29872.000000000004,29331,92.28
1958,500.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0209969,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.5603,5.04332,0,29842.000000000004,29301,92.1
1977,1000.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0209969,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,29823.000000000004,29282,92.39
2021,200.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0209969,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,29779.000000000004,29238,92.16
2024,1200.0,100.0,100.0,6.0,6.0,0.00011,0.00017,-0.0209969,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,29776.000000000004,29235,92.62
2067,100.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,29733.000000000004,29192,92.4
2075,1200.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,29725.000000000004,29184,92.58
2121,100.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,29679.000000000004,29138,92.3
2123,1100.0,100.0,100.0,6.0,6.0,0.00017,0.00018,-0.00499996,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,81.4154,2.04961,0,29677.000000000004,29136,86.92
2171,800.0,100.0,100.0,6.0,6.0,0.00018,0.00018,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,82.6657,2.90499,0,29629.000000000004,29088,91.96
2201,500.0,100.0,100.0,6.0,7.0,0.00018,0.00018,-0.00899976,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,29599.000000000004,29058,91.95
2218,800.0,100.0,100.0,5.0,7.0,0.00018,0.00018,-0.00299999,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,29582.000000000004,29041,92.01
2251,700.0,0.0,100.0,4.0,7.0,0.0,0.0012,-0.00999967,0.0279927,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,29549.000000000004,29008,85.9
2272,400.0,0.0,100.0,4.0,7.0,0.0,0.0012,-0.0189977,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0618,5.59268,0,29528.000000000004,28987,76.89
2294,1000.0,0.0,100.0,3.0,8.0,0.0,0.00507,-0.0349857,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,86.0618,5.59268,0,29506.000000000004,28965,63.03
2347,100.0,100.0,100.0,4.0,4.0,0.00507,0.00507,-0.0119994,-0.002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,86.0618,5.59268,0,29453.000000000004,28912,56.44
2354,200.0,100.0,100.0,4.0,4.0,0.00507,0.00611,-0.0119994,-0.002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,86.0618,5.59268,0,29446.000000000004,28905,55.74
