driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,432.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,67798.88,56158,18.06
300,208.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,67499.88,55859,18.18
338,1456.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,67461.88,55821,21.79
702,608.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,67097.88,55457,53.38
744,384.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,67055.88,55415,56.34
768,1200.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.0864,1.87031,0,67031.88,55391,30.89
907,176.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.0864,1.87031,0,66892.88,55252,56.48
918,1104.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,66881.88,55241,68.92
976,112.0,100.0,100.0,4.0,4.0,6e-05,6e-05,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,66823.88,55183,78.48
981,1072.0,100.0,100.0,4.0,4.0,6e-05,0.00017,-0.0229959,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,66818.88,55178,76.43
1031,144.0,100.0,100.0,4.0,4.0,0.00017,0.00017,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,66768.88,55128,78.12
1038,992.0,100.0,100.0,3.0,5.0,0.0,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,66761.88,55121,78.13
1084,96.0,100.0,100.0,4.0,4.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,66715.88,55075,77.18
1096,848.0,100.0,100.0,3.0,4.0,0.0,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,66703.88,55063,78.48
1127,512.0,100.0,100.0,3.0,6.0,0.0,1e-05,-0.00999967,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,66672.88,55032,76.61
1152,416.0,100.0,100.0,4.0,5.0,1e-05,1e-05,-0.00299999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0259,0.568672,0,66647.88,55007,78.46
