driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
84,896.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38916.0,38723,25.08
424,902.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38576.0,38383,32.95
591,402.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38409.0,38216,27.5
644,1300.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38356.0,38163,28.4
784,1100.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38216.0,38023,27.44
974,800.0,100.0,100.0,2.0,7.0,0.0,0.00182,-0.00499996,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38026.0,37833,50.42
1020,698.0,100.0,100.0,6.0,6.0,0.00045,0.00045,-0.00499996,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.23144,3.94203,0,37980.0,37787,62.65
1057,602.0,100.0,100.0,6.0,6.0,0.00045,0.00067,-0.00899976,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.23144,3.94203,0,37943.0,37750,74.1
1087,700.0,100.0,100.0,6.0,6.0,0.00067,0.00073,-0.00899976,-0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.23144,3.94203,0,37913.0,37720,77.22
1116,0.0,100.0,100.0,6.0,6.0,0.00073,0.00073,-0.00899976,-0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37884.0,37691,77.83
1120,600.0,100.0,100.0,6.0,6.0,0.00069,0.00073,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37880.0,37687,78.54
1148,700.0,100.0,100.0,6.0,6.0,0.00069,0.00069,-0.00999967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37852.0,37659,78.82
1180,800.0,0.0,100.0,6.0,8.0,0.00014,0.00069,-0.00999967,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37820.0,37627,80.01
1214,98.0,0.0,100.0,5.0,8.0,6e-05,0.00014,0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37786.0,37593,81.83
1220,702.0,100.0,100.0,5.0,8.0,0.0,6e-05,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0295,4.26296,0,37780.0,37587,80.96
1250,896.0,100.0,100.0,6.0,8.0,0.0,0.00067,-0.0169984,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0295,4.26296,0,37750.0,37557,78.8
1284,702.0,100.0,100.0,6.0,6.0,0.00067,0.00067,-0.0169984,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0295,4.26296,0,37716.0,37523,78.16
1314,600.0,100.0,100.0,4.0,7.0,4e-05,0.00067,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0295,4.26296,0,37686.0,37493,79.49
1343,300.0,100.0,100.0,5.0,6.0,0.00024,0.00024,-0.0159986,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0295,4.26296,0,37657.0,37464,79.72
1353,398.0,100.0,100.0,4.0,7.0,5e-05,0.00024,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0295,4.26296,0,37647.0,37454,79.15
1372,702.0,100.0,100.0,5.0,7.0,1e-05,0.00014,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.7411,1.93802,0,37628.0,37435,80.09
1402,700.0,100.0,100.0,5.0,7.0,0.00014,0.00025,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.7411,1.93802,0,37598.0,37405,79.48
1431,598.0,100.0,100.0,6.0,6.0,0.00025,0.00025,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.7411,1.93802,0,37569.0,37376,80.27
1460,602.0,100.0,100.0,6.0,6.0,0.00025,0.00059,-0.00699989,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.7411,1.93802,0,37540.0,37347,79.86
1488,700.0,100.0,100.0,6.0,6.0,0.00059,0.00059,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.7411,1.93802,0,37512.0,37319,79.76
1519,698.0,100.0,100.0,6.0,6.0,0.00057,0.00059,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.7411,1.93802,0,37481.0,37288,78.33
1546,202.0,100.0,100.0,6.0,6.0,0.00057,0.00057,-0.00499996,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.7411,1.93802,0,37454.0,37261,79.15
1560,900.0,100.0,100.0,6.0,6.0,0.00057,0.00057,-0.00499996,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.7411,1.93802,0,37440.0,37247,79.8
1599,700.0,100.0,100.0,6.0,6.0,0.0,0.00057,-0.00499996,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.7411,1.93802,0,37401.0,37208,79.52
1629,100.0,100.0,100.0,6.0,6.0,0.0,0.00053,-0.00299999,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.6264,6.66644,0,37371.0,37178,79.18
1634,598.0,100.0,100.0,6.0,6.0,0.00053,0.00053,-0.00299999,-0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0091,7.79084,0,37366.0,37173,79.8
1658,0.0,100.0,100.0,6.0,6.0,0.00053,0.00053,0.002,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0091,7.79084,0,37342.0,37149,80.79
1659,702.0,100.0,100.0,6.0,6.0,0.00053,0.00053,0.002,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.6264,6.66644,0,37341.0,37148,80.78
