driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,96.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42899.12,42511,35.8
10,1184.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42890.12,42502,35.03
154,736.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42746.12,42358,30.79
250,672.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42650.12,42262,43.69
303,704.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42597.12,42209,31.53
398,992.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42502.12,42114,29.1
576,1056.0,100.0,100.0,2.0,7.0,0.00026,0.00056,-0.0379817,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42324.12,41936,39.82
663,0.0,100.0,100.0,4.0,5.0,0.0004,0.00054,-0.0379817,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42237.12,41849,51.5
666,192.0,100.0,100.0,3.0,6.0,3e-05,0.00049,-0.0309901,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48.2247,5.65145,0,42234.12,41846,50.96
682,800.0,100.0,100.0,3.0,6.0,3e-05,0.00049,-0.0309901,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48.2247,5.65145,0,42218.12,41830,52.62
735,992.0,100.0,100.0,5.0,5.0,0.0,3e-05,-0.0309901,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.2997,7.25948,0,42165.12,41777,49.16
809,1024.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,42091.12,41703,33.78
917,1024.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41983.12,41595,34.23
1025,1056.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41875.12,41487,34.46
1136,704.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41764.12,41376,38.6
1204,320.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41696.12,41308,46.83
1227,1056.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41673.12,41285,47.97
1306,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41594.12,41206,48.7
1378,32.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41522.12,41134,55.53
1382,1024.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41518.12,41130,60.44
1441,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,41459.12,41071,38.97
1583,1024.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,41317.12,40929,39.29
1716,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,41184.12,40796,53.74
1784,1344.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,41116.12,40728,49.03
1847,1312.0,100.0,100.0,2.0,6.0,1e-05,0.01208,-0.0519532,0.0259941,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,37.6379,6.95247,0,41053.12,40665,35.6
1947,96.0,100.0,100.0,3.0,3.0,0.01208,0.01208,-0.0259941,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,37.6379,6.95247,0,40953.12,40565,36.18
2043,672.0,100.0,100.0,5.0,5.0,0.00061,0.00061,-0.0119994,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.5532,7.1135,0,40857.12,40469,80.8
2072,544.0,100.0,100.0,5.0,5.0,0.00049,0.00061,-0.0119994,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.5532,7.1135,0,40828.12,40440,81.16
2096,224.0,100.0,100.0,5.0,5.0,0.00049,0.00049,-0.00899976,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40804.12,40416,78.45
2107,960.0,100.0,100.0,5.0,5.0,0.00049,0.00049,-0.00899976,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40793.12,40405,84.88
2146,384.0,100.0,100.0,4.0,6.0,6e-05,0.00067,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40754.12,40366,90.49
2163,928.0,100.0,100.0,5.0,5.0,0.00062,0.00067,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40737.12,40349,80.12
2203,672.0,100.0,100.0,4.0,6.0,0.00015,0.00062,0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40697.12,40309,79.77
2234,672.0,100.0,100.0,5.0,5.0,0.00051,0.00051,0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40666.12,40278,81.97
2263,608.0,100.0,100.0,5.0,5.0,0.00051,0.00051,0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40637.12,40249,82.28
2291,640.0,100.0,100.0,5.0,5.0,0.00044,0.00044,-0.00699989,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40609.12,40221,82.52
2318,608.0,100.0,100.0,4.0,6.0,0.00044,0.0005,-0.00699989,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40582.12,40194,85.2
2344,672.0,100.0,100.0,4.0,6.0,0.0004,0.0005,0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40556.12,40168,84.92
2372,640.0,100.0,100.0,5.0,5.0,0.0004,0.0004,0.0139991,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40528.12,40140,81.29
2401,640.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40499.12,40111,81.45
2429,672.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40471.12,40083,75.9
2462,768.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40438.12,40050,73.02
2498,384.0,100.0,100.0,5.0,5.0,0.00041,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40402.12,40014,78.74
2517,256.0,100.0,100.0,5.0,5.0,0.00041,0.00041,0.0229959,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40383.12,39995,78.06
2529,672.0,0.0,100.0,5.0,5.0,0.0002,0.00041,0.0159986,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40371.12,39983,71.91
2561,608.0,100.0,100.0,4.0,6.0,0.0,0.0002,-0.002,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40339.12,39951,68.08
2594,608.0,100.0,100.0,4.0,6.0,0.0,0.00048,-0.00499996,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40306.12,39918,73.25
2624,640.0,100.0,100.0,5.0,6.0,0.00021,0.0005,-0.00499996,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40276.12,39888,73.49
2656,704.0,100.0,100.0,5.0,6.0,1e-05,0.00021,0.0119994,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40244.12,39856,67.47
2693,704.0,100.0,100.0,6.0,7.0,1e-05,1e-05,0.00999967,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40207.12,39819,66.72
2730,32.0,100.0,100.0,4.0,6.0,0.00017,0.0002,-0.0209969,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40170.12,39782,68.31
2732,704.0,100.0,100.0,4.0,6.0,0.00017,0.0002,-0.0209969,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40168.12,39780,65.37
2771,864.0,100.0,100.0,4.0,6.0,0.00017,0.0002,-0.0209969,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40129.12,39741,75.53
2812,128.0,100.0,100.0,5.0,5.0,0.0,0.00017,0.0,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40088.12,39700,73.6
2819,960.0,100.0,100.0,4.0,7.0,0.0,0.00025,0.0,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,210.712,5.58042,0,40081.12,39693,78.28
2863,576.0,100.0,100.0,5.0,5.0,0.00025,0.00025,0.00699989,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,210.712,5.58042,0,40037.12,39649,83.75
2887,480.0,100.0,100.0,5.0,6.0,0.00025,0.00025,0.00699989,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,210.712,5.58042,0,40013.12,39625,80.0
2909,1024.0,100.0,100.0,4.0,7.0,0.0,0.00025,-0.0169984,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,209.84,10.1721,0,39991.12,39603,83.41
2952,1024.0,100.0,100.0,4.0,7.0,0.0,0.00025,-0.0169984,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,209.84,10.1721,0,39948.12,39560,85.1
2995,384.0,100.0,100.0,5.0,5.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,209.84,10.1721,0,39905.12,39517,74.88
3014,608.0,100.0,100.0,5.0,5.0,0.0,0.00041,-0.032988,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,209.84,10.1721,0,39886.12,39498,67.85
3046,992.0,100.0,100.0,5.0,5.0,0.00041,0.00041,-0.032988,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,209.84,10.1721,0,39854.12,39466,80.57
3091,224.0,100.0,100.0,5.0,5.0,0.00041,0.00041,-0.0169984,-0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,194.988,21.0398,0,39809.12,39421,87.92
3100,896.0,100.0,100.0,4.0,6.0,0.0004,0.00041,-0.0169984,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,194.988,21.0398,0,39800.12,39412,78.53
3140,352.0,10.0,100.0,4.0,6.0,0.00038,0.00041,0.00699989,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,194.988,21.0398,0,39760.12,39372,78.48
3157,928.0,100.0,100.0,5.0,6.0,0.00034,0.00038,0.0119994,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,194.988,21.0398,0,39743.12,39355,76.13
3201,64.0,100.0,100.0,5.0,5.0,0.00029,0.00034,0.00499996,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,194.988,21.0398,0,39699.12,39311,75.91
3203,1152.0,100.0,100.0,5.0,5.0,0.00029,0.00029,0.00499996,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,194.988,21.0398,0,39697.12,39309,73.44
3260,32.0,100.0,100.0,5.0,5.0,0.00029,0.00029,0.00499996,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,194.988,21.0398,0,39640.12,39252,71.65
3261,864.0,100.0,100.0,5.0,5.0,0.00029,0.00029,-0.00899976,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,194.988,21.0398,0,39639.12,39251,67.19
3309,672.0,100.0,100.0,5.0,5.0,0.00029,0.00034,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,194.988,21.0398,0,39591.12,39203,66.69
3343,64.0,100.0,100.0,5.0,5.0,0.00034,0.00034,-0.0139991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,230.417,3.3097,0,39557.12,39169,69.46
3348,672.0,100.0,100.0,5.0,5.0,0.00034,0.00034,-0.0139991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,230.417,3.3097,0,39552.12,39164,72.1
3381,640.0,100.0,100.0,5.0,5.0,0.00034,0.00034,-0.0139991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,230.417,3.3097,0,39519.12,39131,82.63
3409,672.0,100.0,100.0,5.0,5.0,0.00034,0.00034,0.00899976,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,269.49,19.4959,0,39491.12,39103,83.55
3438,640.0,100.0,100.0,5.0,5.0,0.00034,0.00034,0.00899976,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,269.49,19.4959,0,39462.12,39074,75.11
3468,64.0,100.0,100.0,5.0,5.0,0.00034,0.00034,0.00899976,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,269.49,19.4959,0,39432.12,39044,76.87
3473,704.0,100.0,100.0,5.0,5.0,0.00034,0.00034,0.00899976,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,269.49,19.4959,0,39427.12,39039,78.95
3504,672.0,100.0,100.0,5.0,5.0,0.00034,0.00034,0.00899976,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,269.49,19.4959,0,39396.12,39008,82.48
3533,608.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0139991,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,269.49,19.4959,0,39367.12,38979,84.44
3559,640.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0139991,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,269.49,19.4959,0,39341.12,38953,76.5
3589,608.0,100.0,100.0,5.0,5.0,0.00025,0.00025,-0.0139991,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,269.49,19.4959,0,39311.12,38923,70.91
3620,640.0,100.0,100.0,5.0,5.0,0.00021,0.00025,-0.0139991,0.0349857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,269.49,19.4959,0,39280.12,38892,78.84
3649,640.0,100.0,100.0,5.0,5.0,0.00021,0.00021,0.00899976,0.0349857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,316.058,6.10824,0,39251.12,38863,74.11
3679,640.0,100.0,100.0,5.0,5.0,0.00021,0.00022,0.00499996,0.0349857,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,316.058,6.10824,0,39221.12,38833,73.2
3710,576.0,100.0,100.0,5.0,5.0,0.00022,0.00022,0.00499996,0.00499996,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,316.058,6.10824,0,39190.12,38802,79.3
3738,640.0,100.0,100.0,5.0,5.0,0.0,0.00022,-0.00899976,0.00499996,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,316.058,6.10824,0,39162.12,38774,82.94
3765,640.0,100.0,100.0,4.0,5.0,0.0,1e-05,-0.0119994,-0.00899976,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,316.058,6.10824,0,39135.12,38747,84.67
3792,640.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.0119994,-0.00999967,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,316.058,6.10824,0,39108.12,38720,85.43
3818,576.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.0119994,-0.00999967,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,316.058,6.10824,0,39082.12,38694,85.45
3844,640.0,100.0,100.0,4.0,4.0,0.0,1e-05,-0.0169984,-0.00999967,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,316.058,6.10824,0,39056.12,38668,85.44
3870,576.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.0169984,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,39030.12,38642,85.43
3895,352.0,100.0,100.0,4.0,5.0,1e-05,0.00015,-0.0379817,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,39005.12,38617,87.25
3910,352.0,100.0,100.0,5.0,5.0,0.00015,0.00026,-0.0399787,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,38990.12,38602,93.85
3922,576.0,100.0,100.0,5.0,5.0,0.00026,0.00026,-0.0399787,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,38978.12,38590,100.81
3944,672.0,100.0,100.0,4.0,6.0,0.00026,0.0004,-0.0399787,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,38956.12,38568,94.95
3968,608.0,100.0,100.0,4.0,6.0,0.0004,0.0004,-0.00899976,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,38932.12,38544,88.39
3994,736.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0169984,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,38906.12,38518,88.14
4023,704.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0169984,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,38877.12,38489,89.57
4052,128.0,100.0,100.0,5.0,5.0,0.0004,0.0004,-0.0169984,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,38848.12,38460,88.67
4057,576.0,100.0,100.0,5.0,5.0,0.0004,0.00049,-0.0169984,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,266.593,8.68301,0,38843.12,38455,87.02
4081,832.0,100.0,100.0,5.0,5.0,0.00049,0.00049,-0.0139991,0.032988,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,278.334,4.3752,0,38819.12,38431,76.21
4121,256.0,100.0,100.0,5.0,5.0,0.00049,0.00049,-0.0139991,0.032988,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,278.334,4.3752,0,38779.12,38391,70.73
4134,544.0,100.0,100.0,5.0,5.0,0.00051,0.00051,-0.0229959,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,267.383,6.36229,0,38766.12,38378,79.36
4157,608.0,100.0,100.0,5.0,5.0,0.00051,0.00051,-0.0229959,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,267.383,6.36229,0,38743.12,38355,82.11
4185,640.0,100.0,100.0,4.0,6.0,0.0,0.00051,-0.0229959,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,267.383,6.36229,0,38715.12,38327,81.45
4213,768.0,100.0,100.0,4.0,6.0,0.0,0.0005,-0.0119994,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,267.383,6.36229,0,38687.12,38299,86.85
4244,736.0,100.0,100.0,5.0,5.0,0.00049,0.00049,-0.00899976,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,267.383,6.36229,0,38656.12,38268,87.6
4274,672.0,100.0,100.0,4.0,5.0,2e-05,0.00049,-0.0169984,0.0309901,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,267.383,6.36229,0,38626.12,38238,80.56
4305,704.0,100.0,100.0,4.0,5.0,1e-05,0.00013,-0.0229959,0.0159986,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,267.383,6.36229,0,38595.12,38207,84.93
4334,96.0,100.0,100.0,5.0,5.0,0.0001,0.00013,-0.0349857,-0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,218.174,11.9641,0,38566.12,38178,84.44
4339,576.0,100.0,100.0,5.0,5.0,0.0001,0.0001,-0.0349857,-0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,218.174,11.9641,0,38561.12,38173,91.21
4361,704.0,100.0,100.0,5.0,5.0,0.0001,0.0001,-0.0349857,-0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,218.174,11.9641,0,38539.12,38151,99.45
4386,672.0,100.0,100.0,5.0,5.0,0.0001,0.00022,-0.0349857,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,218.174,11.9641,0,38514.12,38126,100.12
4411,224.0,100.0,100.0,5.0,5.0,0.00022,0.00022,-0.0229959,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,218.174,11.9641,0,38489.12,38101,97.8
4419,544.0,100.0,100.0,5.0,5.0,0.0,0.00022,-0.0229959,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,218.174,11.9641,0,38481.12,38093,89.3
