driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,496.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47879.0,44519,23.83
157,800.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47723.0,44363,35.84
237,640.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47643.0,44283,44.23
286,400.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47594.0,44234,48.03
316,1424.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47564.0,44204,39.03
437,480.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47443.0,44083,35.0
485,16.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47395.0,44035,13.04
501,1360.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47379.0,44019,38.19
633,320.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47247.0,43887,71.97
649,384.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47231.0,43871,75.93
667,768.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47213.0,43853,81.73
700,448.0,100.0,100.0,6.0,6.0,0.00017,0.00017,0.0,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47180.0,43820,80.53
733,288.0,100.0,100.0,6.0,6.0,0.00013,0.00017,-0.002,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47147.0,43787,79.98
734,752.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.002,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47146.0,43786,79.98
767,672.0,100.0,100.0,3.0,6.0,2e-05,0.00013,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47113.0,43753,80.15
798,544.0,100.0,100.0,3.0,4.0,2e-05,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47082.0,43722,78.74
822,160.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47058.0,43698,73.86
830,704.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47050.0,43690,71.81
866,784.0,100.0,100.0,3.0,4.0,7e-05,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47014.0,43654,78.99
901,176.0,100.0,100.0,3.0,3.0,4e-05,7e-05,-0.0159986,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,46979.0,43619,79.61
909,608.0,100.0,100.0,3.0,6.0,4e-05,4e-05,0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,46971.0,43611,79.58
936,800.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,46944.0,43584,79.67
972,192.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,46908.0,43548,79.94
981,672.0,100.0,100.0,5.0,8.0,0.00011,0.00015,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,46899.0,43539,79.76
1012,640.0,100.0,100.0,6.0,7.0,0.0,0.00011,0.0,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,46868.0,43508,80.01
1041,336.0,100.0,100.0,5.0,6.0,0.0,1e-05,0.0,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,46839.0,43479,71.45
1057,944.0,100.0,100.0,5.0,5.0,1e-05,0.00019,-0.002,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,46823.0,43463,75.06
1103,48.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,46777.0,43417,77.38
1104,800.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,46776.0,43416,73.78
1144,768.0,100.0,100.0,4.0,6.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,46736.0,43376,72.9
1181,688.0,100.0,100.0,5.0,6.0,0.0,0.00019,-0.002,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,46699.0,43339,79.14
1213,688.0,100.0,100.0,5.0,5.0,0.00017,0.00019,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,46667.0,43307,81.09
1243,640.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46637.0,43277,74.22
1274,656.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46606.0,43246,70.91
1307,208.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46573.0,43213,75.38
1317,624.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46563.0,43203,80.47
1336,656.0,0.0,100.0,4.0,7.0,0.00013,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46544.0,43184,84.01
1364,704.0,100.0,100.0,4.0,6.0,1e-05,0.00013,-0.002,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46516.0,43156,80.9
1395,656.0,100.0,100.0,5.0,6.0,2e-05,0.00014,-0.002,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46485.0,43125,80.72
1425,208.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46455.0,43095,79.55
1433,448.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46447.0,43087,78.04
1455,640.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,46425.0,43065,79.42
1484,640.0,0.0,100.0,5.0,6.0,0.00014,0.00014,-0.0169984,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,46396.0,43036,76.39
1514,608.0,0.0,100.0,4.0,6.0,4e-05,0.00019,-0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,46366.0,43006,80.58
1541,656.0,100.0,100.0,4.0,6.0,0.00016,0.00019,-0.0209969,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,46339.0,42979,80.41
1570,624.0,100.0,100.0,5.0,6.0,5e-05,0.00019,-0.00699989,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,46310.0,42950,77.71
1599,544.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,46281.0,42921,75.99
1634,656.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,46246.0,42886,78.46
1645,288.0,100.0,100.0,5.0,6.0,0.00018,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,46235.0,42875,79.8
1658,640.0,100.0,100.0,4.0,7.0,2e-05,0.00018,-0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,46222.0,42862,80.0
1686,624.0,100.0,100.0,4.0,7.0,1e-05,2e-05,-0.00899976,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.2044,2.88759,0,46194.0,42834,79.04
1714,608.0,100.0,100.0,5.0,6.0,2e-05,0.00019,-0.0139991,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,46166.0,42806,79.85
1742,624.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0119994,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,46138.0,42778,82.61
1769,624.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0119994,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,46111.0,42751,83.93
1796,640.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,46084.0,42724,84.04
1823,592.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,46057.0,42697,83.23
1849,624.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,46031.0,42671,83.36
1876,640.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,46004.0,42644,84.11
1903,480.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.9046,4.19244,0,45977.0,42617,81.83
1934,832.0,100.0,100.0,5.0,5.0,0.00015,0.00015,-0.0169984,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,52.0766,5.19116,0,45946.0,42586,83.01
1961,704.0,100.0,100.0,5.0,5.0,0.00015,0.00015,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0766,5.19116,0,45919.0,42559,84.02
1991,704.0,100.0,100.0,5.0,5.0,0.00014,0.00015,-0.00899976,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0766,5.19116,0,45889.0,42529,84.11
2021,64.0,100.0,100.0,5.0,5.0,0.00015,0.00019,0.0,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0766,5.19116,0,45859.0,42499,83.18
2023,720.0,100.0,100.0,5.0,5.0,0.00015,0.00019,0.0,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0766,5.19116,0,45857.0,42497,83.11
2055,672.0,100.0,100.0,2.0,5.0,0.0,0.0054,-0.0169984,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,52.0766,5.19116,0,45825.0,42465,83.99
2084,672.0,100.0,100.0,2.0,5.0,0.0,0.00537,-0.0169984,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,52.0766,5.19116,0,45796.0,42436,84.44
2112,16.0,100.0,100.0,2.0,3.0,0.00115,0.00512,-0.0169984,0.00999967,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,52.0766,5.19116,0,45768.0,42408,84.43
2113,720.0,100.0,100.0,2.0,6.0,0.0,0.00115,-0.00699989,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,52.0766,5.19116,0,45767.0,42407,84.6
