driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,64.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59399.0,50399,36.63
7,628.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59393.0,50393,40.28
63,556.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59337.0,50337,42.8
110,52.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59290.0,50290,39.3
115,444.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59285.0,50285,21.07
248,1088.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59152.0,50152,45.22
334,1072.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6651,0.922446,0,59066.0,50066,57.64
401,112.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,58999.0,49999,27.13
433,964.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,58967.0,49967,38.91
597,1088.0,100.0,100.0,5.0,5.0,0.00031,0.00031,-0.0139991,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,58803.0,49803,50.87
