driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,768.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64799.0,49954,19.36
645,608.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64155.0,49310,32.81
750,1088.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,64050.0,49205,45.67
832,416.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63968.0,49123,34.08
878,640.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63922.0,49077,45.38
928,32.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63872.0,49027,48.67
930,672.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63870.0,49025,48.96
979,896.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63821.0,48976,35.77
1128,608.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63672.0,48827,47.41
1178,384.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63622.0,48777,49.42
1204,1056.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0864,1.87031,0,63596.0,48751,30.77
1408,192.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0864,1.87031,0,63392.0,48547,42.52
1423,1120.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63377.0,48532,52.6
1499,96.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63301.0,48456,67.22
1505,1056.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63295.0,48450,68.44
1560,192.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,63240.0,48395,72.56
1569,1024.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63231.0,48386,65.65
1625,160.0,100.0,100.0,5.0,7.0,4e-05,0.00015,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63175.0,48330,56.19
1636,512.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63164.0,48319,63.24
1663,544.0,100.0,100.0,5.0,8.0,0.00011,0.00015,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63137.0,48292,61.98
1696,672.0,100.0,100.0,6.0,7.0,0.0,0.00011,0.0,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63104.0,48259,68.16
1731,320.0,100.0,100.0,5.0,6.0,0.0,1e-05,0.0,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63069.0,48224,66.26
1748,960.0,100.0,100.0,5.0,5.0,1e-05,0.00019,-0.002,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63052.0,48207,69.24
1798,0.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63002.0,48157,77.62
1799,832.0,100.0,100.0,5.0,6.0,0.00019,0.00019,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,63001.0,48156,78.12
1837,768.0,100.0,100.0,4.0,6.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.7943,4.85075,0,62963.0,48118,73.76
1874,0.0,100.0,100.0,5.0,6.0,0.0,0.00019,-0.002,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,62926.0,48081,72.01
1875,704.0,100.0,100.0,5.0,6.0,0.0,0.00019,-0.002,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,62925.0,48080,70.99
1910,672.0,100.0,100.0,5.0,5.0,0.00017,0.00019,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.2595,0.0904894,0,62890.0,48045,70.57
1944,512.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,62856.0,48011,61.73
1987,800.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,62813.0,47968,61.61
2021,224.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,62779.0,47934,69.82
2033,416.0,100.0,100.0,5.0,5.0,0.00017,0.00017,-0.0309901,0.032988,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.0288,7.814,0,62767.0,47922,77.86
