driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,480.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32878.88,31374,24.59
170,688.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32709.879999999997,31205,34.59
219,64.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32660.879999999997,31156,36.08
225,1040.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32654.879999999997,31150,36.88
420,128.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32459.879999999997,30955,18.11
474,800.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32405.879999999997,30901,26.17
554,672.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32325.879999999997,30821,41.39
613,464.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,32266.879999999997,30762,64.31
639,400.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.5288,0.986787,0,32240.879999999997,30736,52.34
666,704.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.5288,0.986787,0,32213.879999999997,30709,35.5
736,1040.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.5288,0.986787,0,32143.879999999997,30639,32.49
922,432.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,31957.879999999997,30453,53.76
952,608.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31927.879999999997,30423,33.2
1074,1072.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31805.879999999997,30301,37.15
1142,576.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,31737.879999999997,30233,31.37
1216,256.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.2376,2.72986,0,31663.879999999997,30159,49.31
1234,688.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31645.879999999997,30141,42.93
1292,688.0,100.0,100.0,5.0,5.0,0.00014,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31587.879999999997,30083,64.45
1330,368.0,100.0,100.0,5.0,5.0,0.00016,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31549.879999999997,30045,75.38
1374,928.0,100.0,100.0,5.0,5.0,0.00016,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31505.879999999997,30001,78.8
1391,496.0,100.0,100.0,5.0,5.0,0.0,0.00016,-0.00499996,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31488.879999999997,29984,79.55
1413,96.0,100.0,100.0,5.0,5.0,0.00016,0.00016,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31466.879999999997,29962,78.77
1419,640.0,100.0,100.0,5.0,5.0,0.00016,0.00016,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31460.879999999997,29956,77.46
1448,624.0,100.0,100.0,4.0,6.0,0.00016,0.00016,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31431.879999999997,29927,79.36
1476,624.0,100.0,100.0,5.0,5.0,0.0,0.00016,0.0,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31403.879999999997,29899,79.5
1504,32.0,100.0,100.0,4.0,6.0,0.0,0.00016,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.5511,6.76553,0,31375.879999999997,29871,79.98
1505,608.0,100.0,100.0,4.0,6.0,0.0,0.00016,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.8485,1.63317,0,31374.879999999997,29870,79.55
1533,656.0,100.0,100.0,5.0,5.0,0.00016,0.00016,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.8485,1.63317,0,31346.879999999997,29842,80.95
1562,672.0,100.0,100.0,5.0,5.0,0.00016,0.00016,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.8485,1.63317,0,31317.879999999997,29813,81.26
1592,672.0,100.0,100.0,5.0,5.0,0.0,0.00016,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.8485,1.63317,0,31287.879999999997,29783,79.1
1622,560.0,100.0,100.0,5.0,5.0,0.0,0.0,-0.00499996,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.8485,1.63317,0,31257.879999999997,29753,74.12
1675,752.0,100.0,100.0,5.0,5.0,0.0,0.00015,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.8485,1.63317,0,31204.879999999997,29700,73.11
1686,640.0,100.0,100.0,5.0,5.0,0.00015,0.00015,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.8485,1.63317,0,31193.879999999997,29689,72.9
1718,640.0,100.0,100.0,5.0,5.0,6e-05,0.00015,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.8485,1.63317,0,31161.879999999997,29657,72.22
1750,624.0,100.0,100.0,5.0,5.0,6e-05,6e-05,-0.00899976,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5303,2.91311,0,31129.879999999997,29625,76.94
1779,640.0,100.0,100.0,3.0,6.0,0.0,6e-05,-0.00899976,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5303,2.91311,0,31100.879999999997,29596,76.54
1809,608.0,100.0,100.0,3.0,5.0,1e-05,0.00017,-0.00499996,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5303,2.91311,0,31070.879999999997,29566,78.45
1838,672.0,100.0,100.0,4.0,7.0,0.00014,0.00024,-0.00699989,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5303,2.91311,0,31041.879999999997,29537,77.28
1868,608.0,100.0,100.0,4.0,6.0,4e-05,0.00053,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.5303,2.91311,0,31011.879999999997,29507,76.53
1897,576.0,100.0,100.0,5.0,5.0,0.00053,0.00078,-0.00499996,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5303,2.91311,0,30982.879999999997,29478,72.31
1926,64.0,100.0,100.0,5.0,5.0,0.00078,0.00078,-0.00499996,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5303,2.91311,0,30953.879999999997,29449,60.65
1930,400.0,100.0,100.0,5.0,5.0,0.00078,0.00078,-0.00499996,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5303,2.91311,0,30949.879999999997,29445,65.05
1979,960.0,100.0,100.0,5.0,5.0,0.00074,0.00078,-0.00899976,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.5303,2.91311,0,30900.879999999997,29396,78.17
1997,816.0,100.0,100.0,5.0,5.0,0.00074,0.00074,-0.00899976,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,20.5137,4.23698,0,30882.879999999997,29378,78.87
2034,688.0,100.0,100.0,5.0,5.0,0.00074,0.00074,-0.0229959,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,32.211,1.75727,0,30845.879999999997,29341,80.49
2065,352.0,100.0,100.0,5.0,5.0,0.00074,0.00074,-0.0229959,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,32.211,1.75727,0,30814.879999999997,29310,79.96
2080,320.0,100.0,100.0,5.0,5.0,0.00074,0.00074,-0.0229959,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,32.211,1.75727,0,30799.879999999997,29295,79.57
2095,608.0,100.0,100.0,5.0,5.0,0.00074,0.00074,-0.0229959,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,32.211,1.75727,0,30784.879999999997,29280,78.49
2123,640.0,100.0,100.0,4.0,6.0,0.0,0.00074,-0.0229959,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,32.211,1.75727,0,30756.879999999997,29252,79.17
2152,624.0,100.0,100.0,4.0,5.0,0.0,0.0,-0.00699989,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.211,1.75727,0,30727.879999999997,29223,79.27
2180,624.0,100.0,100.0,4.0,6.0,0.0,0.00012,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.211,1.75727,0,30699.879999999997,29195,79.61
2208,608.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.211,1.75727,0,30671.879999999997,29167,79.88
2236,656.0,100.0,100.0,5.0,5.0,0.00011,0.00012,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.211,1.75727,0,30643.879999999997,29139,79.14
