driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
6,592.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.45782,1.8177,0,34074.119999999995,33990,32.56
55,720.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.45782,1.8177,0,34025.119999999995,33941,31.49
140,1840.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33940.119999999995,33856,37.91
178,1408.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33902.119999999995,33818,35.78
532,1504.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33548.119999999995,33464,74.15
563,832.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33517.119999999995,33433,80.25
597,16.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33483.119999999995,33399,81.05
599,816.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33481.119999999995,33397,83.05
630,848.0,100.0,100.0,4.0,5.0,0.00028,0.00077,-0.0209969,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33450.119999999995,33366,85.44
661,432.0,100.0,100.0,5.0,5.0,0.00077,0.00077,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33419.119999999995,33335,82.16
680,1264.0,100.0,100.0,5.0,5.0,0.00028,0.00077,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33400.119999999995,33316,86.75
730,64.0,100.0,100.0,5.0,5.0,0.00028,0.00028,-0.00699989,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33350.119999999995,33266,86.64
738,1280.0,0.0,100.0,5.0,6.0,0.00025,0.00028,-0.0119994,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33342.119999999995,33258,86.33
784,208.0,100.0,100.0,4.0,6.0,0.00028,0.00028,-0.0139991,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33296.119999999995,33212,90.16
791,1136.0,100.0,100.0,3.0,5.0,0.0,0.00031,-0.0169984,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.4072,3.63392,0,33289.119999999995,33205,92.66
828,272.0,100.0,100.0,4.0,5.0,0.00031,0.00032,0.0,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.4072,3.63392,0,33252.119999999995,33168,89.61
841,1312.0,100.0,100.0,4.0,5.0,0.0003,0.00032,-0.00699989,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33239.119999999995,33155,85.94
894,960.0,100.0,100.0,2.0,6.0,1e-05,0.00171,0.0,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,36.6947,4.00937,0,33186.119999999995,33102,86.48
932,240.0,100.0,100.0,5.0,6.0,1e-05,1e-05,0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33148.119999999995,33064,84.77
940,1360.0,100.0,100.0,5.0,5.0,1e-05,0.00077,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33140.119999999995,33056,85.21
989,1552.0,100.0,100.0,5.0,5.0,0.00077,0.00078,-0.0279927,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33091.119999999995,33007,88.27
1040,112.0,100.0,100.0,5.0,5.0,0.00078,0.00078,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,33040.119999999995,32956,88.22
1045,688.0,100.0,100.0,5.0,5.0,0.00078,0.00078,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,33035.119999999995,32951,84.79
1074,608.0,100.0,100.0,5.0,5.0,0.00071,0.00071,-0.0159986,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,33006.119999999995,32922,86.68
1100,496.0,100.0,100.0,2.0,6.0,0.0005,0.00071,-0.0159986,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,47.8578,15.372,0,32980.119999999995,32896,90.13
1138,832.0,100.0,100.0,2.0,4.0,0.00015,0.00477,-0.0349857,0.0209969,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,47.8578,15.372,0,32942.119999999995,32858,58.25
1167,656.0,100.0,100.0,2.0,6.0,0.00012,0.00477,-0.0209969,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,47.8578,15.372,0,32913.119999999995,32829,74.1
1199,608.0,100.0,100.0,5.0,5.0,0.00012,0.00013,-0.0139991,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,32881.119999999995,32797,82.86
1225,736.0,100.0,100.0,4.0,6.0,4e-05,0.00015,-0.0139991,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2705,3.82193,0,32855.119999999995,32771,84.5
1257,432.0,100.0,100.0,4.0,6.0,0.00015,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2705,3.82193,0,32823.119999999995,32739,88.65
1275,848.0,100.0,100.0,5.0,6.0,0.00015,0.00019,-0.0169984,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2705,3.82193,0,32805.119999999995,32721,82.94
1311,784.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0169984,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2705,3.82193,0,32769.119999999995,32685,84.8
1344,448.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0169984,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2705,3.82193,0,32736.119999999995,32652,89.42
1363,784.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0169984,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2705,3.82193,0,32717.119999999995,32633,87.98
1395,544.0,100.0,100.0,5.0,6.0,0.00014,0.00019,-0.0169984,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2705,3.82193,0,32685.119999999995,32601,83.84
1418,816.0,100.0,100.0,3.0,6.0,8e-05,0.00034,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.9585,4.46238,0,32662.119999999995,32578,87.64
1452,560.0,100.0,100.0,4.0,6.0,0.00034,0.00034,0.00299999,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.9585,4.46238,0,32628.119999999995,32544,88.43
1475,368.0,100.0,100.0,4.0,5.0,0.00034,0.00034,-0.0169984,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.9585,4.46238,0,32605.119999999995,32521,85.28
1490,736.0,100.0,100.0,4.0,5.0,0.00034,0.00034,-0.0169984,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.9585,4.46238,0,32590.119999999995,32506,85.75
1521,672.0,100.0,100.0,4.0,5.0,0.00033,0.00034,-0.0169984,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.9585,4.46238,0,32559.119999999995,32475,89.55
1547,640.0,100.0,100.0,5.0,5.0,0.00033,0.00033,-0.00699989,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.9585,4.46238,0,32533.119999999995,32449,87.02
1577,176.0,100.0,100.0,5.0,5.0,0.00033,0.00034,-0.00699989,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32503.119999999995,32419,76.57
1583,560.0,100.0,100.0,4.0,6.0,0.00034,0.00034,-0.0139991,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32497.119999999995,32413,71.64
1611,1200.0,100.0,100.0,5.0,5.0,0.00034,0.00034,-0.0139991,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32469.119999999995,32385,67.59
1668,32.0,100.0,100.0,5.0,5.0,0.00034,0.00034,-0.0139991,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32412.119999999995,32328,55.72
1669,320.0,100.0,100.0,5.0,5.0,0.00034,0.00034,-0.0139991,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32411.119999999995,32327,53.58
1686,544.0,100.0,100.0,5.0,5.0,0.00034,0.00034,-0.0139991,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32394.119999999995,32310,51.26
1741,928.0,100.0,100.0,4.0,5.0,0.00062,0.00083,-0.002,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32339.119999999995,32255,67.21
1778,784.0,100.0,100.0,4.0,5.0,0.00062,0.00083,-0.002,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32302.119999999995,32218,84.85
1811,432.0,100.0,100.0,5.0,5.0,0.00083,0.00084,-0.00499996,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32269.119999999995,32185,80.46
1831,528.0,100.0,100.0,5.0,5.0,0.00084,0.00084,-0.00499996,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32249.119999999995,32165,75.96
1855,768.0,100.0,100.0,4.0,5.0,0.00084,0.00091,-0.00699989,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32225.119999999995,32141,79.33
1889,464.0,100.0,100.0,5.0,5.0,0.00091,0.00091,-0.00699989,-0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,38.3571,10.1857,0,32191.119999999995,32107,80.79
1911,784.0,100.0,100.0,4.0,5.0,0.0,0.00091,-0.00699989,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.0269,6.90739,0,32169.119999999995,32085,85.01
1944,576.0,100.0,100.0,4.0,4.0,0.00089,0.00089,0.00699989,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.0269,6.90739,0,32136.119999999995,32052,81.31
1969,1200.0,100.0,100.0,4.0,6.0,0.00031,0.00089,0.00499996,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69.0269,6.90739,0,32111.119999999995,32027,83.24
2021,48.0,100.0,100.0,5.0,5.0,0.00021,0.00031,0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.0269,6.90739,0,32059.119999999995,31975,84.85
2036,1280.0,0.0,100.0,4.0,6.0,1e-05,0.0007,-0.029991,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.9981,8.94685,0,32044.119999999995,31960,77.52
2081,176.0,100.0,100.0,4.0,5.0,0.0007,0.00075,-0.0309901,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.9981,8.94685,0,31999.119999999995,31915,80.9
2089,1136.0,100.0,100.0,5.0,5.0,0.00044,0.00075,-0.0309901,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.9981,8.94685,0,31991.119999999995,31907,94.09
2133,64.0,100.0,100.0,5.0,5.0,0.00044,0.00044,-0.0119994,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0475,3.35043,0,31947.119999999995,31863,95.85
2135,848.0,100.0,100.0,4.0,5.0,0.00033,0.00077,-0.0119994,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0475,3.35043,0,31945.119999999995,31861,94.85
2167,608.0,100.0,100.0,4.0,4.0,0.00056,0.00077,-0.0119994,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0475,3.35043,0,31913.119999999995,31829,94.1
2191,1200.0,100.0,100.0,4.0,5.0,0.0004,0.0006,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,42.0475,3.35043,0,31889.119999999995,31805,87.86
2240,80.0,100.0,100.0,5.0,5.0,0.00046,0.00052,-0.00499996,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0475,3.35043,0,31840.119999999995,31756,82.11
