driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
75,592.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.7184,2.86738,0,38924.88,38106,17.6
208,1280.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.7184,2.86738,0,38791.88,37973,49.24
287,1232.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.7184,2.86738,0,38712.88,37894,47.54
385,1472.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,44.02,1.46722,0,38614.88,37796,33.02
532,112.0,100.0,100.0,3.0,3.0,0.00067,0.00067,0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.02,1.46722,0,38467.88,37649,49.14
540,1392.0,100.0,100.0,3.0,4.0,0.0006,0.00067,-0.00999967,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38459.88,37641,62.78
613,528.0,100.0,100.0,4.0,4.0,0.0006,0.0006,-0.00999967,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38386.88,37568,78.49
630,720.0,100.0,100.0,4.0,4.0,0.00055,0.0006,-0.00999967,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38369.88,37551,83.99
661,496.0,100.0,100.0,4.0,4.0,0.00055,0.00066,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38338.88,37520,85.02
681,848.0,100.0,100.0,3.0,4.0,0.00066,0.00077,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38318.88,37500,85.11
728,1600.0,100.0,100.0,3.0,4.0,0.00021,0.00077,-0.0169984,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38271.88,37453,78.84
