driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
63,901.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38937.0,38236,31.48
451,899.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38549.0,37848,29.99
643,500.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38357.0,37656,36.24
684,1100.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38316.0,37615,36.58
865,1100.0,100.0,100.0,2.0,7.0,0.0,0.02925,-0.0349857,0.0379817,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,38135.0,37434,28.38
1016,699.0,100.0,100.0,2.0,7.0,0.0,0.00182,-0.00499996,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.23144,3.94203,0,37984.0,37283,43.93
1068,601.0,100.0,100.0,6.0,6.0,0.00045,0.00045,-0.00499996,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.23144,3.94203,0,37932.0,37231,61.54
1106,600.0,100.0,100.0,6.0,6.0,0.00045,0.00067,-0.00899976,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.23144,3.94203,0,37894.0,37193,76.41
1136,700.0,100.0,100.0,6.0,6.0,0.00067,0.00073,-0.00899976,-0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.23144,3.94203,0,37864.0,37163,79.34
1164,99.0,100.0,100.0,6.0,6.0,0.00073,0.00073,-0.00899976,-0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37836.0,37135,79.57
1168,601.0,100.0,100.0,6.0,6.0,0.00069,0.00073,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37832.0,37131,80.55
1195,800.0,100.0,100.0,6.0,6.0,0.00069,0.00069,-0.00999967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37805.0,37104,79.98
1227,700.0,0.0,100.0,6.0,8.0,0.00014,0.00069,-0.00999967,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37773.0,37072,81.43
1261,200.0,0.0,100.0,5.0,8.0,6e-05,0.00014,0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8952,3.56476,0,37739.0,37038,82.84
