driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,624.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.7184,2.86738,0,38998.88,38891,22.35
219,1088.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.7184,2.86738,0,38780.88,38673,46.82
304,1120.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,43.7184,2.86738,0,38695.88,38588,43.63
460,1408.0,100.0,100.0,2.0,5.0,0.00067,0.02133,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,44.02,1.46722,0,38539.88,38432,42.87
596,96.0,100.0,100.0,3.0,3.0,0.00067,0.00067,0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.02,1.46722,0,38403.88,38296,61.79
602,1216.0,100.0,100.0,3.0,4.0,0.0006,0.00067,-0.00999967,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38397.88,38290,68.52
665,480.0,100.0,100.0,4.0,4.0,0.0006,0.0006,-0.00999967,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38334.88,38227,79.86
687,880.0,100.0,100.0,4.0,4.0,0.00055,0.0006,-0.00999967,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38312.88,38205,94.67
713,400.0,100.0,100.0,4.0,4.0,0.00055,0.00066,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38286.88,38179,92.4
730,1024.0,100.0,100.0,3.0,4.0,0.00066,0.00077,-0.00499996,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38269.88,38162,89.04
771,64.0,100.0,100.0,3.0,3.0,0.00077,0.00077,-0.002,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38228.88,38121,77.89
775,1008.0,100.0,100.0,3.0,4.0,0.00021,0.00077,-0.0169984,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.7184,2.86738,0,38224.88,38117,75.25
823,1152.0,100.0,100.0,4.0,4.0,0.00047,0.00047,-0.0159986,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38176.88,38069,86.06
870,1072.0,0.0,100.0,3.0,5.0,0.00013,0.00047,-0.0159986,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38129.88,38022,89.08
914,1120.0,100.0,100.0,3.0,4.0,0.00013,0.00025,0.00899976,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38085.88,37978,82.26
962,1248.0,100.0,100.0,3.0,5.0,0.00014,0.00067,-0.0309901,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.1194,8.07724,0,38037.88,37930,80.92
1012,224.0,100.0,100.0,4.0,4.0,0.00067,0.00067,-0.0309901,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37987.88,37880,81.81
1021,928.0,100.0,100.0,4.0,4.0,0.00067,0.00067,-0.0309901,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37978.88,37871,90.17
1058,1104.0,100.0,100.0,3.0,4.0,0.00032,0.00067,-0.0309901,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37941.88,37834,93.07
1100,1088.0,100.0,100.0,2.0,5.0,0.0,0.00034,-0.0169984,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37899.88,37792,95.61
1142,880.0,100.0,100.0,4.0,4.0,9e-05,0.00026,-0.0169984,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37857.88,37750,102.11
1172,304.0,100.0,100.0,4.0,4.0,9e-05,0.00025,-0.0189977,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.967,4.3315,0,37827.88,37720,98.01
