driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
696,600.0,100.0,100.0,2.0,6.0,1e-05,0.01431,-0.0209969,0.0349857,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,53.5393,5.97403,0,41304.0,39912,29.39
772,800.0,100.0,100.0,2.0,6.0,1e-05,0.01431,-0.0209969,0.0349857,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,53.5393,5.97403,0,41228.0,39836,35.7
931,700.0,100.0,100.0,2.0,6.0,1e-05,0.01431,-0.0209969,0.0349857,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,53.5393,5.97403,0,41069.0,39677,45.82
983,1400.0,100.0,100.0,2.0,6.0,1e-05,0.01431,-0.0209969,0.0349857,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,42.3337,13.2204,0,41017.0,39625,41.44
1100,100.0,100.0,100.0,2.0,6.0,1e-05,0.01431,-0.0209969,0.0349857,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,42.3337,13.2204,0,40900.0,39508,38.12
1111,1000.0,100.0,100.0,2.0,6.0,1e-05,0.01431,-0.0209969,0.0349857,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,42.3337,13.2204,0,40889.0,39497,28.93
1283,800.0,100.0,100.0,2.0,6.0,0.0,0.01431,-0.0209969,0.0349857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,42.3337,13.2204,0,40717.0,39325,41.07
1354,900.0,100.0,100.0,5.0,5.0,0.00034,0.00034,0.00999967,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.3337,13.2204,0,40646.0,39254,56.79
1410,500.0,100.0,100.0,5.0,5.0,0.00034,0.00034,0.00999967,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.3337,13.2204,0,40590.0,39198,67.77
1433,600.0,100.0,100.0,5.0,5.0,0.00018,0.00034,0.00999967,0.0239954,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.3337,13.2204,0,40567.0,39175,61.62
1472,1000.0,100.0,100.0,5.0,5.0,1e-05,0.00018,0.0,0.0239954,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.3337,13.2204,0,40528.0,39136,38.71
1564,100.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.0209969,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.3337,13.2204,0,40436.0,39044,56.55
1569,699.0,100.0,100.0,5.0,5.0,1e-05,0.00022,-0.0239954,-0.00699989,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.3248,7.62392,0,40431.0,39039,69.47
1605,700.0,100.0,100.0,5.0,5.0,0.00022,0.00046,-0.0239954,-0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.3248,7.62392,0,40395.0,39003,86.51
1637,400.0,100.0,100.0,5.0,5.0,0.00046,0.00046,-0.0229959,-0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.3248,7.62392,0,40363.0,38971,85.27
1652,899.0,100.0,100.0,5.0,5.0,0.00046,0.00054,-0.0229959,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.3248,7.62392,0,40348.0,38956,84.39
1689,1200.0,0.0,100.0,5.0,5.0,0.00054,0.00055,-0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.3248,7.62392,0,40311.0,38919,83.23
1741,500.0,0.0,100.0,3.0,6.0,0.00052,0.00457,-0.0279927,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,59.3248,7.62392,0,40259.0,38867,63.25
1771,500.0,100.0,100.0,3.0,8.0,1e-05,0.00457,-0.0279927,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,36.2803,5.44263,0,40229.0,38837,61.03
1801,500.0,100.0,100.0,7.0,8.0,1e-05,1e-05,-0.0169984,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.2803,5.44263,0,40199.0,38807,69.9
1824,1100.0,100.0,100.0,6.0,7.0,1e-05,1e-05,-0.0209969,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.2803,5.44263,0,40176.0,38784,83.21
1869,0.0,100.0,100.0,6.0,6.0,1e-05,0.00047,-0.0209969,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.2803,5.44263,0,40131.0,38739,87.27
1870,900.0,100.0,100.0,6.0,6.0,0.00047,0.00047,-0.0119994,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.2803,5.44263,0,40130.0,38738,86.9
1911,800.0,100.0,100.0,6.0,6.0,0.00047,0.00047,-0.0119994,-0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.2803,5.44263,0,40089.0,38697,83.6
1938,101.0,100.0,100.0,6.0,6.0,0.00047,0.00051,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.2803,5.44263,0,40062.0,38670,83.95
1946,1200.0,0.0,100.0,5.0,9.0,1e-05,0.00051,-0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.2803,5.44263,0,40054.0,38662,83.85
1997,100.0,100.0,100.0,6.0,6.0,1e-05,0.00016,-0.0159986,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.2803,5.44263,0,40003.0,38611,83.15
2000,1300.0,100.0,100.0,5.0,6.0,0.00014,0.00016,-0.0159986,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.6664,4.5027,0,40000.0,38608,83.68
2055,0.0,0.0,100.0,5.0,7.0,0.00011,0.00014,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.6664,4.5027,0,39945.0,38553,83.21
2057,1100.0,0.0,100.0,5.0,8.0,0.0,0.00019,-0.00499996,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.6664,4.5027,0,39943.0,38551,83.38
2104,400.0,100.0,100.0,7.0,7.0,0.0,0.00019,-0.00499996,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.6664,4.5027,0,39896.0,38504,83.19
2118,1000.0,100.0,100.0,6.0,7.0,0.0,0.00041,-0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.6664,4.5027,0,39882.0,38490,83.52
2165,300.0,100.0,100.0,6.0,6.0,0.00041,0.00041,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.3354,1.78471,0,39835.0,38443,83.6
2173,901.0,100.0,100.0,6.0,6.0,0.00041,0.00041,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.3354,1.78471,0,39827.0,38435,82.41
2218,500.0,100.0,100.0,6.0,6.0,1e-05,0.00041,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.3354,1.78471,0,39782.0,38390,85.95
2237,500.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.002,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.1465,2.42915,0,39763.0,38371,85.91
2254,800.0,100.0,100.0,6.0,6.0,1e-05,0.00014,-0.002,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.1465,2.42915,0,39746.0,38354,85.84
2291,500.0,100.0,100.0,6.0,6.0,0.00014,0.00021,-0.002,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.1465,2.42915,0,39709.0,38317,86.15
2309,400.0,100.0,100.0,6.0,6.0,0.00021,0.00023,0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.1465,2.42915,0,39691.0,38299,86.43
