driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
186,224.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46614.0,39720,21.16
231,1056.0,90.0001,90.0001,4.0,4.0,0.00012,0.00012,-0.0229959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46569.0,39675,44.97
292,1600.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46508.0,39614,41.7
412,1088.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46388.0,39494,33.44
525,192.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46275.0,39381,34.28
545,1184.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46255.0,39361,54.58
592,1024.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,46208.0,39314,49.9
644,640.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,46156.0,39262,32.23
741,576.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,46059.0,39165,43.25
793,736.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,46007.0,39113,38.45
857,1344.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,45943.0,39049,35.95
1132,704.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,45668.0,38774,47.07
1188,672.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4741,9.89247,0,45612.0,38718,59.85
1225,416.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.6458,6.68098,0,45575.0,38681,69.52
1585,5824.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.2627,3.98711,0,45215.0,38321,69.16
1635,224.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.8824,5.24634,0,45165.0,38271,69.37
1648,864.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.8824,5.24634,0,45152.0,38258,71.96
1689,1088.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.8824,5.24634,0,45111.0,38217,78.19
1740,768.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.8824,5.24634,0,45060.0,38166,76.4
1777,320.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.8824,5.24634,0,45023.0,38129,73.61
1793,1120.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.8824,5.24634,0,45007.0,38113,78.25
1844,1088.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.3712,0.504441,0,44956.0,38062,76.66
1894,1056.0,80.0001,80.0001,4.0,4.0,0.00034,0.00034,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.3712,0.504441,0,44906.0,38012,72.95
