driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,320.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.45782,1.8177,0,34079.119999999995,33913,42.58
23,912.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.45782,1.8177,0,34057.119999999995,33891,34.05
166,1584.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33914.119999999995,33748,34.09
210,1616.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33870.119999999995,33704,45.37
435,1328.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33645.119999999995,33479,74.83
480,848.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0556,7.63295,0,33600.119999999995,33434,80.91
510,48.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33570.119999999995,33404,84.9
511,688.0,100.0,100.0,2.0,6.0,0.00028,0.00074,-0.00899976,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33569.119999999995,33403,87.96
545,1008.0,100.0,100.0,4.0,5.0,0.00028,0.00077,-0.0209969,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33535.119999999995,33369,86.89
571,464.0,100.0,100.0,5.0,5.0,0.00077,0.00077,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33509.119999999995,33343,82.48
591,1360.0,100.0,100.0,5.0,5.0,0.00028,0.00077,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33489.119999999995,33323,87.64
642,112.0,100.0,100.0,5.0,5.0,0.00028,0.00028,-0.00699989,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33438.119999999995,33272,85.63
645,1520.0,0.0,100.0,5.0,6.0,0.00025,0.00028,-0.0119994,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33435.119999999995,33269,85.69
696,144.0,100.0,100.0,4.0,6.0,0.00028,0.00028,-0.0139991,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.8022,5.00472,0,33384.119999999995,33218,89.62
699,1152.0,100.0,100.0,3.0,5.0,0.0,0.00031,-0.0169984,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.4072,3.63392,0,33381.119999999995,33215,91.19
740,288.0,100.0,100.0,4.0,5.0,0.00031,0.00032,0.0,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.4072,3.63392,0,33340.119999999995,33174,87.54
752,1328.0,100.0,100.0,4.0,5.0,0.0003,0.00032,-0.00699989,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33328.119999999995,33162,86.32
803,1008.0,100.0,100.0,2.0,6.0,1e-05,0.00171,0.0,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,36.6947,4.00937,0,33277.119999999995,33111,85.93
844,64.0,100.0,100.0,5.0,6.0,1e-05,1e-05,0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33236.119999999995,33070,84.15
855,1280.0,100.0,100.0,5.0,5.0,1e-05,0.00077,-0.0259941,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33225.119999999995,33059,85.51
900,1280.0,100.0,100.0,5.0,5.0,0.00077,0.00078,-0.0279927,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,33180.119999999995,33014,86.74
953,128.0,100.0,100.0,5.0,5.0,0.00078,0.00078,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,33127.119999999995,32961,88.24
958,672.0,100.0,100.0,5.0,5.0,0.00078,0.00078,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,33122.119999999995,32956,84.6
987,624.0,100.0,100.0,5.0,5.0,0.00071,0.00071,-0.0159986,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.8578,15.372,0,33093.119999999995,32927,84.64
1013,320.0,100.0,100.0,2.0,6.0,0.0005,0.00071,-0.0159986,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,47.8578,15.372,0,33067.119999999995,32901,87.09
1052,1392.0,100.0,100.0,2.0,4.0,0.00015,0.00477,-0.0349857,0.0209969,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,47.8578,15.372,0,33028.119999999995,32862,56.54
1083,704.0,100.0,100.0,2.0,6.0,0.00012,0.00477,-0.0209969,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,47.8578,15.372,0,32997.119999999995,32831,75.24
1115,672.0,100.0,100.0,5.0,5.0,0.00012,0.00013,-0.0139991,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6947,4.00937,0,32965.119999999995,32799,84.05
